PurchasePaymentTermKey,PaymentTermCode,PaymentTermName,NetDueDays,DiscountDays,DiscountRate,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,0,0,0.000000,-1,0,1900-01-01T00:00:00.000
1,PPT000001,Meridian PurchasePaymentTerm 1,2,2,0.000100,-1,1,2026-08-24T00:00:00.000
2,PPT000002,Granite PurchasePaymentTerm 2,3,3,0.000200,-1,1,2026-08-24T00:00:00.000
3,PPT000003,Delta PurchasePaymentTerm 3,4,4,0.000300,-1,1,2026-08-24T00:00:00.000
4,PPT000004,Orion PurchasePaymentTerm 4,5,5,0.000400,-1,1,2026-08-24T00:00:00.000
5,PPT000005,Delta PurchasePaymentTerm 5,6,6,0.000500,-1,1,2026-08-24T00:00:00.000
6,PPT000006,Beacon PurchasePaymentTerm 6,7,7,0.000600,-1,1,2026-08-24T00:00:00.000
7,PPT000007,Riverton PurchasePaymentTerm 7,8,8,0.000700,-1,1,2026-08-24T00:00:00.000
8,PPT000008,Titan PurchasePaymentTerm 8,9,9,0.000800,-1,1,2026-08-24T00:00:00.000
9,PPT000009,Vertex PurchasePaymentTerm 9,10,10,0.000900,-1,1,2026-08-24T00:00:00.000
10,PPT000010,Atlas PurchasePaymentTerm 10,11,11,0.001000,-1,1,2026-08-24T00:00:00.000
11,PPT000011,Summit PurchasePaymentTerm 11,12,12,0.001100,-1,1,2026-08-24T00:00:00.000
12,PPT000012,Delta PurchasePaymentTerm 12,13,13,0.001200,-1,1,2026-08-24T00:00:00.000
13,PPT000013,Liberty PurchasePaymentTerm 13,14,14,0.001300,-1,1,2026-08-24T00:00:00.000
14,PPT000014,Beacon PurchasePaymentTerm 14,15,15,0.001400,-1,1,2026-08-24T00:00:00.000
15,PPT000015,Vertex PurchasePaymentTerm 15,16,16,0.001500,-1,1,2026-08-24T00:00:00.000
16,PPT000016,Granite PurchasePaymentTerm 16,17,17,0.001600,-1,1,2026-08-24T00:00:00.000
17,PPT000017,Pioneer PurchasePaymentTerm 17,18,18,0.001700,-1,1,2026-08-24T00:00:00.000
18,PPT000018,Ion PurchasePaymentTerm 18,19,19,0.001800,-1,1,2026-08-24T00:00:00.000
19,PPT000019,Ion PurchasePaymentTerm 19,20,20,0.001900,-1,1,2026-08-24T00:00:00.000
20,PPT000020,Pioneer PurchasePaymentTerm 20,21,21,0.002000,-1,1,2026-08-24T00:00:00.000
21,PPT000021,Granite PurchasePaymentTerm 21,22,22,0.002100,-1,1,2026-08-24T00:00:00.000
22,PPT000022,Unity PurchasePaymentTerm 22,23,23,0.002200,-1,1,2026-08-24T00:00:00.000
23,PPT000023,Northstar PurchasePaymentTerm 23,24,24,0.002300,-1,1,2026-08-24T00:00:00.000
24,PPT000024,Atlas PurchasePaymentTerm 24,25,25,0.002400,-1,1,2026-08-24T00:00:00.000
25,PPT000025,Granite PurchasePaymentTerm 25,26,26,0.002500,-1,1,2026-08-24T00:00:00.000
26,PPT000026,Meridian PurchasePaymentTerm 26,27,27,0.002600,-1,1,2026-08-24T00:00:00.000
27,PPT000027,Granite PurchasePaymentTerm 27,28,28,0.002700,-1,1,2026-08-24T00:00:00.000
28,PPT000028,Atlas PurchasePaymentTerm 28,1,1,0.002800,-1,1,2026-08-24T00:00:00.000
29,PPT000029,Evergreen PurchasePaymentTerm 29,2,2,0.002900,-1,1,2026-08-24T00:00:00.000
30,PPT000030,Unity PurchasePaymentTerm 30,3,3,0.003000,-1,1,2026-08-24T00:00:00.000
31,PPT000031,Cedar PurchasePaymentTerm 31,4,4,0.003100,-1,1,2026-08-24T00:00:00.000
32,PPT000032,Ion PurchasePaymentTerm 32,5,5,0.003200,-1,1,2026-08-24T00:00:00.000
33,PPT000033,Meridian PurchasePaymentTerm 33,6,6,0.003300,-1,1,2026-08-24T00:00:00.000
34,PPT000034,Vertex PurchasePaymentTerm 34,7,7,0.003400,-1,1,2026-08-24T00:00:00.000
35,PPT000035,Ion PurchasePaymentTerm 35,8,8,0.003500,-1,1,2026-08-24T00:00:00.000
36,PPT000036,Harbor PurchasePaymentTerm 36,9,9,0.003600,-1,1,2026-08-24T00:00:00.000
37,PPT000037,Granite PurchasePaymentTerm 37,10,10,0.003700,-1,1,2026-08-24T00:00:00.000
38,PPT000038,Granite PurchasePaymentTerm 38,11,11,0.003800,-1,1,2026-08-24T00:00:00.000
39,PPT000039,Pioneer PurchasePaymentTerm 39,12,12,0.003900,-1,1,2026-08-24T00:00:00.000
40,PPT000040,Willow PurchasePaymentTerm 40,13,13,0.004000,-1,1,2026-08-24T00:00:00.000
