CountryKey,CountryCode,RegionKey,CountryName,CountryDescription,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,0,-1,0,1900-01-01T00:00:00.000
1,CA,8,Liberty Country 1,Country starter record 1,1,1,1,2026-08-24T00:00:00.000
2,MX,8,Keystone Country 2,Country starter record 2,1,1,1,2026-08-24T00:00:00.000
3,DE,8,Northstar Country 3,Country starter record 3,1,1,1,2026-08-24T00:00:00.000
4,GB,13,Atlas Country 4,Country starter record 4,1,1,1,2026-08-24T00:00:00.000
5,JP,3,Keystone Country 5,Country starter record 5,0,1,1,2026-08-24T00:00:00.000
6,CN,14,Quartz Country 6,Country starter record 6,1,1,1,2026-08-24T00:00:00.000
7,IN,14,Cedar Country 7,Country starter record 7,1,1,1,2026-08-24T00:00:00.000
8,US,4,Forge Country 8,Country starter record 8,1,1,1,2026-08-24T00:00:00.000
9,CA-2,3,Ion Country 9,Country starter record 9,1,1,1,2026-08-24T00:00:00.000
10,MX-2,9,Vertex Country 10,Country starter record 10,0,1,1,2026-08-24T00:00:00.000
11,DE-2,7,Harbor Country 11,Country starter record 11,1,1,1,2026-08-24T00:00:00.000
12,GB-2,5,Summit Country 12,Country starter record 12,1,1,1,2026-08-24T00:00:00.000
13,JP-2,16,Liberty Country 13,Country starter record 13,1,1,1,2026-08-24T00:00:00.000
14,CN-2,7,Willow Country 14,Country starter record 14,1,1,1,2026-08-24T00:00:00.000
15,IN-2,17,Beacon Country 15,Country starter record 15,0,1,1,2026-08-24T00:00:00.000
16,US-2,13,Ion Country 16,Country starter record 16,1,1,1,2026-08-24T00:00:00.000
17,CA-3,15,Junction Country 17,Country starter record 17,1,1,1,2026-08-24T00:00:00.000
18,MX-3,3,Summit Country 18,Country starter record 18,1,1,1,2026-08-24T00:00:00.000
19,DE-3,11,Titan Country 19,Country starter record 19,1,1,1,2026-08-24T00:00:00.000
20,GB-3,14,Junction Country 20,Country starter record 20,0,1,1,2026-08-24T00:00:00.000
21,JP-3,10,Northstar Country 21,Country starter record 21,1,1,1,2026-08-24T00:00:00.000
22,CN-3,10,Atlas Country 22,Country starter record 22,1,1,1,2026-08-24T00:00:00.000
23,IN-3,2,Willow Country 23,Country starter record 23,1,1,1,2026-08-24T00:00:00.000
24,US-3,7,Titan Country 24,Country starter record 24,1,1,1,2026-08-24T00:00:00.000
25,CA-4,17,Ion Country 25,Country starter record 25,0,1,1,2026-08-24T00:00:00.000
26,MX-4,7,Ion Country 26,Country starter record 26,1,1,1,2026-08-24T00:00:00.000
27,DE-4,2,Liberty Country 27,Country starter record 27,1,1,1,2026-08-24T00:00:00.000
28,GB-4,6,Willow Country 28,Country starter record 28,1,1,1,2026-08-24T00:00:00.000
29,JP-4,18,Forge Country 29,Country starter record 29,1,1,1,2026-08-24T00:00:00.000
30,CN-4,18,Titan Country 30,Country starter record 30,0,1,1,2026-08-24T00:00:00.000
31,IN-4,2,Meridian Country 31,Country starter record 31,1,1,1,2026-08-24T00:00:00.000
32,US-4,8,Summit Country 32,Country starter record 32,1,1,1,2026-08-24T00:00:00.000
33,CA-5,6,Titan Country 33,Country starter record 33,1,1,1,2026-08-24T00:00:00.000
34,MX-5,18,Junction Country 34,Country starter record 34,1,1,1,2026-08-24T00:00:00.000
35,DE-5,7,Evergreen Country 35,Country starter record 35,0,1,1,2026-08-24T00:00:00.000
36,GB-5,18,Titan Country 36,Country starter record 36,1,1,1,2026-08-24T00:00:00.000
37,JP-5,12,Vertex Country 37,Country starter record 37,1,1,1,2026-08-24T00:00:00.000
38,CN-5,11,Quartz Country 38,Country starter record 38,1,1,1,2026-08-24T00:00:00.000
39,IN-5,2,Orion Country 39,Country starter record 39,1,1,1,2026-08-24T00:00:00.000
40,US-5,2,Ion Country 40,Country starter record 40,0,1,1,2026-08-24T00:00:00.000
41,CA-6,1,Unity Country 41,Country starter record 41,1,1,1,2026-08-24T00:00:00.000
42,MX-6,18,Cedar Country 42,Country starter record 42,1,1,1,2026-08-24T00:00:00.000
43,DE-6,4,Ion Country 43,Country starter record 43,1,1,1,2026-08-24T00:00:00.000
44,GB-6,5,Delta Country 44,Country starter record 44,1,1,1,2026-08-24T00:00:00.000
45,JP-6,9,Evergreen Country 45,Country starter record 45,0,1,1,2026-08-24T00:00:00.000
46,CN-6,2,Atlas Country 46,Country starter record 46,1,1,1,2026-08-24T00:00:00.000
