LanguageKey,LanguageCode,LanguageName,LanguageDescription,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,N/A,0,-1,0,1900-01-01T00:00:00.000
1,L000001,Beacon Language 1,Language starter record 1,1,-1,1,2026-08-24T00:00:00.000
2,L000002,Summit Language 2,Language starter record 2,1,-1,1,2026-08-24T00:00:00.000
3,L000003,Northstar Language 3,Language starter record 3,1,-1,1,2026-08-24T00:00:00.000
4,L000004,Meridian Language 4,Language starter record 4,1,-1,1,2026-08-24T00:00:00.000
5,L000005,Summit Language 5,Language starter record 5,0,-1,1,2026-08-24T00:00:00.000
6,L000006,Evergreen Language 6,Language starter record 6,1,-1,1,2026-08-24T00:00:00.000
7,L000007,Beacon Language 7,Language starter record 7,1,-1,1,2026-08-24T00:00:00.000
8,L000008,Keystone Language 8,Language starter record 8,1,-1,1,2026-08-24T00:00:00.000
9,L000009,Keystone Language 9,Language starter record 9,1,-1,1,2026-08-24T00:00:00.000
10,L000010,Junction Language 10,Language starter record 10,0,-1,1,2026-08-24T00:00:00.000
11,L000011,Northstar Language 11,Language starter record 11,1,-1,1,2026-08-24T00:00:00.000
12,L000012,Willow Language 12,Language starter record 12,1,-1,1,2026-08-24T00:00:00.000
13,L000013,Pioneer Language 13,Language starter record 13,1,-1,1,2026-08-24T00:00:00.000
14,L000014,Delta Language 14,Language starter record 14,1,-1,1,2026-08-24T00:00:00.000
15,L000015,Junction Language 15,Language starter record 15,0,-1,1,2026-08-24T00:00:00.000
16,L000016,Cedar Language 16,Language starter record 16,1,-1,1,2026-08-24T00:00:00.000
17,L000017,Junction Language 17,Language starter record 17,1,-1,1,2026-08-24T00:00:00.000
18,L000018,Cedar Language 18,Language starter record 18,1,-1,1,2026-08-24T00:00:00.000
19,L000019,Harbor Language 19,Language starter record 19,1,-1,1,2026-08-24T00:00:00.000
20,L000020,Unity Language 20,Language starter record 20,0,-1,1,2026-08-24T00:00:00.000
21,L000021,Riverton Language 21,Language starter record 21,1,-1,1,2026-08-24T00:00:00.000
22,L000022,Granite Language 22,Language starter record 22,1,-1,1,2026-08-24T00:00:00.000
23,L000023,Granite Language 23,Language starter record 23,1,-1,1,2026-08-24T00:00:00.000
24,L000024,Harbor Language 24,Language starter record 24,1,-1,1,2026-08-24T00:00:00.000
25,L000025,Meridian Language 25,Language starter record 25,0,-1,1,2026-08-24T00:00:00.000
26,L000026,Ion Language 26,Language starter record 26,1,-1,1,2026-08-24T00:00:00.000
27,L000027,Orion Language 27,Language starter record 27,1,-1,1,2026-08-24T00:00:00.000
28,L000028,Ion Language 28,Language starter record 28,1,-1,1,2026-08-24T00:00:00.000
29,L000029,Beacon Language 29,Language starter record 29,1,-1,1,2026-08-24T00:00:00.000
30,L000030,Summit Language 30,Language starter record 30,0,-1,1,2026-08-24T00:00:00.000
31,L000031,Forge Language 31,Language starter record 31,1,-1,1,2026-08-24T00:00:00.000
32,L000032,Delta Language 32,Language starter record 32,1,-1,1,2026-08-24T00:00:00.000
33,L000033,Keystone Language 33,Language starter record 33,1,-1,1,2026-08-24T00:00:00.000
34,L000034,Evergreen Language 34,Language starter record 34,1,-1,1,2026-08-24T00:00:00.000
35,L000035,Riverton Language 35,Language starter record 35,0,-1,1,2026-08-24T00:00:00.000
36,L000036,Beacon Language 36,Language starter record 36,1,-1,1,2026-08-24T00:00:00.000
37,L000037,Zenith Language 37,Language starter record 37,1,-1,1,2026-08-24T00:00:00.000
38,L000038,Quartz Language 38,Language starter record 38,1,-1,1,2026-08-24T00:00:00.000
39,L000039,Forge Language 39,Language starter record 39,1,-1,1,2026-08-24T00:00:00.000
40,L000040,Titan Language 40,Language starter record 40,0,-1,1,2026-08-24T00:00:00.000
