ShiftCodeKey,ShiftCode,ShiftCodeName,ShiftCodeDescription,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,N/A,0,-1,0,1900-01-01T00:00:00.000
1,SC000001,SC000001,SC000001,1,-1,1,2026-08-24T00:00:00.000
2,SC000002,SC000002,SC000002,1,-1,1,2026-08-24T00:00:00.000
3,SC000003,SC000003,SC000003,1,-1,1,2026-08-24T00:00:00.000
4,SC000004,SC000004,SC000004,1,-1,1,2026-08-24T00:00:00.000
5,SC000005,SC000005,SC000005,0,-1,1,2026-08-24T00:00:00.000
6,SC000006,SC000006,SC000006,1,-1,1,2026-08-24T00:00:00.000
7,SC000007,SC000007,SC000007,1,-1,1,2026-08-24T00:00:00.000
8,SC000008,SC000008,SC000008,1,-1,1,2026-08-24T00:00:00.000
9,SC000009,SC000009,SC000009,1,-1,1,2026-08-24T00:00:00.000
10,SC000010,SC000010,SC000010,0,-1,1,2026-08-24T00:00:00.000
11,SC000011,SC000011,SC000011,1,-1,1,2026-08-24T00:00:00.000
12,SC000012,SC000012,SC000012,1,-1,1,2026-08-24T00:00:00.000
