FailureModeKey,FailureModeCode,FailureModeGroupKey,FailureModeName,FailureModeDescription,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,0,-1,0,1900-01-01T00:00:00.000
1,FM000001,3,Zenith FailureMode 1,FailureMode starter record 1,1,1,1,2026-08-24T00:00:00.000
2,FM000002,1,Willow FailureMode 2,FailureMode starter record 2,1,1,1,2026-08-24T00:00:00.000
3,FM000003,1,Northstar FailureMode 3,FailureMode starter record 3,1,1,1,2026-08-24T00:00:00.000
4,FM000004,1,Titan FailureMode 4,FailureMode starter record 4,1,1,1,2026-08-24T00:00:00.000
5,FM000005,1,Northstar FailureMode 5,FailureMode starter record 5,0,1,1,2026-08-24T00:00:00.000
6,FM000006,4,Junction FailureMode 6,FailureMode starter record 6,1,1,1,2026-08-24T00:00:00.000
7,FM000007,4,Forge FailureMode 7,FailureMode starter record 7,1,1,1,2026-08-24T00:00:00.000
8,FM000008,2,Zenith FailureMode 8,FailureMode starter record 8,1,1,1,2026-08-24T00:00:00.000
9,FM000009,1,Atlas FailureMode 9,FailureMode starter record 9,1,1,1,2026-08-24T00:00:00.000
10,FM000010,4,Atlas FailureMode 10,FailureMode starter record 10,0,1,1,2026-08-24T00:00:00.000
11,FM000011,3,Pioneer FailureMode 11,FailureMode starter record 11,1,1,1,2026-08-24T00:00:00.000
12,FM000012,2,Junction FailureMode 12,FailureMode starter record 12,1,1,1,2026-08-24T00:00:00.000
13,FM000013,3,Liberty FailureMode 13,FailureMode starter record 13,1,1,1,2026-08-24T00:00:00.000
14,FM000014,4,Pioneer FailureMode 14,FailureMode starter record 14,1,1,1,2026-08-24T00:00:00.000
15,FM000015,4,Keystone FailureMode 15,FailureMode starter record 15,0,1,1,2026-08-24T00:00:00.000
16,FM000016,4,Vertex FailureMode 16,FailureMode starter record 16,1,1,1,2026-08-24T00:00:00.000
17,FM000017,2,Willow FailureMode 17,FailureMode starter record 17,1,1,1,2026-08-24T00:00:00.000
18,FM000018,1,Vertex FailureMode 18,FailureMode starter record 18,1,1,1,2026-08-24T00:00:00.000
19,FM000019,1,Evergreen FailureMode 19,FailureMode starter record 19,1,1,1,2026-08-24T00:00:00.000
20,FM000020,3,Summit FailureMode 20,FailureMode starter record 20,0,1,1,2026-08-24T00:00:00.000
21,FM000021,3,Northstar FailureMode 21,FailureMode starter record 21,1,1,1,2026-08-24T00:00:00.000
22,FM000022,3,Northstar FailureMode 22,FailureMode starter record 22,1,1,1,2026-08-24T00:00:00.000
23,FM000023,3,Keystone FailureMode 23,FailureMode starter record 23,1,1,1,2026-08-24T00:00:00.000
24,FM000024,1,Meridian FailureMode 24,FailureMode starter record 24,1,1,1,2026-08-24T00:00:00.000
25,FM000025,1,Northstar FailureMode 25,FailureMode starter record 25,0,1,1,2026-08-24T00:00:00.000
26,FM000026,4,Granite FailureMode 26,FailureMode starter record 26,1,1,1,2026-08-24T00:00:00.000
27,FM000027,1,Granite FailureMode 27,FailureMode starter record 27,1,1,1,2026-08-24T00:00:00.000
28,FM000028,1,Granite FailureMode 28,FailureMode starter record 28,1,1,1,2026-08-24T00:00:00.000
29,FM000029,3,Meridian FailureMode 29,FailureMode starter record 29,1,1,1,2026-08-24T00:00:00.000
30,FM000030,4,Cedar FailureMode 30,FailureMode starter record 30,0,1,1,2026-08-24T00:00:00.000
31,FM000031,1,Granite FailureMode 31,FailureMode starter record 31,1,1,1,2026-08-24T00:00:00.000
32,FM000032,1,Harbor FailureMode 32,FailureMode starter record 32,1,1,1,2026-08-24T00:00:00.000
33,FM000033,1,Evergreen FailureMode 33,FailureMode starter record 33,1,1,1,2026-08-24T00:00:00.000
34,FM000034,2,Granite FailureMode 34,FailureMode starter record 34,1,1,1,2026-08-24T00:00:00.000
35,FM000035,1,Willow FailureMode 35,FailureMode starter record 35,0,1,1,2026-08-24T00:00:00.000
36,FM000036,3,Ion FailureMode 36,FailureMode starter record 36,1,1,1,2026-08-24T00:00:00.000
37,FM000037,2,Evergreen FailureMode 37,FailureMode starter record 37,1,1,1,2026-08-24T00:00:00.000
38,FM000038,2,Harbor FailureMode 38,FailureMode starter record 38,1,1,1,2026-08-24T00:00:00.000
39,FM000039,4,Zenith FailureMode 39,FailureMode starter record 39,1,1,1,2026-08-24T00:00:00.000
40,FM000040,3,Atlas FailureMode 40,FailureMode starter record 40,0,1,1,2026-08-24T00:00:00.000
41,FM000041,4,Quartz FailureMode 41,FailureMode starter record 41,1,1,1,2026-08-24T00:00:00.000
42,FM000042,3,Forge FailureMode 42,FailureMode starter record 42,1,1,1,2026-08-24T00:00:00.000
43,FM000043,2,Keystone FailureMode 43,FailureMode starter record 43,1,1,1,2026-08-24T00:00:00.000
44,FM000044,3,Summit FailureMode 44,FailureMode starter record 44,1,1,1,2026-08-24T00:00:00.000
45,FM000045,1,Beacon FailureMode 45,FailureMode starter record 45,0,1,1,2026-08-24T00:00:00.000
46,FM000046,4,Forge FailureMode 46,FailureMode starter record 46,1,1,1,2026-08-24T00:00:00.000
47,FM000047,1,Beacon FailureMode 47,FailureMode starter record 47,1,1,1,2026-08-24T00:00:00.000
48,FM000048,2,Riverton FailureMode 48,FailureMode starter record 48,1,1,1,2026-08-24T00:00:00.000
49,FM000049,1,Northstar FailureMode 49,FailureMode starter record 49,1,1,1,2026-08-24T00:00:00.000
50,FM000050,3,Liberty FailureMode 50,FailureMode starter record 50,0,1,1,2026-08-24T00:00:00.000
