InventoryPolicyProductAssignmentKey,InventorySafetyStockPolicyKey,ProductKey,PlantKey,InventoryAbcClassKey,TargetServiceRatio,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,-1,0.000000,-1,0,1900-01-01T00:00:00.000
1,157,469,73,5,2.000000,1,1,2026-08-24T00:00:00.000
2,401,314,292,1,3.000000,1,1,2026-08-24T00:00:00.000
3,273,343,102,1,4.000000,1,1,2026-08-24T00:00:00.000
4,370,293,262,4,5.000000,1,1,2026-08-24T00:00:00.000
5,174,305,114,5,6.000000,1,1,2026-08-24T00:00:00.000
6,363,330,126,1,7.000000,1,1,2026-08-24T00:00:00.000
7,253,165,136,3,8.000000,1,1,2026-08-24T00:00:00.000
8,231,189,87,3,9.000000,1,1,2026-08-24T00:00:00.000
9,217,9,9,5,10.000000,1,1,2026-08-24T00:00:00.000
10,283,259,226,4,11.000000,1,1,2026-08-24T00:00:00.000
11,116,495,82,1,12.000000,1,1,2026-08-24T00:00:00.000
12,316,478,46,1,13.000000,1,1,2026-08-24T00:00:00.000
13,257,452,56,1,14.000000,1,1,2026-08-24T00:00:00.000
14,436,383,228,3,15.000000,1,1,2026-08-24T00:00:00.000
15,298,290,248,5,16.000000,1,1,2026-08-24T00:00:00.000
16,163,385,210,2,17.000000,1,1,2026-08-24T00:00:00.000
17,113,145,181,2,18.000000,1,1,2026-08-24T00:00:00.000
18,205,189,319,2,19.000000,1,1,2026-08-24T00:00:00.000
19,87,322,53,2,20.000000,1,1,2026-08-24T00:00:00.000
20,329,380,350,1,21.000000,1,1,2026-08-24T00:00:00.000
21,486,209,339,1,22.000000,1,1,2026-08-24T00:00:00.000
22,277,254,131,4,23.000000,1,1,2026-08-24T00:00:00.000
23,59,43,121,5,24.000000,1,1,2026-08-24T00:00:00.000
24,317,367,348,4,25.000000,1,1,2026-08-24T00:00:00.000
25,243,244,267,2,26.000000,1,1,2026-08-24T00:00:00.000
26,105,225,308,2,27.000000,1,1,2026-08-24T00:00:00.000
27,353,291,293,3,28.000000,1,1,2026-08-24T00:00:00.000
28,239,407,66,2,29.000000,1,1,2026-08-24T00:00:00.000
29,381,394,319,4,30.000000,1,1,2026-08-24T00:00:00.000
30,103,127,141,3,31.000000,1,1,2026-08-24T00:00:00.000
31,7,294,192,1,32.000000,1,1,2026-08-24T00:00:00.000
32,188,127,25,1,33.000000,1,1,2026-08-24T00:00:00.000
33,432,170,79,5,34.000000,1,1,2026-08-24T00:00:00.000
34,178,44,322,4,35.000000,1,1,2026-08-24T00:00:00.000
35,388,196,213,1,36.000000,1,1,2026-08-24T00:00:00.000
36,170,434,160,4,37.000000,1,1,2026-08-24T00:00:00.000
