SafetyPermitEmployeeKey,SafetyPermitTypeKey,EmployeeKey,AuthorizationStartDate,AuthorizationEndDate,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,1900-01-01,1900-01-01,-1,0,1900-01-01T00:00:00.000
1,96,417,2020-01-02,2021-01-01,1,1,2026-08-24T00:00:00.000
2,43,182,2020-01-03,2021-01-02,1,1,2026-08-24T00:00:00.000
3,49,250,2020-01-04,2021-01-03,1,1,2026-08-24T00:00:00.000
4,194,217,2020-01-05,2021-01-04,1,1,2026-08-24T00:00:00.000
5,207,298,2020-01-06,2021-01-05,1,1,2026-08-24T00:00:00.000
6,151,103,2020-01-07,2021-01-06,1,1,2026-08-24T00:00:00.000
7,36,382,2020-01-08,2021-01-07,1,1,2026-08-24T00:00:00.000
8,309,241,2020-01-09,2021-01-08,1,1,2026-08-24T00:00:00.000
9,45,302,2020-01-10,2021-01-09,1,1,2026-08-24T00:00:00.000
10,143,402,2020-01-11,2021-01-10,1,1,2026-08-24T00:00:00.000
11,252,170,2020-01-12,2021-01-11,1,1,2026-08-24T00:00:00.000
12,140,359,2020-01-13,2021-01-12,1,1,2026-08-24T00:00:00.000
13,240,278,2020-01-14,2021-01-13,1,1,2026-08-24T00:00:00.000
14,274,435,2020-01-15,2021-01-14,1,1,2026-08-24T00:00:00.000
15,289,219,2020-01-16,2021-01-15,1,1,2026-08-24T00:00:00.000
16,252,186,2020-01-17,2021-01-16,1,1,2026-08-24T00:00:00.000
17,281,291,2020-01-18,2021-01-17,1,1,2026-08-24T00:00:00.000
18,156,358,2020-01-19,2021-01-18,1,1,2026-08-24T00:00:00.000
19,117,420,2020-01-20,2021-01-19,1,1,2026-08-24T00:00:00.000
20,196,191,2020-01-21,2021-01-20,1,1,2026-08-24T00:00:00.000
21,93,303,2020-01-22,2021-01-21,1,1,2026-08-24T00:00:00.000
22,304,69,2020-01-23,2021-01-22,1,1,2026-08-24T00:00:00.000
23,122,232,2020-01-24,2021-01-23,1,1,2026-08-24T00:00:00.000
24,137,147,2020-01-25,2021-01-24,1,1,2026-08-24T00:00:00.000
25,250,129,2020-01-26,2021-01-25,1,1,2026-08-24T00:00:00.000
26,133,385,2020-01-27,2021-01-26,1,1,2026-08-24T00:00:00.000
27,305,1,2020-01-28,2021-01-27,1,1,2026-08-24T00:00:00.000
28,285,236,2020-01-29,2021-01-28,1,1,2026-08-24T00:00:00.000
