FinanceJournalProfitabilityAssignmentKey,FinanceJournalLineKey,FinanceProfitObjectKey,BusinessUnitKey,AllocationRatio,AllocatedAmount,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,326,16,348,2.000000,11.3700,1,1,2026-08-24T00:00:00.000
2,131,428,489,3.000000,12.7400,1,1,2026-08-24T00:00:00.000
3,378,82,57,4.000000,14.1100,1,1,2026-08-24T00:00:00.000
4,224,461,230,5.000000,15.4800,1,1,2026-08-24T00:00:00.000
5,429,480,66,6.000000,16.8500,1,1,2026-08-24T00:00:00.000
6,56,211,373,7.000000,18.2200,1,1,2026-08-24T00:00:00.000
7,127,311,159,8.000000,19.5900,1,1,2026-08-24T00:00:00.000
8,479,455,191,9.000000,20.9600,1,1,2026-08-24T00:00:00.000
9,153,460,104,10.000000,22.3300,1,1,2026-08-24T00:00:00.000
10,193,273,429,11.000000,23.7000,1,1,2026-08-24T00:00:00.000
11,479,132,54,12.000000,25.0700,1,1,2026-08-24T00:00:00.000
12,279,312,73,13.000000,26.4400,1,1,2026-08-24T00:00:00.000
13,298,251,393,14.000000,27.8100,1,1,2026-08-24T00:00:00.000
14,235,200,22,15.000000,29.1800,1,1,2026-08-24T00:00:00.000
15,271,75,310,16.000000,30.5500,1,1,2026-08-24T00:00:00.000
16,165,308,198,17.000000,31.9200,1,1,2026-08-24T00:00:00.000
17,208,498,456,18.000000,33.2900,1,1,2026-08-24T00:00:00.000
18,439,42,288,19.000000,34.6600,1,1,2026-08-24T00:00:00.000
19,117,330,466,20.000000,36.0300,1,1,2026-08-24T00:00:00.000
20,180,224,110,21.000000,37.4000,1,1,2026-08-24T00:00:00.000
21,453,500,391,22.000000,38.7700,1,1,2026-08-24T00:00:00.000
22,75,44,339,23.000000,40.1400,1,1,2026-08-24T00:00:00.000
23,257,380,449,24.000000,41.5100,1,1,2026-08-24T00:00:00.000
24,10,439,317,25.000000,42.8800,1,1,2026-08-24T00:00:00.000
25,296,249,319,26.000000,44.2500,1,1,2026-08-24T00:00:00.000
26,12,317,19,27.000000,45.6200,1,1,2026-08-24T00:00:00.000
27,480,379,445,28.000000,46.9900,1,1,2026-08-24T00:00:00.000
28,398,477,82,29.000000,48.3600,1,1,2026-08-24T00:00:00.000
29,325,288,400,30.000000,49.7300,1,1,2026-08-24T00:00:00.000
30,400,33,132,31.000000,51.1000,1,1,2026-08-24T00:00:00.000
31,421,153,252,32.000000,52.4700,1,1,2026-08-24T00:00:00.000
32,480,177,82,33.000000,53.8400,1,1,2026-08-24T00:00:00.000
33,290,403,272,34.000000,55.2100,1,1,2026-08-24T00:00:00.000
34,306,165,81,35.000000,56.5800,1,1,2026-08-24T00:00:00.000
35,170,2,466,36.000000,57.9500,1,1,2026-08-24T00:00:00.000
36,153,25,466,37.000000,59.3200,1,1,2026-08-24T00:00:00.000
37,336,319,351,38.000000,60.6900,1,1,2026-08-24T00:00:00.000
38,309,97,156,39.000000,62.0600,1,1,2026-08-24T00:00:00.000
39,379,157,385,40.000000,63.4300,1,1,2026-08-24T00:00:00.000
40,163,61,88,41.000000,64.8000,1,1,2026-08-24T00:00:00.000
41,248,356,243,42.000000,66.1700,1,1,2026-08-24T00:00:00.000
42,359,134,19,43.000000,67.5400,1,1,2026-08-24T00:00:00.000
43,140,431,304,44.000000,68.9100,1,1,2026-08-24T00:00:00.000
44,39,161,218,45.000000,70.2800,1,1,2026-08-24T00:00:00.000
45,53,467,166,46.000000,71.6500,1,1,2026-08-24T00:00:00.000
46,413,493,239,47.000000,73.0200,1,1,2026-08-24T00:00:00.000
47,9,104,37,48.000000,74.3900,1,1,2026-08-24T00:00:00.000
48,379,468,1,49.000000,75.7600,1,1,2026-08-24T00:00:00.000
49,342,236,88,50.000000,77.1300,1,1,2026-08-24T00:00:00.000
50,253,41,81,51.000000,78.5000,1,1,2026-08-24T00:00:00.000
51,276,406,333,52.000000,79.8700,1,1,2026-08-24T00:00:00.000
52,488,315,52,53.000000,81.2400,1,1,2026-08-24T00:00:00.000
53,10,2,402,54.000000,82.6100,1,1,2026-08-24T00:00:00.000
54,299,266,242,55.000000,83.9800,1,1,2026-08-24T00:00:00.000
55,274,24,105,56.000000,85.3500,1,1,2026-08-24T00:00:00.000
56,252,288,202,57.000000,86.7200,1,1,2026-08-24T00:00:00.000
57,395,380,301,58.000000,88.0900,1,1,2026-08-24T00:00:00.000
58,138,209,251,59.000000,89.4600,1,1,2026-08-24T00:00:00.000
59,246,50,497,60.000000,90.8300,1,1,2026-08-24T00:00:00.000
60,7,282,230,61.000000,92.2000,1,1,2026-08-24T00:00:00.000
61,154,54,248,62.000000,93.5700,1,1,2026-08-24T00:00:00.000
62,8,451,374,63.000000,94.9400,1,1,2026-08-24T00:00:00.000
63,389,119,263,64.000000,96.3100,1,1,2026-08-24T00:00:00.000
64,384,31,380,65.000000,97.6800,1,1,2026-08-24T00:00:00.000
65,79,357,208,66.000000,99.0500,1,1,2026-08-24T00:00:00.000
66,188,37,334,67.000000,100.4200,1,1,2026-08-24T00:00:00.000
67,177,103,83,68.000000,101.7900,1,1,2026-08-24T00:00:00.000
68,223,10,304,69.000000,103.1600,1,1,2026-08-24T00:00:00.000
69,144,98,372,70.000000,104.5300,1,1,2026-08-24T00:00:00.000
70,487,25,157,71.000000,105.9000,1,1,2026-08-24T00:00:00.000
71,239,75,321,72.000000,107.2700,1,1,2026-08-24T00:00:00.000
72,374,256,279,73.000000,108.6400,1,1,2026-08-24T00:00:00.000
73,441,20,67,74.000000,110.0100,1,1,2026-08-24T00:00:00.000
74,217,98,394,75.000000,111.3800,1,1,2026-08-24T00:00:00.000
75,422,477,237,76.000000,112.7500,1,1,2026-08-24T00:00:00.000
76,455,185,123,77.000000,114.1200,1,1,2026-08-24T00:00:00.000
77,397,12,349,78.000000,115.4900,1,1,2026-08-24T00:00:00.000
78,413,313,108,79.000000,116.8600,1,1,2026-08-24T00:00:00.000
79,393,331,76,80.000000,118.2300,1,1,2026-08-24T00:00:00.000
80,77,18,363,81.000000,119.6000,1,1,2026-08-24T00:00:00.000
81,222,87,473,82.000000,120.9700,1,1,2026-08-24T00:00:00.000
82,417,104,339,83.000000,122.3400,1,1,2026-08-24T00:00:00.000
83,404,171,141,84.000000,123.7100,1,1,2026-08-24T00:00:00.000
84,388,56,132,85.000000,125.0800,1,1,2026-08-24T00:00:00.000
85,135,367,297,86.000000,126.4500,1,1,2026-08-24T00:00:00.000
86,334,368,61,87.000000,127.8200,1,1,2026-08-24T00:00:00.000
87,32,66,196,88.000000,129.1900,1,1,2026-08-24T00:00:00.000
88,25,413,330,89.000000,130.5600,1,1,2026-08-24T00:00:00.000
89,124,270,168,90.000000,131.9300,1,1,2026-08-24T00:00:00.000
90,43,39,426,91.000000,133.3000,1,1,2026-08-24T00:00:00.000
91,493,419,383,92.000000,134.6700,1,1,2026-08-24T00:00:00.000
92,176,97,327,93.000000,136.0400,1,1,2026-08-24T00:00:00.000
93,65,481,189,94.000000,137.4100,1,1,2026-08-24T00:00:00.000
94,176,482,466,95.000000,138.7800,1,1,2026-08-24T00:00:00.000
95,62,405,304,96.000000,140.1500,1,1,2026-08-24T00:00:00.000
96,277,143,272,97.000000,141.5200,1,1,2026-08-24T00:00:00.000
97,161,18,64,98.000000,142.8900,1,1,2026-08-24T00:00:00.000
98,96,441,319,99.000000,144.2600,1,1,2026-08-24T00:00:00.000
99,241,389,171,100.000000,145.6300,1,1,2026-08-24T00:00:00.000
100,266,199,119,101.000000,147.0000,1,1,2026-08-24T00:00:00.000
101,435,246,321,102.000000,148.3700,1,1,2026-08-24T00:00:00.000
102,129,427,190,103.000000,149.7400,1,1,2026-08-24T00:00:00.000
103,302,10,70,104.000000,151.1100,1,1,2026-08-24T00:00:00.000
104,35,171,190,105.000000,152.4800,1,1,2026-08-24T00:00:00.000
105,445,141,400,106.000000,153.8500,1,1,2026-08-24T00:00:00.000
106,101,100,415,107.000000,155.2200,1,1,2026-08-24T00:00:00.000
107,258,347,215,108.000000,156.5900,1,1,2026-08-24T00:00:00.000
108,156,403,441,109.000000,157.9600,1,1,2026-08-24T00:00:00.000
109,438,110,192,110.000000,159.3300,1,1,2026-08-24T00:00:00.000
110,353,55,147,111.000000,160.7000,1,1,2026-08-24T00:00:00.000
111,34,304,372,112.000000,162.0700,1,1,2026-08-24T00:00:00.000
