MaintenanceAssetFailureModeKey,AssetKey,MaintenanceFailureModeKey,MaintenanceFailureSeverityKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,246,67,1,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,195,129,1,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,23,39,12,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,447,114,6,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,285,105,4,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,94,23,6,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,397,83,8,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,69,47,1,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,313,34,3,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,34,8,8,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,324,30,5,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,197,97,3,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,304,16,5,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,46,12,3,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,298,114,9,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,358,129,3,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,252,58,11,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,67,60,3,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,471,59,4,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,25,14,11,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,100,45,9,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,110,48,11,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,352,98,2,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,142,10,7,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,291,2,10,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,19,82,7,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,40,121,3,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,53,133,9,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,300,23,8,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,220,158,3,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,194,66,10,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,136,105,8,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,461,95,10,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,236,73,5,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,198,77,2,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,396,102,7,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,184,86,9,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,20,65,2,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,72,116,2,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,50,126,8,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,430,78,12,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,153,23,4,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,486,79,7,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,258,108,8,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,14,160,2,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,257,160,7,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,197,13,4,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,383,132,9,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,171,25,7,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,80,10,2,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,80,72,12,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,320,75,12,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,273,67,1,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,378,8,10,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,223,8,12,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,235,53,4,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,94,26,12,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,159,46,8,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,128,51,2,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,408,69,5,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,462,101,10,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,389,152,1,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,158,49,10,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,276,156,11,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,65,88,2,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,282,20,12,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,433,74,10,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,109,43,2,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,39,52,11,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,370,91,9,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,313,105,2,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,258,73,7,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,369,16,6,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,51,122,6,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,86,139,10,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,452,158,5,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,70,46,12,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,310,74,4,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,152,36,6,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,27,160,8,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,351,135,11,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,317,154,3,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,454,99,12,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,377,37,7,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,414,16,4,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,156,16,5,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,39,94,8,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,164,25,7,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,119,74,12,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,444,30,3,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,6,107,6,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,323,139,5,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,133,21,6,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,473,65,9,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,217,122,3,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,55,112,8,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,224,63,4,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,305,96,5,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
