SalesOrderLineAllocationKey,SalesOrderLineKey,SalesFulfillmentPromiseKey,ProductKey,PlantKey,SalesAllocationStatusKey,AllocatedQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,-1,-1,0.0000,-1,0,1900-01-01T00:00:00.000
1,430,81,151,145,6,0.8000,1,1,2026-08-24T00:00:00.000
2,388,91,152,194,5,1.5000,1,1,2026-08-24T00:00:00.000
3,207,14,139,193,3,2.2000,1,1,2026-08-24T00:00:00.000
4,184,164,83,96,9,2.9000,1,1,2026-08-24T00:00:00.000
5,465,305,9,216,4,3.6000,1,1,2026-08-24T00:00:00.000
6,303,144,469,192,3,4.3000,1,1,2026-08-24T00:00:00.000
7,87,76,351,210,4,5.0000,1,1,2026-08-24T00:00:00.000
8,203,425,479,227,1,5.7000,1,1,2026-08-24T00:00:00.000
9,66,221,62,128,3,6.4000,1,1,2026-08-24T00:00:00.000
10,186,495,99,165,6,7.1000,1,1,2026-08-24T00:00:00.000
11,12,60,411,156,6,7.8000,1,1,2026-08-24T00:00:00.000
12,165,415,99,209,7,8.5000,1,1,2026-08-24T00:00:00.000
13,481,155,467,243,8,9.2000,1,1,2026-08-24T00:00:00.000
14,27,2,178,61,8,9.9000,1,1,2026-08-24T00:00:00.000
15,401,271,170,71,1,10.6000,1,1,2026-08-24T00:00:00.000
16,454,247,30,72,8,11.3000,1,1,2026-08-24T00:00:00.000
17,344,397,221,236,5,12.0000,1,1,2026-08-24T00:00:00.000
18,137,216,122,121,9,12.7000,1,1,2026-08-24T00:00:00.000
19,497,71,102,156,2,13.4000,1,1,2026-08-24T00:00:00.000
20,180,71,347,191,3,14.1000,1,1,2026-08-24T00:00:00.000
21,46,60,347,277,2,14.8000,1,1,2026-08-24T00:00:00.000
22,229,499,386,7,9,15.5000,1,1,2026-08-24T00:00:00.000
23,123,162,472,61,9,16.2000,1,1,2026-08-24T00:00:00.000
24,366,138,282,20,4,16.9000,1,1,2026-08-24T00:00:00.000
25,342,146,372,14,6,17.6000,1,1,2026-08-24T00:00:00.000
26,223,208,257,269,3,18.3000,1,1,2026-08-24T00:00:00.000
27,242,66,4,81,3,19.0000,1,1,2026-08-24T00:00:00.000
28,235,269,448,349,5,19.7000,1,1,2026-08-24T00:00:00.000
29,335,52,377,197,8,20.4000,1,1,2026-08-24T00:00:00.000
30,31,168,30,6,9,21.1000,1,1,2026-08-24T00:00:00.000
31,129,138,67,68,3,21.8000,1,1,2026-08-24T00:00:00.000
32,356,132,107,55,6,22.5000,1,1,2026-08-24T00:00:00.000
33,148,272,242,35,6,23.2000,1,1,2026-08-24T00:00:00.000
34,84,75,63,176,1,23.9000,1,1,2026-08-24T00:00:00.000
35,39,334,104,249,5,24.6000,1,1,2026-08-24T00:00:00.000
36,193,327,359,81,8,25.3000,1,1,2026-08-24T00:00:00.000
37,262,460,325,254,2,26.0000,1,1,2026-08-24T00:00:00.000
38,303,462,178,331,10,26.7000,1,1,2026-08-24T00:00:00.000
39,306,400,7,315,6,27.4000,1,1,2026-08-24T00:00:00.000
40,403,109,254,240,1,28.1000,1,1,2026-08-24T00:00:00.000
41,308,401,99,10,9,28.8000,1,1,2026-08-24T00:00:00.000
42,366,93,177,139,2,29.5000,1,1,2026-08-24T00:00:00.000
43,378,369,47,140,2,30.2000,1,1,2026-08-24T00:00:00.000
44,173,355,142,98,4,30.9000,1,1,2026-08-24T00:00:00.000
45,169,405,161,298,1,31.6000,1,1,2026-08-24T00:00:00.000
46,394,303,123,278,4,32.3000,1,1,2026-08-24T00:00:00.000
47,294,282,458,54,8,33.0000,1,1,2026-08-24T00:00:00.000
48,230,399,438,160,2,33.7000,1,1,2026-08-24T00:00:00.000
49,494,425,314,191,10,34.4000,1,1,2026-08-24T00:00:00.000
50,409,468,144,330,5,35.1000,1,1,2026-08-24T00:00:00.000
51,167,1,461,335,1,35.8000,1,1,2026-08-24T00:00:00.000
52,271,431,4,310,7,36.5000,1,1,2026-08-24T00:00:00.000
53,310,112,247,277,10,37.2000,1,1,2026-08-24T00:00:00.000
54,213,212,244,76,3,37.9000,1,1,2026-08-24T00:00:00.000
55,436,200,133,291,3,38.6000,1,1,2026-08-24T00:00:00.000
56,325,121,227,229,10,39.3000,1,1,2026-08-24T00:00:00.000
57,297,398,41,230,2,40.0000,1,1,2026-08-24T00:00:00.000
58,282,67,262,144,3,40.7000,1,1,2026-08-24T00:00:00.000
59,409,81,130,56,9,41.4000,1,1,2026-08-24T00:00:00.000
60,438,490,11,182,9,42.1000,1,1,2026-08-24T00:00:00.000
61,445,121,342,287,3,42.8000,1,1,2026-08-24T00:00:00.000
62,198,334,386,224,3,43.5000,1,1,2026-08-24T00:00:00.000
63,472,436,437,146,2,44.2000,1,1,2026-08-24T00:00:00.000
64,362,429,297,101,7,44.9000,1,1,2026-08-24T00:00:00.000
65,222,380,493,311,10,45.6000,1,1,2026-08-24T00:00:00.000
66,457,283,291,46,5,46.3000,1,1,2026-08-24T00:00:00.000
67,271,6,284,290,10,47.0000,1,1,2026-08-24T00:00:00.000
68,348,338,122,268,10,47.7000,1,1,2026-08-24T00:00:00.000
69,346,383,173,298,2,48.4000,1,1,2026-08-24T00:00:00.000
70,155,368,23,255,9,49.1000,1,1,2026-08-24T00:00:00.000
71,479,312,124,325,1,49.8000,1,1,2026-08-24T00:00:00.000
72,172,64,498,236,7,50.5000,1,1,2026-08-24T00:00:00.000
73,132,474,394,7,6,51.2000,1,1,2026-08-24T00:00:00.000
74,383,230,72,228,8,51.9000,1,1,2026-08-24T00:00:00.000
75,64,395,43,318,10,52.6000,1,1,2026-08-24T00:00:00.000
76,196,441,176,280,6,53.3000,1,1,2026-08-24T00:00:00.000
77,428,44,414,299,10,54.0000,1,1,2026-08-24T00:00:00.000
78,457,267,413,169,2,54.7000,1,1,2026-08-24T00:00:00.000
79,160,430,445,127,10,55.4000,1,1,2026-08-24T00:00:00.000
80,399,482,280,25,1,56.1000,1,1,2026-08-24T00:00:00.000
81,362,191,418,73,2,56.8000,1,1,2026-08-24T00:00:00.000
82,55,381,98,46,1,57.5000,1,1,2026-08-24T00:00:00.000
83,350,164,437,276,4,58.2000,1,1,2026-08-24T00:00:00.000
84,347,131,119,194,7,58.9000,1,1,2026-08-24T00:00:00.000
85,138,35,219,340,5,59.6000,1,1,2026-08-24T00:00:00.000
86,328,27,291,291,6,60.3000,1,1,2026-08-24T00:00:00.000
87,26,44,102,206,4,61.0000,1,1,2026-08-24T00:00:00.000
88,140,199,184,53,3,61.7000,1,1,2026-08-24T00:00:00.000
89,42,428,246,3,1,62.4000,1,1,2026-08-24T00:00:00.000
90,379,405,153,303,10,63.1000,1,1,2026-08-24T00:00:00.000
91,345,306,249,24,8,63.8000,1,1,2026-08-24T00:00:00.000
92,455,246,5,346,4,64.5000,1,1,2026-08-24T00:00:00.000
93,223,63,187,272,2,65.2000,1,1,2026-08-24T00:00:00.000
94,35,181,430,164,1,65.9000,1,1,2026-08-24T00:00:00.000
95,225,175,380,273,10,66.6000,1,1,2026-08-24T00:00:00.000
96,463,248,144,102,1,67.3000,1,1,2026-08-24T00:00:00.000
97,326,250,15,330,9,68.0000,1,1,2026-08-24T00:00:00.000
98,69,206,432,29,3,68.7000,1,1,2026-08-24T00:00:00.000
99,391,189,276,212,5,69.4000,1,1,2026-08-24T00:00:00.000
100,440,94,145,141,7,70.1000,1,1,2026-08-24T00:00:00.000
101,401,350,162,221,6,70.8000,1,1,2026-08-24T00:00:00.000
102,352,458,283,198,3,71.5000,1,1,2026-08-24T00:00:00.000
103,436,452,498,350,8,72.2000,1,1,2026-08-24T00:00:00.000
104,41,160,98,219,7,72.9000,1,1,2026-08-24T00:00:00.000
105,107,15,481,201,4,73.6000,1,1,2026-08-24T00:00:00.000
106,226,412,311,308,7,74.3000,1,1,2026-08-24T00:00:00.000
107,459,204,185,338,6,75.0000,1,1,2026-08-24T00:00:00.000
108,439,464,276,27,8,75.7000,1,1,2026-08-24T00:00:00.000
109,433,438,347,37,2,76.4000,1,1,2026-08-24T00:00:00.000
110,478,499,181,233,3,77.1000,1,1,2026-08-24T00:00:00.000
111,237,55,257,78,10,77.8000,1,1,2026-08-24T00:00:00.000
112,320,157,408,41,6,78.5000,1,1,2026-08-24T00:00:00.000
113,132,136,13,1,2,79.2000,1,1,2026-08-24T00:00:00.000
114,286,317,253,212,5,79.9000,1,1,2026-08-24T00:00:00.000
115,307,451,478,246,1,80.6000,1,1,2026-08-24T00:00:00.000
116,395,235,347,174,7,81.3000,1,1,2026-08-24T00:00:00.000
117,202,361,244,29,10,82.0000,1,1,2026-08-24T00:00:00.000
118,380,75,49,289,1,82.7000,1,1,2026-08-24T00:00:00.000
119,66,434,12,237,6,83.4000,1,1,2026-08-24T00:00:00.000
120,204,49,127,327,2,84.1000,1,1,2026-08-24T00:00:00.000
121,282,454,74,118,3,84.8000,1,1,2026-08-24T00:00:00.000
122,434,500,160,271,10,85.5000,1,1,2026-08-24T00:00:00.000
123,254,275,370,287,6,86.2000,1,1,2026-08-24T00:00:00.000
124,488,179,159,135,5,86.9000,1,1,2026-08-24T00:00:00.000
125,398,449,260,213,6,87.6000,1,1,2026-08-24T00:00:00.000
126,75,303,145,345,10,88.3000,1,1,2026-08-24T00:00:00.000
127,292,421,126,120,7,89.0000,1,1,2026-08-24T00:00:00.000
128,374,378,371,328,5,89.7000,1,1,2026-08-24T00:00:00.000
129,258,211,82,215,5,90.4000,1,1,2026-08-24T00:00:00.000
130,474,367,266,236,5,91.1000,1,1,2026-08-24T00:00:00.000
131,338,448,355,203,7,91.8000,1,1,2026-08-24T00:00:00.000
132,359,154,376,35,8,92.5000,1,1,2026-08-24T00:00:00.000
133,66,486,282,179,3,93.2000,1,1,2026-08-24T00:00:00.000
134,71,92,139,339,5,93.9000,1,1,2026-08-24T00:00:00.000
135,381,456,420,179,4,94.6000,1,1,2026-08-24T00:00:00.000
136,164,257,485,247,7,95.3000,1,1,2026-08-24T00:00:00.000
137,163,143,39,108,5,96.0000,1,1,2026-08-24T00:00:00.000
138,211,253,168,103,9,96.7000,1,1,2026-08-24T00:00:00.000
139,83,285,209,263,7,97.4000,1,1,2026-08-24T00:00:00.000
140,115,141,156,254,1,98.1000,1,1,2026-08-24T00:00:00.000
141,64,53,151,136,1,98.8000,1,1,2026-08-24T00:00:00.000
142,328,97,59,1,10,99.5000,1,1,2026-08-24T00:00:00.000
143,160,61,81,303,7,100.2000,1,1,2026-08-24T00:00:00.000
144,127,417,80,334,6,100.9000,1,1,2026-08-24T00:00:00.000
145,332,316,278,112,4,101.6000,1,1,2026-08-24T00:00:00.000
146,111,163,295,36,1,102.3000,1,1,2026-08-24T00:00:00.000
147,432,467,122,184,10,103.0000,1,1,2026-08-24T00:00:00.000
148,97,154,60,226,7,103.7000,1,1,2026-08-24T00:00:00.000
149,26,66,274,180,1,104.4000,1,1,2026-08-24T00:00:00.000
150,299,376,431,103,5,105.1000,1,1,2026-08-24T00:00:00.000
151,388,456,482,96,5,105.8000,1,1,2026-08-24T00:00:00.000
152,387,370,500,135,6,106.5000,1,1,2026-08-24T00:00:00.000
153,340,294,472,15,7,107.2000,1,1,2026-08-24T00:00:00.000
154,407,382,29,196,1,107.9000,1,1,2026-08-24T00:00:00.000
155,235,475,136,198,5,108.6000,1,1,2026-08-24T00:00:00.000
156,480,226,460,325,9,109.3000,1,1,2026-08-24T00:00:00.000
157,402,266,379,217,10,110.0000,1,1,2026-08-24T00:00:00.000
158,364,397,16,129,3,110.7000,1,1,2026-08-24T00:00:00.000
159,198,296,52,78,9,111.4000,1,1,2026-08-24T00:00:00.000
160,175,413,55,265,8,112.1000,1,1,2026-08-24T00:00:00.000
161,441,154,414,332,7,112.8000,1,1,2026-08-24T00:00:00.000
162,385,291,363,57,2,113.5000,1,1,2026-08-24T00:00:00.000
163,61,371,225,268,8,114.2000,1,1,2026-08-24T00:00:00.000
164,239,443,451,189,8,114.9000,1,1,2026-08-24T00:00:00.000
165,237,339,278,174,9,115.6000,1,1,2026-08-24T00:00:00.000
166,414,48,365,115,6,116.3000,1,1,2026-08-24T00:00:00.000
167,397,171,423,293,7,117.0000,1,1,2026-08-24T00:00:00.000
168,159,160,314,307,7,117.7000,1,1,2026-08-24T00:00:00.000
169,395,316,128,105,2,118.4000,1,1,2026-08-24T00:00:00.000
