MachineStateLossMappingKey,MachineStateKey,OeeLossReasonKey,MachineLossCategoryKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,370,56,10,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,169,189,2,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,66,416,1,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,146,119,12,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,154,389,9,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,414,152,1,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,383,129,10,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,263,495,11,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,82,313,9,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,373,351,4,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,144,475,5,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,335,65,10,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,93,10,1,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,373,93,4,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,82,292,4,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,480,342,9,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,341,442,11,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,253,344,1,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,4,421,4,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,352,259,2,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,30,101,2,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,175,464,9,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,472,183,9,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,314,312,12,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,482,458,2,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,281,279,1,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,405,134,6,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,361,75,5,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,374,19,5,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,6,276,8,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,145,148,8,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,164,129,3,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,409,355,11,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,109,385,10,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,455,489,6,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,4,45,10,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,264,29,11,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
