BomComponentResolutionKey,BomHeaderKey,ComponentEngineeringPartRevisionKey,UnitOfMeasureKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,359,208,5,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,440,102,1,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,367,406,2,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,355,182,1,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,190,424,5,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,50,446,6,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,321,357,5,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,282,385,1,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,127,411,2,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,242,340,3,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,230,149,1,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,37,80,2,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,37,152,3,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,454,247,6,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,262,474,4,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,18,333,2,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,443,435,5,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,379,198,3,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,249,66,7,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,19,195,4,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,358,348,5,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,405,399,5,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,437,64,6,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,442,358,7,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,415,400,2,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,422,370,1,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,414,398,2,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,425,410,1,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,105,33,6,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,42,455,3,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,206,21,3,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,384,406,3,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,395,444,2,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,149,12,2,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,352,40,7,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,178,188,5,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,37,447,3,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,281,239,7,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,69,369,6,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,430,329,5,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,36,357,3,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,186,237,4,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,382,442,5,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,237,228,5,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,449,149,1,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,410,210,4,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,323,107,5,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,450,341,2,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,431,249,6,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,224,467,1,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,369,213,7,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,344,333,3,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,211,340,1,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,171,182,1,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,41,291,1,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,328,130,6,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,169,373,1,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,249,12,7,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,323,388,6,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,264,35,6,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,389,424,6,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,410,105,6,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,188,320,5,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,226,299,7,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,215,9,1,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,145,234,3,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,174,428,1,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,442,153,7,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,452,366,6,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,303,249,5,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,103,498,3,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,250,421,6,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,208,345,2,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,59,184,5,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,421,178,6,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,113,112,2,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,68,378,2,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,486,250,6,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,237,344,4,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,27,97,1,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,448,425,7,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,100,462,4,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,39,400,7,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,345,385,2,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,367,152,3,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,166,220,4,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,424,276,1,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,473,189,2,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,144,138,5,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,446,358,4,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,468,297,3,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,378,214,1,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,268,313,5,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,6,54,7,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,479,443,2,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,107,306,3,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,150,377,1,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,123,121,3,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,181,486,1,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,150,336,4,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,137,433,3,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,37,429,1,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,347,261,7,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,234,293,2,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,309,109,3,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,174,493,1,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,271,415,6,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,128,364,5,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,181,120,5,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,93,371,2,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,269,152,5,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,54,155,3,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,365,214,7,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,20,489,1,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,77,470,1,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,213,288,4,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,292,192,5,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,323,386,2,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
