EngineeringDocumentPartLinkKey,EngineeringCadDocumentKey,EngineeringPartRevisionKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,249,159,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,95,307,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,467,311,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,410,248,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,247,264,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,51,490,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,474,430,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,263,490,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,331,321,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,132,484,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,275,167,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,309,339,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,4,66,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,406,41,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,387,445,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,92,73,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,306,471,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,427,160,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,412,274,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,371,142,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,273,243,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,234,432,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,469,242,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,201,498,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,458,168,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,452,316,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,171,64,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,9,422,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,394,285,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,123,167,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,413,13,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,380,388,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,11,228,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,332,262,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,80,106,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,105,497,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,242,433,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,142,43,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,485,133,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,442,275,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,168,434,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,24,195,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,344,6,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,352,362,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,451,21,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,35,448,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,208,449,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,54,414,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,328,237,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,476,424,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,321,90,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,64,328,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,445,234,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,191,311,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,114,274,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,293,393,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,494,147,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,60,149,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,369,39,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,133,40,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,107,36,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,214,26,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,182,10,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,208,301,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,378,126,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,253,283,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,247,35,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,202,83,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,33,482,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,452,262,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,107,349,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,431,180,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,47,177,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,102,56,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,251,170,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,394,350,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,150,264,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,400,476,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,220,132,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,174,422,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,498,381,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
