EnergyMeterAssetKey,EnergyMeterPointKey,AssetKey,AllocationRatio,EffectiveStartDate,EffectiveEndDate,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0.000000,1900-01-01,1900-01-01,-1,0,1900-01-01T00:00:00.000
1,71,445,2.000000,2020-01-02,2021-01-01,1,1,2026-08-24T00:00:00.000
2,100,98,3.000000,2020-01-03,2021-01-02,1,1,2026-08-24T00:00:00.000
3,212,380,4.000000,2020-01-04,2021-01-03,1,1,2026-08-24T00:00:00.000
4,291,208,5.000000,2020-01-05,2021-01-04,1,1,2026-08-24T00:00:00.000
5,38,101,6.000000,2020-01-06,2021-01-05,1,1,2026-08-24T00:00:00.000
6,444,255,7.000000,2020-01-07,2021-01-06,1,1,2026-08-24T00:00:00.000
7,375,497,8.000000,2020-01-08,2021-01-07,1,1,2026-08-24T00:00:00.000
8,68,52,9.000000,2020-01-09,2021-01-08,1,1,2026-08-24T00:00:00.000
9,148,228,10.000000,2020-01-10,2021-01-09,1,1,2026-08-24T00:00:00.000
10,62,130,11.000000,2020-01-11,2021-01-10,1,1,2026-08-24T00:00:00.000
11,20,464,12.000000,2020-01-12,2021-01-11,1,1,2026-08-24T00:00:00.000
12,179,61,13.000000,2020-01-13,2021-01-12,1,1,2026-08-24T00:00:00.000
13,115,2,14.000000,2020-01-14,2021-01-13,1,1,2026-08-24T00:00:00.000
14,228,71,15.000000,2020-01-15,2021-01-14,1,1,2026-08-24T00:00:00.000
15,45,155,16.000000,2020-01-16,2021-01-15,1,1,2026-08-24T00:00:00.000
16,189,104,17.000000,2020-01-17,2021-01-16,1,1,2026-08-24T00:00:00.000
17,42,164,18.000000,2020-01-18,2021-01-17,1,1,2026-08-24T00:00:00.000
18,277,410,19.000000,2020-01-19,2021-01-18,1,1,2026-08-24T00:00:00.000
19,66,288,20.000000,2020-01-20,2021-01-19,1,1,2026-08-24T00:00:00.000
20,100,437,21.000000,2020-01-21,2021-01-20,1,1,2026-08-24T00:00:00.000
21,477,477,22.000000,2020-01-22,2021-01-21,1,1,2026-08-24T00:00:00.000
22,101,423,23.000000,2020-01-23,2021-01-22,1,1,2026-08-24T00:00:00.000
23,132,307,24.000000,2020-01-24,2021-01-23,1,1,2026-08-24T00:00:00.000
24,116,406,25.000000,2020-01-25,2021-01-24,1,1,2026-08-24T00:00:00.000
25,81,272,26.000000,2020-01-26,2021-01-25,1,1,2026-08-24T00:00:00.000
26,312,216,27.000000,2020-01-27,2021-01-26,1,1,2026-08-24T00:00:00.000
27,280,269,28.000000,2020-01-28,2021-01-27,1,1,2026-08-24T00:00:00.000
28,339,107,29.000000,2020-01-29,2021-01-28,1,1,2026-08-24T00:00:00.000
29,88,386,30.000000,2020-01-30,2021-01-29,1,1,2026-08-24T00:00:00.000
30,462,76,31.000000,2020-01-31,2021-01-30,1,1,2026-08-24T00:00:00.000
31,479,156,32.000000,2020-02-01,2021-01-31,1,1,2026-08-24T00:00:00.000
32,453,305,33.000000,2020-02-02,2021-02-01,1,1,2026-08-24T00:00:00.000
33,115,362,34.000000,2020-02-03,2021-02-02,1,1,2026-08-24T00:00:00.000
34,409,362,35.000000,2020-02-04,2021-02-03,1,1,2026-08-24T00:00:00.000
35,98,180,36.000000,2020-02-05,2021-02-04,1,1,2026-08-24T00:00:00.000
36,134,479,37.000000,2020-02-06,2021-02-05,1,1,2026-08-24T00:00:00.000
37,409,175,38.000000,2020-02-07,2021-02-06,1,1,2026-08-24T00:00:00.000
38,117,36,39.000000,2020-02-08,2021-02-07,1,1,2026-08-24T00:00:00.000
39,210,322,40.000000,2020-02-09,2021-02-08,1,1,2026-08-24T00:00:00.000
40,255,88,41.000000,2020-02-10,2021-02-09,1,1,2026-08-24T00:00:00.000
41,200,221,42.000000,2020-02-11,2021-02-10,1,1,2026-08-24T00:00:00.000
42,239,181,43.000000,2020-02-12,2021-02-11,1,1,2026-08-24T00:00:00.000
43,111,470,44.000000,2020-02-13,2021-02-12,1,1,2026-08-24T00:00:00.000
44,446,331,45.000000,2020-02-14,2021-02-13,1,1,2026-08-24T00:00:00.000
45,342,3,46.000000,2020-02-15,2021-02-14,1,1,2026-08-24T00:00:00.000
46,109,174,47.000000,2020-02-16,2021-02-15,1,1,2026-08-24T00:00:00.000
47,3,202,48.000000,2020-02-17,2021-02-16,1,1,2026-08-24T00:00:00.000
48,118,345,49.000000,2020-02-18,2021-02-17,1,1,2026-08-24T00:00:00.000
49,178,178,50.000000,2020-02-19,2021-02-18,1,1,2026-08-24T00:00:00.000
50,98,319,51.000000,2020-02-20,2021-02-19,1,1,2026-08-24T00:00:00.000
51,248,85,52.000000,2020-02-21,2021-02-20,1,1,2026-08-24T00:00:00.000
52,250,210,53.000000,2020-02-22,2021-02-21,1,1,2026-08-24T00:00:00.000
53,356,161,54.000000,2020-02-23,2021-02-22,1,1,2026-08-24T00:00:00.000
54,361,403,55.000000,2020-02-24,2021-02-23,1,1,2026-08-24T00:00:00.000
55,190,283,56.000000,2020-02-25,2021-02-24,1,1,2026-08-24T00:00:00.000
56,323,360,57.000000,2020-02-26,2021-02-25,1,1,2026-08-24T00:00:00.000
57,111,456,58.000000,2020-02-27,2021-02-26,1,1,2026-08-24T00:00:00.000
58,310,328,59.000000,2020-02-28,2021-02-27,1,1,2026-08-24T00:00:00.000
59,189,28,60.000000,2020-02-29,2021-02-28,1,1,2026-08-24T00:00:00.000
60,185,470,61.000000,2020-03-01,2021-03-01,1,1,2026-08-24T00:00:00.000
61,357,297,62.000000,2020-03-02,2021-03-02,1,1,2026-08-24T00:00:00.000
62,343,238,63.000000,2020-03-03,2021-03-03,1,1,2026-08-24T00:00:00.000
63,398,164,64.000000,2020-03-04,2021-03-04,1,1,2026-08-24T00:00:00.000
64,112,384,65.000000,2020-03-05,2021-03-05,1,1,2026-08-24T00:00:00.000
65,487,62,66.000000,2020-03-06,2021-03-06,1,1,2026-08-24T00:00:00.000
66,437,312,67.000000,2020-03-07,2021-03-07,1,1,2026-08-24T00:00:00.000
67,143,279,68.000000,2020-03-08,2021-03-08,1,1,2026-08-24T00:00:00.000
68,364,255,69.000000,2020-03-09,2021-03-09,1,1,2026-08-24T00:00:00.000
69,81,343,70.000000,2020-03-10,2021-03-10,1,1,2026-08-24T00:00:00.000
70,367,324,71.000000,2020-03-11,2021-03-11,1,1,2026-08-24T00:00:00.000
71,368,213,72.000000,2020-03-12,2021-03-12,1,1,2026-08-24T00:00:00.000
