LaborEmployeeSkillKey,EmployeeKey,LaborSkillKey,ProficiencyRating,VerifiedDate,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0.00,1900-01-01,-1,0,1900-01-01T00:00:00.000
1,32,186,2.00,2020-01-02,1,1,2026-08-24T00:00:00.000
2,124,339,3.00,2020-01-03,1,1,2026-08-24T00:00:00.000
3,45,414,4.00,2020-01-04,1,1,2026-08-24T00:00:00.000
4,137,391,5.00,2020-01-05,1,1,2026-08-24T00:00:00.000
5,457,135,6.00,2020-01-06,1,1,2026-08-24T00:00:00.000
6,317,331,7.00,2020-01-07,1,1,2026-08-24T00:00:00.000
7,484,281,8.00,2020-01-08,1,1,2026-08-24T00:00:00.000
8,133,446,9.00,2020-01-09,1,1,2026-08-24T00:00:00.000
9,215,185,10.00,2020-01-10,1,1,2026-08-24T00:00:00.000
10,329,330,11.00,2020-01-11,1,1,2026-08-24T00:00:00.000
11,284,6,12.00,2020-01-12,1,1,2026-08-24T00:00:00.000
12,142,135,13.00,2020-01-13,1,1,2026-08-24T00:00:00.000
13,464,388,14.00,2020-01-14,1,1,2026-08-24T00:00:00.000
14,318,416,15.00,2020-01-15,1,1,2026-08-24T00:00:00.000
15,168,286,16.00,2020-01-16,1,1,2026-08-24T00:00:00.000
16,484,389,17.00,2020-01-17,1,1,2026-08-24T00:00:00.000
17,303,342,18.00,2020-01-18,1,1,2026-08-24T00:00:00.000
18,9,327,19.00,2020-01-19,1,1,2026-08-24T00:00:00.000
19,309,236,20.00,2020-01-20,1,1,2026-08-24T00:00:00.000
20,21,74,21.00,2020-01-21,1,1,2026-08-24T00:00:00.000
21,485,293,22.00,2020-01-22,1,1,2026-08-24T00:00:00.000
22,457,467,23.00,2020-01-23,1,1,2026-08-24T00:00:00.000
23,69,166,24.00,2020-01-24,1,1,2026-08-24T00:00:00.000
24,478,201,25.00,2020-01-25,1,1,2026-08-24T00:00:00.000
25,256,250,26.00,2020-01-26,1,1,2026-08-24T00:00:00.000
26,197,83,27.00,2020-01-27,1,1,2026-08-24T00:00:00.000
27,15,290,28.00,2020-01-28,1,1,2026-08-24T00:00:00.000
28,288,178,29.00,2020-01-29,1,1,2026-08-24T00:00:00.000
29,334,243,30.00,2020-01-30,1,1,2026-08-24T00:00:00.000
