QualityGaugeCharacteristicKey,QualityGaugeKey,QualityInspectionCharacteristicKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,361,60,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,367,463,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,242,155,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,6,186,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,457,430,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,322,94,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,119,459,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,357,325,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,145,67,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,363,444,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,234,207,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,413,129,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,492,115,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,28,386,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,370,22,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,352,52,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,477,133,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,43,437,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,337,239,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,311,273,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,68,491,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,362,230,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,177,305,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,213,411,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,88,400,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,28,161,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,317,448,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,333,128,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,217,445,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,30,439,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,380,236,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,262,6,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,81,404,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,434,203,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,414,399,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,384,430,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,302,167,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,456,240,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,219,267,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,118,100,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,6,209,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,81,30,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,392,463,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,262,181,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,251,16,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,263,347,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,405,409,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,435,406,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,114,106,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,404,229,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,305,365,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,213,276,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,493,154,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,78,487,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,99,423,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,312,163,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,72,80,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,15,343,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,442,430,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,436,277,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,178,5,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,473,304,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,262,215,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,27,206,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,323,260,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,207,198,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,216,430,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,328,436,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,189,229,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,113,162,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,144,108,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,4,141,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,52,442,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,344,136,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,249,470,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,340,498,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,10,212,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,173,128,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,240,294,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,55,19,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,316,142,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,26,157,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,155,184,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,67,299,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,95,16,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,375,5,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,357,32,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,383,55,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,90,404,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,482,234,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,59,257,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,399,437,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,473,133,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,159,119,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,229,269,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,394,68,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,391,213,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,478,268,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,291,290,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,416,41,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,174,99,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,205,190,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,342,323,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,350,292,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,55,430,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,50,88,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,231,59,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,406,481,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,178,177,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
