QualityInspectionPlanCharacteristicKey,QualityInspectionPlanKey,QualityInspectionCharacteristicKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,176,209,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,96,123,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,180,355,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,173,417,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,77,52,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,226,159,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,62,470,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,24,317,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,174,16,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,127,155,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,291,86,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,463,350,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,265,63,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,289,307,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,446,472,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,169,305,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,439,154,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,302,363,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,46,245,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,21,358,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,226,60,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,252,241,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,106,323,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,165,491,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,117,315,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,156,212,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,155,156,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
