LaborEmployeeCrewKey,EmployeeKey,LaborCrewKey,LaborTeamKey,AssignmentStartDate,AssignmentEndDate,AllocationRatio,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,1900-01-01,1900-01-01,0.0000,-1,0,1900-01-01T00:00:00.000
1,289,433,438,2020-01-02,2021-01-01,2.0000,1,1,2026-08-24T00:00:00.000
2,331,383,121,2020-01-03,2021-01-02,3.0000,1,1,2026-08-24T00:00:00.000
3,244,479,194,2020-01-04,2021-01-03,4.0000,1,1,2026-08-24T00:00:00.000
4,244,261,302,2020-01-05,2021-01-04,5.0000,1,1,2026-08-24T00:00:00.000
5,377,295,39,2020-01-06,2021-01-05,6.0000,1,1,2026-08-24T00:00:00.000
6,145,10,244,2020-01-07,2021-01-06,7.0000,1,1,2026-08-24T00:00:00.000
7,485,266,441,2020-01-08,2021-01-07,8.0000,1,1,2026-08-24T00:00:00.000
8,306,400,339,2020-01-09,2021-01-08,9.0000,1,1,2026-08-24T00:00:00.000
9,489,199,481,2020-01-10,2021-01-09,10.0000,1,1,2026-08-24T00:00:00.000
10,295,7,104,2020-01-11,2021-01-10,11.0000,1,1,2026-08-24T00:00:00.000
11,117,102,406,2020-01-12,2021-01-11,12.0000,1,1,2026-08-24T00:00:00.000
12,382,181,479,2020-01-13,2021-01-12,13.0000,1,1,2026-08-24T00:00:00.000
13,89,198,45,2020-01-14,2021-01-13,14.0000,1,1,2026-08-24T00:00:00.000
14,140,218,365,2020-01-15,2021-01-14,15.0000,1,1,2026-08-24T00:00:00.000
15,83,169,141,2020-01-16,2021-01-15,16.0000,1,1,2026-08-24T00:00:00.000
16,370,16,58,2020-01-17,2021-01-16,17.0000,1,1,2026-08-24T00:00:00.000
17,348,480,345,2020-01-18,2021-01-17,18.0000,1,1,2026-08-24T00:00:00.000
18,332,211,269,2020-01-19,2021-01-18,19.0000,1,1,2026-08-24T00:00:00.000
19,135,367,85,2020-01-20,2021-01-19,20.0000,1,1,2026-08-24T00:00:00.000
20,140,126,20,2020-01-21,2021-01-20,21.0000,1,1,2026-08-24T00:00:00.000
21,374,363,22,2020-01-22,2021-01-21,22.0000,1,1,2026-08-24T00:00:00.000
22,391,478,361,2020-01-23,2021-01-22,23.0000,1,1,2026-08-24T00:00:00.000
23,426,11,235,2020-01-24,2021-01-23,24.0000,1,1,2026-08-24T00:00:00.000
24,478,423,481,2020-01-25,2021-01-24,25.0000,1,1,2026-08-24T00:00:00.000
25,136,267,389,2020-01-26,2021-01-25,26.0000,1,1,2026-08-24T00:00:00.000
26,243,34,237,2020-01-27,2021-01-26,27.0000,1,1,2026-08-24T00:00:00.000
27,197,301,317,2020-01-28,2021-01-27,28.0000,1,1,2026-08-24T00:00:00.000
28,393,131,61,2020-01-29,2021-01-28,29.0000,1,1,2026-08-24T00:00:00.000
29,186,395,406,2020-01-30,2021-01-29,30.0000,1,1,2026-08-24T00:00:00.000
30,472,165,210,2020-01-31,2021-01-30,31.0000,1,1,2026-08-24T00:00:00.000
31,364,257,124,2020-02-01,2021-01-31,32.0000,1,1,2026-08-24T00:00:00.000
32,121,80,465,2020-02-02,2021-02-01,33.0000,1,1,2026-08-24T00:00:00.000
33,6,97,308,2020-02-03,2021-02-02,34.0000,1,1,2026-08-24T00:00:00.000
34,234,478,56,2020-02-04,2021-02-03,35.0000,1,1,2026-08-24T00:00:00.000
35,342,373,359,2020-02-05,2021-02-04,36.0000,1,1,2026-08-24T00:00:00.000
36,452,142,428,2020-02-06,2021-02-05,37.0000,1,1,2026-08-24T00:00:00.000
37,205,412,350,2020-02-07,2021-02-06,38.0000,1,1,2026-08-24T00:00:00.000
38,90,141,15,2020-02-08,2021-02-07,39.0000,1,1,2026-08-24T00:00:00.000
39,499,378,291,2020-02-09,2021-02-08,40.0000,1,1,2026-08-24T00:00:00.000
40,5,314,448,2020-02-10,2021-02-09,41.0000,1,1,2026-08-24T00:00:00.000
41,226,208,279,2020-02-11,2021-02-10,42.0000,1,1,2026-08-24T00:00:00.000
42,485,138,303,2020-02-12,2021-02-11,43.0000,1,1,2026-08-24T00:00:00.000
43,297,314,355,2020-02-13,2021-02-12,44.0000,1,1,2026-08-24T00:00:00.000
44,313,139,491,2020-02-14,2021-02-13,45.0000,1,1,2026-08-24T00:00:00.000
45,272,294,360,2020-02-15,2021-02-14,46.0000,1,1,2026-08-24T00:00:00.000
