LogisticsLoadShipmentAssignmentKey,LogisticsTransportLoadKey,LogisticsShipmentHeaderKey,PlannedSequenceNumber,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0,-1,0,1900-01-01T00:00:00.000
1,65,424,1,1,1,2026-08-24T00:00:00.000
2,62,314,2,1,1,2026-08-24T00:00:00.000
3,45,311,3,1,1,2026-08-24T00:00:00.000
4,12,388,4,1,1,2026-08-24T00:00:00.000
5,135,380,5,1,1,2026-08-24T00:00:00.000
6,352,125,6,1,1,2026-08-24T00:00:00.000
7,15,143,7,1,1,2026-08-24T00:00:00.000
8,264,252,8,1,1,2026-08-24T00:00:00.000
9,27,147,9,1,1,2026-08-24T00:00:00.000
10,494,432,10,1,1,2026-08-24T00:00:00.000
11,498,411,11,1,1,2026-08-24T00:00:00.000
12,279,325,12,1,1,2026-08-24T00:00:00.000
13,6,336,13,1,1,2026-08-24T00:00:00.000
14,220,281,14,1,1,2026-08-24T00:00:00.000
15,17,222,15,1,1,2026-08-24T00:00:00.000
16,362,458,16,1,1,2026-08-24T00:00:00.000
17,97,111,17,1,1,2026-08-24T00:00:00.000
18,271,100,18,1,1,2026-08-24T00:00:00.000
19,87,127,19,1,1,2026-08-24T00:00:00.000
20,89,410,20,1,1,2026-08-24T00:00:00.000
21,117,280,21,1,1,2026-08-24T00:00:00.000
22,273,29,22,1,1,2026-08-24T00:00:00.000
23,67,231,23,1,1,2026-08-24T00:00:00.000
24,132,201,24,1,1,2026-08-24T00:00:00.000
25,392,322,25,1,1,2026-08-24T00:00:00.000
26,498,205,26,1,1,2026-08-24T00:00:00.000
27,121,486,27,1,1,2026-08-24T00:00:00.000
28,82,49,28,1,1,2026-08-24T00:00:00.000
29,469,112,29,1,1,2026-08-24T00:00:00.000
30,280,244,30,1,1,2026-08-24T00:00:00.000
31,372,225,31,1,1,2026-08-24T00:00:00.000
32,283,241,32,1,1,2026-08-24T00:00:00.000
33,18,399,33,1,1,2026-08-24T00:00:00.000
34,349,446,34,1,1,2026-08-24T00:00:00.000
35,38,483,35,1,1,2026-08-24T00:00:00.000
36,242,224,36,1,1,2026-08-24T00:00:00.000
37,360,184,37,1,1,2026-08-24T00:00:00.000
38,476,237,38,1,1,2026-08-24T00:00:00.000
39,3,100,39,1,1,2026-08-24T00:00:00.000
40,219,349,40,1,1,2026-08-24T00:00:00.000
41,452,195,41,1,1,2026-08-24T00:00:00.000
42,77,103,42,1,1,2026-08-24T00:00:00.000
43,208,56,43,1,1,2026-08-24T00:00:00.000
44,22,148,44,1,1,2026-08-24T00:00:00.000
45,46,9,45,1,1,2026-08-24T00:00:00.000
46,31,391,46,1,1,2026-08-24T00:00:00.000
47,380,164,47,1,1,2026-08-24T00:00:00.000
48,18,494,48,1,1,2026-08-24T00:00:00.000
49,345,140,49,1,1,2026-08-24T00:00:00.000
50,4,220,50,1,1,2026-08-24T00:00:00.000
51,163,334,51,1,1,2026-08-24T00:00:00.000
52,350,177,52,1,1,2026-08-24T00:00:00.000
53,456,178,53,1,1,2026-08-24T00:00:00.000
54,376,402,54,1,1,2026-08-24T00:00:00.000
55,493,324,55,1,1,2026-08-24T00:00:00.000
56,294,414,56,1,1,2026-08-24T00:00:00.000
57,431,52,57,1,1,2026-08-24T00:00:00.000
58,124,196,58,1,1,2026-08-24T00:00:00.000
59,233,153,59,1,1,2026-08-24T00:00:00.000
60,154,74,60,1,1,2026-08-24T00:00:00.000
61,313,406,61,1,1,2026-08-24T00:00:00.000
62,437,296,62,1,1,2026-08-24T00:00:00.000
63,454,233,63,1,1,2026-08-24T00:00:00.000
64,97,68,64,1,1,2026-08-24T00:00:00.000
65,325,107,65,1,1,2026-08-24T00:00:00.000
66,98,131,66,1,1,2026-08-24T00:00:00.000
67,475,44,67,1,1,2026-08-24T00:00:00.000
68,500,407,68,1,1,2026-08-24T00:00:00.000
69,394,215,69,1,1,2026-08-24T00:00:00.000
70,155,2,70,1,1,2026-08-24T00:00:00.000
71,167,129,71,1,1,2026-08-24T00:00:00.000
72,266,219,72,1,1,2026-08-24T00:00:00.000
73,347,269,73,1,1,2026-08-24T00:00:00.000
74,207,14,74,1,1,2026-08-24T00:00:00.000
75,219,174,75,1,1,2026-08-24T00:00:00.000
76,283,220,76,1,1,2026-08-24T00:00:00.000
77,235,316,77,1,1,2026-08-24T00:00:00.000
78,455,496,78,1,1,2026-08-24T00:00:00.000
79,381,139,79,1,1,2026-08-24T00:00:00.000
80,280,337,80,1,1,2026-08-24T00:00:00.000
81,299,453,81,1,1,2026-08-24T00:00:00.000
82,365,2,82,1,1,2026-08-24T00:00:00.000
83,281,374,83,1,1,2026-08-24T00:00:00.000
84,85,420,84,1,1,2026-08-24T00:00:00.000
85,69,217,85,1,1,2026-08-24T00:00:00.000
86,90,247,86,1,1,2026-08-24T00:00:00.000
87,409,272,87,1,1,2026-08-24T00:00:00.000
88,69,35,88,1,1,2026-08-24T00:00:00.000
89,453,262,89,1,1,2026-08-24T00:00:00.000
90,146,439,90,1,1,2026-08-24T00:00:00.000
91,114,248,91,1,1,2026-08-24T00:00:00.000
92,465,259,92,1,1,2026-08-24T00:00:00.000
93,277,309,93,1,1,2026-08-24T00:00:00.000
94,304,411,94,1,1,2026-08-24T00:00:00.000
95,428,163,95,1,1,2026-08-24T00:00:00.000
96,269,220,96,1,1,2026-08-24T00:00:00.000
97,495,277,97,1,1,2026-08-24T00:00:00.000
98,344,473,98,1,1,2026-08-24T00:00:00.000
99,38,29,99,1,1,2026-08-24T00:00:00.000
100,341,488,100,1,1,2026-08-24T00:00:00.000
101,24,490,101,1,1,2026-08-24T00:00:00.000
102,163,39,102,1,1,2026-08-24T00:00:00.000
103,466,436,103,1,1,2026-08-24T00:00:00.000
104,219,53,104,1,1,2026-08-24T00:00:00.000
105,93,26,105,1,1,2026-08-24T00:00:00.000
106,462,114,106,1,1,2026-08-24T00:00:00.000
107,373,338,107,1,1,2026-08-24T00:00:00.000
108,298,316,108,1,1,2026-08-24T00:00:00.000
109,355,301,109,1,1,2026-08-24T00:00:00.000
110,18,313,110,1,1,2026-08-24T00:00:00.000
111,321,107,111,1,1,2026-08-24T00:00:00.000
112,335,12,112,1,1,2026-08-24T00:00:00.000
113,417,462,113,1,1,2026-08-24T00:00:00.000
114,142,197,114,1,1,2026-08-24T00:00:00.000
115,187,80,115,1,1,2026-08-24T00:00:00.000
116,57,387,116,1,1,2026-08-24T00:00:00.000
117,89,119,117,1,1,2026-08-24T00:00:00.000
118,398,245,118,1,1,2026-08-24T00:00:00.000
119,435,381,119,1,1,2026-08-24T00:00:00.000
120,123,124,120,1,1,2026-08-24T00:00:00.000
121,442,140,121,1,1,2026-08-24T00:00:00.000
122,1,57,122,1,1,2026-08-24T00:00:00.000
123,395,118,123,1,1,2026-08-24T00:00:00.000
124,362,278,124,1,1,2026-08-24T00:00:00.000
125,237,412,125,1,1,2026-08-24T00:00:00.000
126,306,400,126,1,1,2026-08-24T00:00:00.000
127,73,387,127,1,1,2026-08-24T00:00:00.000
128,389,350,128,1,1,2026-08-24T00:00:00.000
129,500,188,129,1,1,2026-08-24T00:00:00.000
130,333,59,130,1,1,2026-08-24T00:00:00.000
131,470,110,131,1,1,2026-08-24T00:00:00.000
132,259,374,132,1,1,2026-08-24T00:00:00.000
133,33,382,133,1,1,2026-08-24T00:00:00.000
134,142,485,134,1,1,2026-08-24T00:00:00.000
135,235,175,135,1,1,2026-08-24T00:00:00.000
136,345,102,136,1,1,2026-08-24T00:00:00.000
137,268,106,137,1,1,2026-08-24T00:00:00.000
138,152,302,138,1,1,2026-08-24T00:00:00.000
139,116,397,139,1,1,2026-08-24T00:00:00.000
140,423,326,140,1,1,2026-08-24T00:00:00.000
141,325,344,141,1,1,2026-08-24T00:00:00.000
142,6,273,142,1,1,2026-08-24T00:00:00.000
143,248,82,143,1,1,2026-08-24T00:00:00.000
144,420,128,144,1,1,2026-08-24T00:00:00.000
145,157,428,145,1,1,2026-08-24T00:00:00.000
146,385,189,146,1,1,2026-08-24T00:00:00.000
147,111,363,147,1,1,2026-08-24T00:00:00.000
148,95,133,148,1,1,2026-08-24T00:00:00.000
149,264,52,149,1,1,2026-08-24T00:00:00.000
150,487,305,150,1,1,2026-08-24T00:00:00.000
151,428,349,151,1,1,2026-08-24T00:00:00.000
152,465,428,152,1,1,2026-08-24T00:00:00.000
153,27,256,153,1,1,2026-08-24T00:00:00.000
154,233,145,154,1,1,2026-08-24T00:00:00.000
155,208,452,155,1,1,2026-08-24T00:00:00.000
156,216,259,156,1,1,2026-08-24T00:00:00.000
157,185,177,157,1,1,2026-08-24T00:00:00.000
158,307,26,158,1,1,2026-08-24T00:00:00.000
159,105,396,159,1,1,2026-08-24T00:00:00.000
160,428,370,160,1,1,2026-08-24T00:00:00.000
161,374,327,161,1,1,2026-08-24T00:00:00.000
162,111,79,162,1,1,2026-08-24T00:00:00.000
163,17,119,163,1,1,2026-08-24T00:00:00.000
164,418,471,164,1,1,2026-08-24T00:00:00.000
165,340,211,165,1,1,2026-08-24T00:00:00.000
166,450,203,166,1,1,2026-08-24T00:00:00.000
167,341,40,167,1,1,2026-08-24T00:00:00.000
168,394,26,168,1,1,2026-08-24T00:00:00.000
169,278,16,169,1,1,2026-08-24T00:00:00.000
170,63,378,170,1,1,2026-08-24T00:00:00.000
171,296,208,171,1,1,2026-08-24T00:00:00.000
172,6,111,172,1,1,2026-08-24T00:00:00.000
173,283,403,173,1,1,2026-08-24T00:00:00.000
174,98,413,174,1,1,2026-08-24T00:00:00.000
175,206,426,175,1,1,2026-08-24T00:00:00.000
176,340,349,176,1,1,2026-08-24T00:00:00.000
177,93,134,177,1,1,2026-08-24T00:00:00.000
178,97,192,178,1,1,2026-08-24T00:00:00.000
179,205,113,179,1,1,2026-08-24T00:00:00.000
180,29,232,180,1,1,2026-08-24T00:00:00.000
181,46,351,181,1,1,2026-08-24T00:00:00.000
182,413,400,182,1,1,2026-08-24T00:00:00.000
183,382,104,183,1,1,2026-08-24T00:00:00.000
184,65,292,184,1,1,2026-08-24T00:00:00.000
185,246,436,185,1,1,2026-08-24T00:00:00.000
186,73,318,186,1,1,2026-08-24T00:00:00.000
187,332,300,187,1,1,2026-08-24T00:00:00.000
188,223,140,188,1,1,2026-08-24T00:00:00.000
189,128,125,189,1,1,2026-08-24T00:00:00.000
190,452,164,190,1,1,2026-08-24T00:00:00.000
191,262,289,191,1,1,2026-08-24T00:00:00.000
192,87,57,192,1,1,2026-08-24T00:00:00.000
193,64,106,193,1,1,2026-08-24T00:00:00.000
194,473,275,194,1,1,2026-08-24T00:00:00.000
195,325,396,195,1,1,2026-08-24T00:00:00.000
196,45,422,196,1,1,2026-08-24T00:00:00.000
197,153,409,197,1,1,2026-08-24T00:00:00.000
198,476,49,198,1,1,2026-08-24T00:00:00.000
199,241,396,199,1,1,2026-08-24T00:00:00.000
200,118,265,200,1,1,2026-08-24T00:00:00.000
201,96,81,201,1,1,2026-08-24T00:00:00.000
202,290,237,202,1,1,2026-08-24T00:00:00.000
203,343,352,203,1,1,2026-08-24T00:00:00.000
204,480,7,204,1,1,2026-08-24T00:00:00.000
205,56,460,205,1,1,2026-08-24T00:00:00.000
206,320,247,206,1,1,2026-08-24T00:00:00.000
207,219,469,207,1,1,2026-08-24T00:00:00.000
208,134,240,208,1,1,2026-08-24T00:00:00.000
209,12,18,209,1,1,2026-08-24T00:00:00.000
210,413,281,210,1,1,2026-08-24T00:00:00.000
211,305,183,211,1,1,2026-08-24T00:00:00.000
212,442,3,212,1,1,2026-08-24T00:00:00.000
213,77,352,213,1,1,2026-08-24T00:00:00.000
214,422,389,214,1,1,2026-08-24T00:00:00.000
215,329,27,215,1,1,2026-08-24T00:00:00.000
216,106,174,216,1,1,2026-08-24T00:00:00.000
217,111,91,217,1,1,2026-08-24T00:00:00.000
218,171,142,218,1,1,2026-08-24T00:00:00.000
219,225,219,219,1,1,2026-08-24T00:00:00.000
220,267,363,220,1,1,2026-08-24T00:00:00.000
221,72,81,221,1,1,2026-08-24T00:00:00.000
222,498,476,222,1,1,2026-08-24T00:00:00.000
223,451,258,223,1,1,2026-08-24T00:00:00.000
224,162,7,224,1,1,2026-08-24T00:00:00.000
225,136,79,225,1,1,2026-08-24T00:00:00.000
226,116,191,226,1,1,2026-08-24T00:00:00.000
227,221,344,227,1,1,2026-08-24T00:00:00.000
228,382,113,228,1,1,2026-08-24T00:00:00.000
229,491,398,229,1,1,2026-08-24T00:00:00.000
230,122,420,230,1,1,2026-08-24T00:00:00.000
231,205,238,231,1,1,2026-08-24T00:00:00.000
232,68,339,232,1,1,2026-08-24T00:00:00.000
233,343,273,233,1,1,2026-08-24T00:00:00.000
234,105,64,234,1,1,2026-08-24T00:00:00.000
235,280,238,235,1,1,2026-08-24T00:00:00.000
236,138,473,236,1,1,2026-08-24T00:00:00.000
237,191,103,237,1,1,2026-08-24T00:00:00.000
238,479,312,238,1,1,2026-08-24T00:00:00.000
239,102,448,239,1,1,2026-08-24T00:00:00.000
240,421,494,240,1,1,2026-08-24T00:00:00.000
241,95,285,241,1,1,2026-08-24T00:00:00.000
242,480,469,242,1,1,2026-08-24T00:00:00.000
243,164,222,243,1,1,2026-08-24T00:00:00.000
244,36,491,244,1,1,2026-08-24T00:00:00.000
245,307,284,245,1,1,2026-08-24T00:00:00.000
246,116,371,246,1,1,2026-08-24T00:00:00.000
247,335,476,247,1,1,2026-08-24T00:00:00.000
248,126,85,248,1,1,2026-08-24T00:00:00.000
249,158,17,249,1,1,2026-08-24T00:00:00.000
250,433,290,250,1,1,2026-08-24T00:00:00.000
251,271,450,251,1,1,2026-08-24T00:00:00.000
252,320,16,252,1,1,2026-08-24T00:00:00.000
253,200,430,253,1,1,2026-08-24T00:00:00.000
254,322,405,254,1,1,2026-08-24T00:00:00.000
255,78,285,255,1,1,2026-08-24T00:00:00.000
256,378,379,256,1,1,2026-08-24T00:00:00.000
257,83,38,257,1,1,2026-08-24T00:00:00.000
258,132,296,258,1,1,2026-08-24T00:00:00.000
259,147,57,259,1,1,2026-08-24T00:00:00.000
260,118,107,260,1,1,2026-08-24T00:00:00.000
261,139,159,261,1,1,2026-08-24T00:00:00.000
262,395,432,262,1,1,2026-08-24T00:00:00.000
263,33,4,263,1,1,2026-08-24T00:00:00.000
264,491,399,264,1,1,2026-08-24T00:00:00.000
265,119,2,265,1,1,2026-08-24T00:00:00.000
266,19,178,266,1,1,2026-08-24T00:00:00.000
267,371,188,267,1,1,2026-08-24T00:00:00.000
268,211,13,268,1,1,2026-08-24T00:00:00.000
