MaintenanceCrewEmployeeKey,MaintenanceCrewKey,EmployeeKey,MaintenanceCrewRoleKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,370,136,64,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,363,20,208,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,55,140,98,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,222,56,329,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,60,104,148,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,255,293,301,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,288,120,100,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,242,17,286,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,236,455,488,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,92,8,287,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,151,171,307,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,387,205,79,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,101,455,119,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,46,19,84,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,16,120,213,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,281,373,122,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,50,212,197,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,2,290,239,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,373,333,288,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,266,101,337,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,433,378,68,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,416,295,457,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,340,61,176,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,178,135,383,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,14,380,382,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,467,56,347,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,158,67,191,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,471,84,208,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,76,118,454,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,260,140,55,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,100,80,197,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,180,212,162,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,338,130,319,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,265,396,62,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,83,344,185,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,221,370,273,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,233,164,161,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,203,347,364,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,484,127,167,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,227,105,45,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,158,366,1,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,62,99,278,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,358,274,307,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,401,418,130,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,439,30,77,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,395,437,174,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,319,8,473,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,288,106,44,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,402,333,42,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,305,380,57,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,490,452,432,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,443,433,231,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,114,417,220,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,91,321,438,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,311,36,96,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,349,343,64,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,459,424,17,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,96,5,443,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,474,103,212,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,462,199,188,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,244,322,211,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,431,7,223,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,358,249,192,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,356,430,8,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,111,253,176,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,311,229,359,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,248,178,424,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,177,71,364,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,325,113,446,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,222,11,195,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,390,440,155,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,446,70,397,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,201,84,426,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,104,140,445,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,156,440,6,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,494,212,158,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,168,289,77,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,149,131,228,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,261,97,47,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,122,169,58,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,15,86,311,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,328,325,436,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,84,487,186,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,342,382,169,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,272,65,398,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,105,484,55,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,167,293,390,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,301,80,287,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,51,450,324,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,403,252,80,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,250,492,406,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,447,207,366,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,477,108,67,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,218,257,139,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,220,237,423,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,361,315,311,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,273,331,323,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,309,209,1,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,19,370,310,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,422,499,487,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,308,324,320,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,273,230,226,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,47,190,349,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,29,301,10,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,67,113,340,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,384,464,250,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,95,39,82,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,213,486,102,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,227,367,441,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,478,203,437,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,95,76,331,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,321,321,373,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,200,117,361,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,427,57,131,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,18,130,203,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,111,118,286,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,46,349,198,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,474,251,198,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,5,464,51,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,313,107,60,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,73,121,342,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,19,398,364,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,318,147,167,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,225,57,397,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,226,106,128,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,135,80,379,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,217,366,6,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,216,44,387,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,402,119,285,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,494,130,373,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,115,285,46,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,84,210,10,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,455,165,489,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,447,7,36,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,493,119,382,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,200,59,196,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,108,381,91,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,458,232,127,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,21,124,24,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,483,259,273,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,316,122,266,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,32,390,496,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,398,394,180,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,444,478,147,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,298,193,110,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,202,170,472,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,311,215,304,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,83,87,281,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,325,97,482,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,258,306,370,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,273,394,133,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,176,199,480,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,354,92,313,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,301,334,308,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,357,362,339,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,393,131,56,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,32,100,113,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,161,382,332,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,312,423,378,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,389,88,477,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,479,231,223,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,129,263,71,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,278,237,268,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,495,390,318,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,212,367,199,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,92,329,211,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,147,38,276,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,23,488,353,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,117,91,112,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,424,179,368,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
