LogisticsShipmentLineToContainerKey,LogisticsShipmentLineKey,LogisticsContainerKey,PackedQuantity,PackedWeightKg,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0.0000,0.0000,-1,0,1900-01-01T00:00:00.000
1,366,316,0.8000,2.0000,1,1,2026-08-24T00:00:00.000
2,152,21,1.5000,3.0000,1,1,2026-08-24T00:00:00.000
3,136,48,2.2000,4.0000,1,1,2026-08-24T00:00:00.000
4,329,61,2.9000,5.0000,1,1,2026-08-24T00:00:00.000
5,12,103,3.6000,6.0000,1,1,2026-08-24T00:00:00.000
6,195,497,4.3000,7.0000,1,1,2026-08-24T00:00:00.000
7,418,354,5.0000,8.0000,1,1,2026-08-24T00:00:00.000
8,147,325,5.7000,9.0000,1,1,2026-08-24T00:00:00.000
9,479,65,6.4000,10.0000,1,1,2026-08-24T00:00:00.000
10,415,83,7.1000,11.0000,1,1,2026-08-24T00:00:00.000
11,394,123,7.8000,12.0000,1,1,2026-08-24T00:00:00.000
12,356,299,8.5000,13.0000,1,1,2026-08-24T00:00:00.000
13,273,37,9.2000,14.0000,1,1,2026-08-24T00:00:00.000
14,444,72,9.9000,15.0000,1,1,2026-08-24T00:00:00.000
15,345,34,10.6000,16.0000,1,1,2026-08-24T00:00:00.000
16,416,309,11.3000,17.0000,1,1,2026-08-24T00:00:00.000
17,275,272,12.0000,18.0000,1,1,2026-08-24T00:00:00.000
18,490,238,12.7000,19.0000,1,1,2026-08-24T00:00:00.000
19,322,19,13.4000,20.0000,1,1,2026-08-24T00:00:00.000
20,394,121,14.1000,21.0000,1,1,2026-08-24T00:00:00.000
21,345,130,14.8000,22.0000,1,1,2026-08-24T00:00:00.000
22,391,118,15.5000,23.0000,1,1,2026-08-24T00:00:00.000
23,216,80,16.2000,24.0000,1,1,2026-08-24T00:00:00.000
24,265,101,16.9000,25.0000,1,1,2026-08-24T00:00:00.000
25,389,275,17.6000,26.0000,1,1,2026-08-24T00:00:00.000
26,67,173,18.3000,27.0000,1,1,2026-08-24T00:00:00.000
27,495,171,19.0000,28.0000,1,1,2026-08-24T00:00:00.000
28,104,162,19.7000,29.0000,1,1,2026-08-24T00:00:00.000
29,161,294,20.4000,30.0000,1,1,2026-08-24T00:00:00.000
30,16,311,21.1000,31.0000,1,1,2026-08-24T00:00:00.000
31,146,149,21.8000,32.0000,1,1,2026-08-24T00:00:00.000
32,370,247,22.5000,33.0000,1,1,2026-08-24T00:00:00.000
33,218,145,23.2000,34.0000,1,1,2026-08-24T00:00:00.000
34,391,175,23.9000,35.0000,1,1,2026-08-24T00:00:00.000
35,487,86,24.6000,36.0000,1,1,2026-08-24T00:00:00.000
36,349,81,25.3000,37.0000,1,1,2026-08-24T00:00:00.000
37,336,293,26.0000,38.0000,1,1,2026-08-24T00:00:00.000
38,248,39,26.7000,39.0000,1,1,2026-08-24T00:00:00.000
39,330,470,27.4000,40.0000,1,1,2026-08-24T00:00:00.000
40,444,138,28.1000,41.0000,1,1,2026-08-24T00:00:00.000
41,154,221,28.8000,42.0000,1,1,2026-08-24T00:00:00.000
42,226,321,29.5000,43.0000,1,1,2026-08-24T00:00:00.000
43,136,174,30.2000,44.0000,1,1,2026-08-24T00:00:00.000
44,200,103,30.9000,45.0000,1,1,2026-08-24T00:00:00.000
45,397,222,31.6000,46.0000,1,1,2026-08-24T00:00:00.000
46,124,457,32.3000,47.0000,1,1,2026-08-24T00:00:00.000
47,210,76,33.0000,48.0000,1,1,2026-08-24T00:00:00.000
48,261,281,33.7000,49.0000,1,1,2026-08-24T00:00:00.000
49,441,373,34.4000,50.0000,1,1,2026-08-24T00:00:00.000
50,71,169,35.1000,51.0000,1,1,2026-08-24T00:00:00.000
51,30,127,35.8000,52.0000,1,1,2026-08-24T00:00:00.000
52,257,368,36.5000,53.0000,1,1,2026-08-24T00:00:00.000
53,29,46,37.2000,54.0000,1,1,2026-08-24T00:00:00.000
54,112,84,37.9000,55.0000,1,1,2026-08-24T00:00:00.000
55,382,303,38.6000,56.0000,1,1,2026-08-24T00:00:00.000
56,301,181,39.3000,57.0000,1,1,2026-08-24T00:00:00.000
57,63,80,40.0000,58.0000,1,1,2026-08-24T00:00:00.000
58,476,478,40.7000,59.0000,1,1,2026-08-24T00:00:00.000
59,16,212,41.4000,60.0000,1,1,2026-08-24T00:00:00.000
60,258,251,42.1000,61.0000,1,1,2026-08-24T00:00:00.000
61,312,279,42.8000,62.0000,1,1,2026-08-24T00:00:00.000
62,233,223,43.5000,63.0000,1,1,2026-08-24T00:00:00.000
63,17,290,44.2000,64.0000,1,1,2026-08-24T00:00:00.000
64,390,411,44.9000,65.0000,1,1,2026-08-24T00:00:00.000
65,103,357,45.6000,66.0000,1,1,2026-08-24T00:00:00.000
66,22,484,46.3000,67.0000,1,1,2026-08-24T00:00:00.000
67,313,59,47.0000,68.0000,1,1,2026-08-24T00:00:00.000
68,158,325,47.7000,69.0000,1,1,2026-08-24T00:00:00.000
69,437,355,48.4000,70.0000,1,1,2026-08-24T00:00:00.000
70,110,185,49.1000,71.0000,1,1,2026-08-24T00:00:00.000
71,215,281,49.8000,72.0000,1,1,2026-08-24T00:00:00.000
72,120,483,50.5000,73.0000,1,1,2026-08-24T00:00:00.000
73,327,351,51.2000,74.0000,1,1,2026-08-24T00:00:00.000
74,224,281,51.9000,75.0000,1,1,2026-08-24T00:00:00.000
75,134,339,52.6000,76.0000,1,1,2026-08-24T00:00:00.000
76,452,187,53.3000,77.0000,1,1,2026-08-24T00:00:00.000
77,456,385,54.0000,78.0000,1,1,2026-08-24T00:00:00.000
78,307,49,54.7000,79.0000,1,1,2026-08-24T00:00:00.000
79,16,2,55.4000,80.0000,1,1,2026-08-24T00:00:00.000
80,163,70,56.1000,81.0000,1,1,2026-08-24T00:00:00.000
81,75,231,56.8000,82.0000,1,1,2026-08-24T00:00:00.000
82,5,358,57.5000,83.0000,1,1,2026-08-24T00:00:00.000
83,309,161,58.2000,84.0000,1,1,2026-08-24T00:00:00.000
84,56,460,58.9000,85.0000,1,1,2026-08-24T00:00:00.000
85,140,216,59.6000,86.0000,1,1,2026-08-24T00:00:00.000
86,418,331,60.3000,87.0000,1,1,2026-08-24T00:00:00.000
87,227,417,61.0000,88.0000,1,1,2026-08-24T00:00:00.000
88,4,498,61.7000,89.0000,1,1,2026-08-24T00:00:00.000
89,450,286,62.4000,90.0000,1,1,2026-08-24T00:00:00.000
90,452,382,63.1000,91.0000,1,1,2026-08-24T00:00:00.000
91,295,385,63.8000,92.0000,1,1,2026-08-24T00:00:00.000
92,21,167,64.5000,93.0000,1,1,2026-08-24T00:00:00.000
93,465,357,65.2000,94.0000,1,1,2026-08-24T00:00:00.000
94,133,417,65.9000,95.0000,1,1,2026-08-24T00:00:00.000
95,307,337,66.6000,96.0000,1,1,2026-08-24T00:00:00.000
96,381,484,67.3000,97.0000,1,1,2026-08-24T00:00:00.000
97,344,19,68.0000,98.0000,1,1,2026-08-24T00:00:00.000
98,100,413,68.7000,99.0000,1,1,2026-08-24T00:00:00.000
99,220,293,69.4000,100.0000,1,1,2026-08-24T00:00:00.000
100,195,33,70.1000,101.0000,1,1,2026-08-24T00:00:00.000
101,301,218,70.8000,102.0000,1,1,2026-08-24T00:00:00.000
102,379,91,71.5000,103.0000,1,1,2026-08-24T00:00:00.000
103,483,101,72.2000,104.0000,1,1,2026-08-24T00:00:00.000
104,472,299,72.9000,105.0000,1,1,2026-08-24T00:00:00.000
105,277,183,73.6000,106.0000,1,1,2026-08-24T00:00:00.000
106,125,54,74.3000,107.0000,1,1,2026-08-24T00:00:00.000
107,449,232,75.0000,108.0000,1,1,2026-08-24T00:00:00.000
108,37,2,75.7000,109.0000,1,1,2026-08-24T00:00:00.000
109,366,120,76.4000,110.0000,1,1,2026-08-24T00:00:00.000
110,180,150,77.1000,111.0000,1,1,2026-08-24T00:00:00.000
111,222,448,77.8000,112.0000,1,1,2026-08-24T00:00:00.000
112,415,82,78.5000,113.0000,1,1,2026-08-24T00:00:00.000
113,37,500,79.2000,114.0000,1,1,2026-08-24T00:00:00.000
114,454,145,79.9000,115.0000,1,1,2026-08-24T00:00:00.000
115,388,414,80.6000,116.0000,1,1,2026-08-24T00:00:00.000
116,196,446,81.3000,117.0000,1,1,2026-08-24T00:00:00.000
117,113,12,82.0000,118.0000,1,1,2026-08-24T00:00:00.000
118,456,428,82.7000,119.0000,1,1,2026-08-24T00:00:00.000
119,58,21,83.4000,120.0000,1,1,2026-08-24T00:00:00.000
120,41,168,84.1000,121.0000,1,1,2026-08-24T00:00:00.000
121,353,468,84.8000,122.0000,1,1,2026-08-24T00:00:00.000
122,208,224,85.5000,123.0000,1,1,2026-08-24T00:00:00.000
123,129,487,86.2000,124.0000,1,1,2026-08-24T00:00:00.000
124,81,285,86.9000,125.0000,1,1,2026-08-24T00:00:00.000
125,337,494,87.6000,126.0000,1,1,2026-08-24T00:00:00.000
126,51,290,88.3000,127.0000,1,1,2026-08-24T00:00:00.000
127,72,270,89.0000,128.0000,1,1,2026-08-24T00:00:00.000
128,330,354,89.7000,129.0000,1,1,2026-08-24T00:00:00.000
129,412,488,90.4000,130.0000,1,1,2026-08-24T00:00:00.000
130,1,46,91.1000,131.0000,1,1,2026-08-24T00:00:00.000
131,127,188,91.8000,132.0000,1,1,2026-08-24T00:00:00.000
132,369,12,92.5000,133.0000,1,1,2026-08-24T00:00:00.000
133,181,109,93.2000,134.0000,1,1,2026-08-24T00:00:00.000
134,62,301,93.9000,135.0000,1,1,2026-08-24T00:00:00.000
135,489,182,94.6000,136.0000,1,1,2026-08-24T00:00:00.000
136,124,115,95.3000,137.0000,1,1,2026-08-24T00:00:00.000
137,31,9,96.0000,138.0000,1,1,2026-08-24T00:00:00.000
138,403,401,96.7000,139.0000,1,1,2026-08-24T00:00:00.000
139,83,212,97.4000,140.0000,1,1,2026-08-24T00:00:00.000
140,380,60,98.1000,141.0000,1,1,2026-08-24T00:00:00.000
141,96,295,98.8000,142.0000,1,1,2026-08-24T00:00:00.000
142,334,34,99.5000,143.0000,1,1,2026-08-24T00:00:00.000
143,265,497,100.2000,144.0000,1,1,2026-08-24T00:00:00.000
144,105,477,100.9000,145.0000,1,1,2026-08-24T00:00:00.000
145,388,38,101.6000,146.0000,1,1,2026-08-24T00:00:00.000
146,236,231,102.3000,147.0000,1,1,2026-08-24T00:00:00.000
147,238,359,103.0000,148.0000,1,1,2026-08-24T00:00:00.000
148,370,22,103.7000,149.0000,1,1,2026-08-24T00:00:00.000
149,293,141,104.4000,150.0000,1,1,2026-08-24T00:00:00.000
150,315,153,105.1000,151.0000,1,1,2026-08-24T00:00:00.000
151,212,173,105.8000,152.0000,1,1,2026-08-24T00:00:00.000
152,109,243,106.5000,153.0000,1,1,2026-08-24T00:00:00.000
153,286,424,107.2000,154.0000,1,1,2026-08-24T00:00:00.000
154,243,90,107.9000,155.0000,1,1,2026-08-24T00:00:00.000
155,444,409,108.6000,156.0000,1,1,2026-08-24T00:00:00.000
156,58,215,109.3000,157.0000,1,1,2026-08-24T00:00:00.000
157,381,445,110.0000,158.0000,1,1,2026-08-24T00:00:00.000
158,337,479,110.7000,159.0000,1,1,2026-08-24T00:00:00.000
159,397,375,111.4000,160.0000,1,1,2026-08-24T00:00:00.000
160,198,170,112.1000,161.0000,1,1,2026-08-24T00:00:00.000
161,441,186,112.8000,162.0000,1,1,2026-08-24T00:00:00.000
162,166,207,113.5000,163.0000,1,1,2026-08-24T00:00:00.000
163,479,414,114.2000,164.0000,1,1,2026-08-24T00:00:00.000
164,348,170,114.9000,165.0000,1,1,2026-08-24T00:00:00.000
165,101,365,115.6000,166.0000,1,1,2026-08-24T00:00:00.000
166,239,167,116.3000,167.0000,1,1,2026-08-24T00:00:00.000
167,100,427,117.0000,168.0000,1,1,2026-08-24T00:00:00.000
168,390,191,117.7000,169.0000,1,1,2026-08-24T00:00:00.000
169,226,321,118.4000,170.0000,1,1,2026-08-24T00:00:00.000
170,359,363,119.1000,171.0000,1,1,2026-08-24T00:00:00.000
171,192,59,119.8000,172.0000,1,1,2026-08-24T00:00:00.000
172,365,94,120.5000,173.0000,1,1,2026-08-24T00:00:00.000
173,252,285,121.2000,174.0000,1,1,2026-08-24T00:00:00.000
174,43,71,121.9000,175.0000,1,1,2026-08-24T00:00:00.000
175,275,479,122.6000,176.0000,1,1,2026-08-24T00:00:00.000
176,345,54,123.3000,177.0000,1,1,2026-08-24T00:00:00.000
