WarrantyClaimRepairCodeKey,WarrantyFailureModeKey,ServiceRepairCodeKey,RepairProbabilityRatio,StandardAllowanceAmount,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,34,187,2.000000,11.3700,1,1,2026-08-24T00:00:00.000
2,479,6,3.000000,12.7400,1,1,2026-08-24T00:00:00.000
3,367,243,4.000000,14.1100,1,1,2026-08-24T00:00:00.000
4,252,320,5.000000,15.4800,1,1,2026-08-24T00:00:00.000
5,313,58,6.000000,16.8500,1,1,2026-08-24T00:00:00.000
6,158,181,7.000000,18.2200,1,1,2026-08-24T00:00:00.000
7,41,362,8.000000,19.5900,1,1,2026-08-24T00:00:00.000
8,290,52,9.000000,20.9600,1,1,2026-08-24T00:00:00.000
9,85,356,10.000000,22.3300,1,1,2026-08-24T00:00:00.000
10,200,169,11.000000,23.7000,1,1,2026-08-24T00:00:00.000
11,388,64,12.000000,25.0700,1,1,2026-08-24T00:00:00.000
12,210,34,13.000000,26.4400,1,1,2026-08-24T00:00:00.000
13,214,108,14.000000,27.8100,1,1,2026-08-24T00:00:00.000
14,165,73,15.000000,29.1800,1,1,2026-08-24T00:00:00.000
15,140,126,16.000000,30.5500,1,1,2026-08-24T00:00:00.000
16,418,45,17.000000,31.9200,1,1,2026-08-24T00:00:00.000
17,357,134,18.000000,33.2900,1,1,2026-08-24T00:00:00.000
18,99,378,19.000000,34.6600,1,1,2026-08-24T00:00:00.000
19,166,119,20.000000,36.0300,1,1,2026-08-24T00:00:00.000
20,485,193,21.000000,37.4000,1,1,2026-08-24T00:00:00.000
21,40,330,22.000000,38.7700,1,1,2026-08-24T00:00:00.000
22,60,262,23.000000,40.1400,1,1,2026-08-24T00:00:00.000
23,307,355,24.000000,41.5100,1,1,2026-08-24T00:00:00.000
24,157,261,25.000000,42.8800,1,1,2026-08-24T00:00:00.000
25,161,402,26.000000,44.2500,1,1,2026-08-24T00:00:00.000
26,28,354,27.000000,45.6200,1,1,2026-08-24T00:00:00.000
27,432,256,28.000000,46.9900,1,1,2026-08-24T00:00:00.000
28,227,45,29.000000,48.3600,1,1,2026-08-24T00:00:00.000
29,172,334,30.000000,49.7300,1,1,2026-08-24T00:00:00.000
30,77,283,31.000000,51.1000,1,1,2026-08-24T00:00:00.000
31,392,154,32.000000,52.4700,1,1,2026-08-24T00:00:00.000
32,12,68,33.000000,53.8400,1,1,2026-08-24T00:00:00.000
33,163,479,34.000000,55.2100,1,1,2026-08-24T00:00:00.000
34,17,284,35.000000,56.5800,1,1,2026-08-24T00:00:00.000
35,286,50,36.000000,57.9500,1,1,2026-08-24T00:00:00.000
36,480,256,37.000000,59.3200,1,1,2026-08-24T00:00:00.000
37,337,209,38.000000,60.6900,1,1,2026-08-24T00:00:00.000
38,236,270,39.000000,62.0600,1,1,2026-08-24T00:00:00.000
39,208,172,40.000000,63.4300,1,1,2026-08-24T00:00:00.000
40,41,85,41.000000,64.8000,1,1,2026-08-24T00:00:00.000
