MachineSensorAssignmentKey,MachineKey,MachineSensorTagKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,0,0.000000,0.0000,-1,0,1900-01-01T00:00:00.000
1,114,76,1,11.370000,0.0001,1,1,2026-08-24T00:00:00.000
2,298,122,2,12.740000,0.0002,1,1,2026-08-24T00:00:00.000
3,291,251,3,14.110000,0.0003,1,1,2026-08-24T00:00:00.000
4,265,82,4,15.480000,0.0004,1,1,2026-08-24T00:00:00.000
5,187,34,5,16.850000,0.0005,1,1,2026-08-24T00:00:00.000
6,133,496,6,18.220000,0.0006,1,1,2026-08-24T00:00:00.000
7,353,156,7,19.590000,0.0007,1,1,2026-08-24T00:00:00.000
8,123,118,8,20.960000,0.0008,1,1,2026-08-24T00:00:00.000
9,156,5,9,22.330000,0.0009,1,1,2026-08-24T00:00:00.000
10,173,8,10,23.700000,0.0010,1,1,2026-08-24T00:00:00.000
11,209,271,11,25.070000,0.0011,1,1,2026-08-24T00:00:00.000
12,44,59,12,26.440000,0.0012,1,1,2026-08-24T00:00:00.000
13,203,183,13,27.810000,0.0013,1,1,2026-08-24T00:00:00.000
14,292,206,14,29.180000,0.0014,1,1,2026-08-24T00:00:00.000
15,160,352,15,30.550000,0.0015,1,1,2026-08-24T00:00:00.000
16,135,377,16,31.920000,0.0016,1,1,2026-08-24T00:00:00.000
17,498,5,17,33.290000,0.0017,1,1,2026-08-24T00:00:00.000
18,317,243,18,34.660000,0.0018,1,1,2026-08-24T00:00:00.000
19,432,67,19,36.030000,0.0019,1,1,2026-08-24T00:00:00.000
20,173,161,20,37.400000,0.0020,1,1,2026-08-24T00:00:00.000
21,196,139,21,38.770000,0.0021,1,1,2026-08-24T00:00:00.000
22,257,25,22,40.140000,0.0022,1,1,2026-08-24T00:00:00.000
23,275,162,23,41.510000,0.0023,1,1,2026-08-24T00:00:00.000
24,324,352,24,42.880000,0.0024,1,1,2026-08-24T00:00:00.000
25,343,428,25,44.250000,0.0025,1,1,2026-08-24T00:00:00.000
26,439,421,26,45.620000,0.0026,1,1,2026-08-24T00:00:00.000
27,139,20,27,46.990000,0.0027,1,1,2026-08-24T00:00:00.000
28,13,236,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,206,239,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,283,412,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,30,484,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,456,149,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,369,298,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,243,121,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,304,21,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,418,180,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,154,202,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,386,429,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,139,322,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,136,393,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
