SafetyEmployeePpeKey,EmployeeKey,SafetyPpeItemKey,IssuedDate,ReplacementDueDate,IssuedQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,1900-01-01,1900-01-01,0.0000,-1,0,1900-01-01T00:00:00.000
1,340,285,2020-01-02,2020-01-02,0.8000,1,1,2026-08-24T00:00:00.000
2,474,474,2020-01-03,2020-01-03,1.5000,1,1,2026-08-24T00:00:00.000
3,127,211,2020-01-04,2020-01-04,2.2000,1,1,2026-08-24T00:00:00.000
4,490,254,2020-01-05,2020-01-05,2.9000,1,1,2026-08-24T00:00:00.000
5,101,127,2020-01-06,2020-01-06,3.6000,1,1,2026-08-24T00:00:00.000
6,452,439,2020-01-07,2020-01-07,4.3000,1,1,2026-08-24T00:00:00.000
7,271,14,2020-01-08,2020-01-08,5.0000,1,1,2026-08-24T00:00:00.000
8,259,119,2020-01-09,2020-01-09,5.7000,1,1,2026-08-24T00:00:00.000
9,266,2,2020-01-10,2020-01-10,6.4000,1,1,2026-08-24T00:00:00.000
10,279,93,2020-01-11,2020-01-11,7.1000,1,1,2026-08-24T00:00:00.000
11,388,26,2020-01-12,2020-01-12,7.8000,1,1,2026-08-24T00:00:00.000
12,435,257,2020-01-13,2020-01-13,8.5000,1,1,2026-08-24T00:00:00.000
13,317,446,2020-01-14,2020-01-14,9.2000,1,1,2026-08-24T00:00:00.000
14,482,343,2020-01-15,2020-01-15,9.9000,1,1,2026-08-24T00:00:00.000
15,343,245,2020-01-16,2020-01-16,10.6000,1,1,2026-08-24T00:00:00.000
16,87,452,2020-01-17,2020-01-17,11.3000,1,1,2026-08-24T00:00:00.000
17,94,89,2020-01-18,2020-01-18,12.0000,1,1,2026-08-24T00:00:00.000
18,308,56,2020-01-19,2020-01-19,12.7000,1,1,2026-08-24T00:00:00.000
19,403,289,2020-01-20,2020-01-20,13.4000,1,1,2026-08-24T00:00:00.000
20,312,288,2020-01-21,2020-01-21,14.1000,1,1,2026-08-24T00:00:00.000
21,41,204,2020-01-22,2020-01-22,14.8000,1,1,2026-08-24T00:00:00.000
22,336,114,2020-01-23,2020-01-23,15.5000,1,1,2026-08-24T00:00:00.000
23,464,145,2020-01-24,2020-01-24,16.2000,1,1,2026-08-24T00:00:00.000
24,494,428,2020-01-25,2020-01-25,16.9000,1,1,2026-08-24T00:00:00.000
25,264,179,2020-01-26,2020-01-26,17.6000,1,1,2026-08-24T00:00:00.000
26,323,100,2020-01-27,2020-01-27,18.3000,1,1,2026-08-24T00:00:00.000
27,97,267,2020-01-28,2020-01-28,19.0000,1,1,2026-08-24T00:00:00.000
28,255,461,2020-01-29,2020-01-29,19.7000,1,1,2026-08-24T00:00:00.000
29,158,24,2020-01-30,2020-01-30,20.4000,1,1,2026-08-24T00:00:00.000
30,280,13,2020-01-31,2020-01-31,21.1000,1,1,2026-08-24T00:00:00.000
31,320,130,2020-02-01,2020-02-01,21.8000,1,1,2026-08-24T00:00:00.000
32,110,48,2020-02-02,2020-02-02,22.5000,1,1,2026-08-24T00:00:00.000
33,403,285,2020-02-03,2020-02-03,23.2000,1,1,2026-08-24T00:00:00.000
34,225,136,2020-02-04,2020-02-04,23.9000,1,1,2026-08-24T00:00:00.000
35,110,469,2020-02-05,2020-02-05,24.6000,1,1,2026-08-24T00:00:00.000
36,405,452,2020-02-06,2020-02-06,25.3000,1,1,2026-08-24T00:00:00.000
37,266,382,2020-02-07,2020-02-07,26.0000,1,1,2026-08-24T00:00:00.000
38,424,132,2020-02-08,2020-02-08,26.7000,1,1,2026-08-24T00:00:00.000
39,196,485,2020-02-09,2020-02-09,27.4000,1,1,2026-08-24T00:00:00.000
40,408,383,2020-02-10,2020-02-10,28.1000,1,1,2026-08-24T00:00:00.000
41,55,229,2020-02-11,2020-02-11,28.8000,1,1,2026-08-24T00:00:00.000
42,49,290,2020-02-12,2020-02-12,29.5000,1,1,2026-08-24T00:00:00.000
43,225,350,2020-02-13,2020-02-13,30.2000,1,1,2026-08-24T00:00:00.000
44,12,438,2020-02-14,2020-02-14,30.9000,1,1,2026-08-24T00:00:00.000
45,53,96,2020-02-15,2020-02-15,31.6000,1,1,2026-08-24T00:00:00.000
46,290,256,2020-02-16,2020-02-16,32.3000,1,1,2026-08-24T00:00:00.000
47,346,443,2020-02-17,2020-02-17,33.0000,1,1,2026-08-24T00:00:00.000
48,300,151,2020-02-18,2020-02-18,33.7000,1,1,2026-08-24T00:00:00.000
49,180,118,2020-02-19,2020-02-19,34.4000,1,1,2026-08-24T00:00:00.000
50,371,272,2020-02-20,2020-02-20,35.1000,1,1,2026-08-24T00:00:00.000
51,48,144,2020-02-21,2020-02-21,35.8000,1,1,2026-08-24T00:00:00.000
52,142,359,2020-02-22,2020-02-22,36.5000,1,1,2026-08-24T00:00:00.000
53,66,234,2020-02-23,2020-02-23,37.2000,1,1,2026-08-24T00:00:00.000
54,405,275,2020-02-24,2020-02-24,37.9000,1,1,2026-08-24T00:00:00.000
55,356,96,2020-02-25,2020-02-25,38.6000,1,1,2026-08-24T00:00:00.000
56,200,118,2020-02-26,2020-02-26,39.3000,1,1,2026-08-24T00:00:00.000
57,404,62,2020-02-27,2020-02-27,40.0000,1,1,2026-08-24T00:00:00.000
58,207,109,2020-02-28,2020-02-28,40.7000,1,1,2026-08-24T00:00:00.000
59,67,72,2020-02-29,2020-02-29,41.4000,1,1,2026-08-24T00:00:00.000
60,458,462,2020-03-01,2020-03-01,42.1000,1,1,2026-08-24T00:00:00.000
61,493,167,2020-03-02,2020-03-02,42.8000,1,1,2026-08-24T00:00:00.000
62,208,498,2020-03-03,2020-03-03,43.5000,1,1,2026-08-24T00:00:00.000
63,73,451,2020-03-04,2020-03-04,44.2000,1,1,2026-08-24T00:00:00.000
64,240,198,2020-03-05,2020-03-05,44.9000,1,1,2026-08-24T00:00:00.000
65,84,47,2020-03-06,2020-03-06,45.6000,1,1,2026-08-24T00:00:00.000
66,482,264,2020-03-07,2020-03-07,46.3000,1,1,2026-08-24T00:00:00.000
67,302,142,2020-03-08,2020-03-08,47.0000,1,1,2026-08-24T00:00:00.000
68,58,87,2020-03-09,2020-03-09,47.7000,1,1,2026-08-24T00:00:00.000
69,90,70,2020-03-10,2020-03-10,48.4000,1,1,2026-08-24T00:00:00.000
70,313,27,2020-03-11,2020-03-11,49.1000,1,1,2026-08-24T00:00:00.000
71,192,23,2020-03-12,2020-03-12,49.8000,1,1,2026-08-24T00:00:00.000
72,49,380,2020-03-13,2020-03-13,50.5000,1,1,2026-08-24T00:00:00.000
73,187,500,2020-03-14,2020-03-14,51.2000,1,1,2026-08-24T00:00:00.000
74,130,356,2020-03-15,2020-03-15,51.9000,1,1,2026-08-24T00:00:00.000
75,110,206,2020-03-16,2020-03-16,52.6000,1,1,2026-08-24T00:00:00.000
76,35,345,2020-03-17,2020-03-17,53.3000,1,1,2026-08-24T00:00:00.000
77,404,257,2020-03-18,2020-03-18,54.0000,1,1,2026-08-24T00:00:00.000
78,367,349,2020-03-19,2020-03-19,54.7000,1,1,2026-08-24T00:00:00.000
79,174,251,2020-03-20,2020-03-20,55.4000,1,1,2026-08-24T00:00:00.000
80,124,342,2020-03-21,2020-03-21,56.1000,1,1,2026-08-24T00:00:00.000
81,249,75,2020-03-22,2020-03-22,56.8000,1,1,2026-08-24T00:00:00.000
82,104,259,2020-03-23,2020-03-23,57.5000,1,1,2026-08-24T00:00:00.000
83,175,399,2020-03-24,2020-03-24,58.2000,1,1,2026-08-24T00:00:00.000
84,222,261,2020-03-25,2020-03-25,58.9000,1,1,2026-08-24T00:00:00.000
85,495,311,2020-03-26,2020-03-26,59.6000,1,1,2026-08-24T00:00:00.000
86,482,370,2020-03-27,2020-03-27,60.3000,1,1,2026-08-24T00:00:00.000
87,132,140,2020-03-28,2020-03-28,61.0000,1,1,2026-08-24T00:00:00.000
88,138,32,2020-03-29,2020-03-29,61.7000,1,1,2026-08-24T00:00:00.000
89,498,331,2020-03-30,2020-03-30,62.4000,1,1,2026-08-24T00:00:00.000
90,250,322,2020-03-31,2020-03-31,63.1000,1,1,2026-08-24T00:00:00.000
91,51,200,2020-04-01,2020-04-01,63.8000,1,1,2026-08-24T00:00:00.000
92,226,172,2020-04-02,2020-04-02,64.5000,1,1,2026-08-24T00:00:00.000
93,338,448,2020-04-03,2020-04-03,65.2000,1,1,2026-08-24T00:00:00.000
94,355,227,2020-04-04,2020-04-04,65.9000,1,1,2026-08-24T00:00:00.000
95,435,472,2020-04-05,2020-04-05,66.6000,1,1,2026-08-24T00:00:00.000
96,470,404,2020-04-06,2020-04-06,67.3000,1,1,2026-08-24T00:00:00.000
97,227,464,2020-04-07,2020-04-07,68.0000,1,1,2026-08-24T00:00:00.000
98,332,87,2020-04-08,2020-04-08,68.7000,1,1,2026-08-24T00:00:00.000
99,54,176,2020-04-09,2020-04-09,69.4000,1,1,2026-08-24T00:00:00.000
100,172,405,2020-04-10,2020-04-10,70.1000,1,1,2026-08-24T00:00:00.000
101,288,350,2020-04-11,2020-04-11,70.8000,1,1,2026-08-24T00:00:00.000
102,54,124,2020-04-12,2020-04-12,71.5000,1,1,2026-08-24T00:00:00.000
103,62,42,2020-04-13,2020-04-13,72.2000,1,1,2026-08-24T00:00:00.000
104,440,334,2020-04-14,2020-04-14,72.9000,1,1,2026-08-24T00:00:00.000
105,307,114,2020-04-15,2020-04-15,73.6000,1,1,2026-08-24T00:00:00.000
106,347,58,2020-04-16,2020-04-16,74.3000,1,1,2026-08-24T00:00:00.000
107,414,414,2020-04-17,2020-04-17,75.0000,1,1,2026-08-24T00:00:00.000
108,194,377,2020-04-18,2020-04-18,75.7000,1,1,2026-08-24T00:00:00.000
109,233,133,2020-04-19,2020-04-19,76.4000,1,1,2026-08-24T00:00:00.000
110,223,215,2020-04-20,2020-04-20,77.1000,1,1,2026-08-24T00:00:00.000
