SalesOrderToCustomerHierarchyKey,SalesOrderHeaderKey,CustomerKey,SalesCustomerNodeKey,AllocationRatio,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,0.000000,-1,0,1900-01-01T00:00:00.000
1,197,410,131,2.000000,1,1,2026-08-24T00:00:00.000
2,435,226,329,3.000000,1,1,2026-08-24T00:00:00.000
3,316,403,407,4.000000,1,1,2026-08-24T00:00:00.000
4,74,421,11,5.000000,1,1,2026-08-24T00:00:00.000
5,415,211,489,6.000000,1,1,2026-08-24T00:00:00.000
6,74,370,118,7.000000,1,1,2026-08-24T00:00:00.000
7,432,55,23,8.000000,1,1,2026-08-24T00:00:00.000
8,332,194,74,9.000000,1,1,2026-08-24T00:00:00.000
9,23,269,464,10.000000,1,1,2026-08-24T00:00:00.000
10,49,335,27,11.000000,1,1,2026-08-24T00:00:00.000
11,338,360,63,12.000000,1,1,2026-08-24T00:00:00.000
12,125,46,418,13.000000,1,1,2026-08-24T00:00:00.000
13,464,345,43,14.000000,1,1,2026-08-24T00:00:00.000
14,328,218,94,15.000000,1,1,2026-08-24T00:00:00.000
15,80,341,306,16.000000,1,1,2026-08-24T00:00:00.000
16,482,477,381,17.000000,1,1,2026-08-24T00:00:00.000
17,415,360,190,18.000000,1,1,2026-08-24T00:00:00.000
18,291,78,24,19.000000,1,1,2026-08-24T00:00:00.000
19,269,369,350,20.000000,1,1,2026-08-24T00:00:00.000
20,57,484,412,21.000000,1,1,2026-08-24T00:00:00.000
21,111,201,394,22.000000,1,1,2026-08-24T00:00:00.000
22,336,166,417,23.000000,1,1,2026-08-24T00:00:00.000
23,479,496,481,24.000000,1,1,2026-08-24T00:00:00.000
24,459,53,27,25.000000,1,1,2026-08-24T00:00:00.000
25,96,227,464,26.000000,1,1,2026-08-24T00:00:00.000
26,455,321,210,27.000000,1,1,2026-08-24T00:00:00.000
27,358,398,397,28.000000,1,1,2026-08-24T00:00:00.000
28,96,107,416,29.000000,1,1,2026-08-24T00:00:00.000
29,140,67,327,30.000000,1,1,2026-08-24T00:00:00.000
30,129,45,414,31.000000,1,1,2026-08-24T00:00:00.000
31,288,257,91,32.000000,1,1,2026-08-24T00:00:00.000
