QualityCapaLifecycleKey,OpenedDateKey,ApprovedDateKey,ImplementedDateKey,VerifiedDateKey,ClosedDateKey,QualityNonConformanceKey,ProductKey,PlantKey,OwnerEmployeeKey,QualityCapaTypeKey,ApprovalStatusKey,QualityResultStatusKey,CapaNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,QualityCapaLifecycleLagDays,SourceSystemKey,BatchId,LoadedAtUtc
1,20260719,20260710,20260806,20260717,20260813,16,190,13,452,12,5,4,QCL000001,2,11.3700,6.0000,11.3700,2,1,1,2026-08-24T00:00:00.000
2,20260811,20260601,20260714,20260707,20260615,419,326,138,37,1,1,1,QCL000002,3,12.7400,7.0000,12.7400,3,1,1,2026-08-24T00:00:00.000
3,20260726,20260712,20260627,20260715,20260712,63,242,111,440,10,3,2,QCL000003,4,14.1100,8.0000,14.1100,4,1,1,2026-08-24T00:00:00.000
4,20260611,20260712,20260603,20260622,20260608,458,131,107,25,8,1,4,QCL000004,5,15.4800,9.0000,15.4800,5,1,1,2026-08-24T00:00:00.000
5,20260820,20260806,20260604,20260603,20260610,158,225,72,111,2,3,9,QCL000005,6,16.8500,10.0000,16.8500,6,1,1,2026-08-24T00:00:00.000
6,20260602,20260610,20260703,20260806,20260528,121,91,135,316,9,4,4,QCL000006,7,18.2200,11.0000,18.2200,7,1,1,2026-08-24T00:00:00.000
7,20260727,20260806,20260611,20260726,20260731,241,408,347,315,10,2,1,QCL000007,8,19.5900,12.0000,19.5900,8,1,1,2026-08-24T00:00:00.000
8,20260702,20260823,20260807,20260812,20260805,151,258,350,374,6,2,12,QCL000008,9,20.9600,13.0000,20.9600,9,1,1,2026-08-24T00:00:00.000
9,20260604,20260712,20260607,20260719,20260618,201,448,227,406,11,4,4,QCL000009,10,22.3300,14.0000,22.3300,10,1,1,2026-08-24T00:00:00.000
10,20260629,20260810,20260531,20260626,20260624,379,190,120,147,7,4,10,QCL000010,11,23.7000,15.0000,23.7000,11,1,1,2026-08-24T00:00:00.000
11,20260616,20260818,20260619,20260728,20260811,38,372,70,171,11,2,5,QCL000011,12,25.0700,16.0000,25.0700,12,1,1,2026-08-24T00:00:00.000
12,20260601,20260705,20260601,20260808,20260622,267,177,236,486,1,4,3,QCL000012,13,26.4400,17.0000,26.4400,13,1,1,2026-08-24T00:00:00.000
13,20260711,20260806,20260713,20260601,20260810,86,31,93,235,9,4,11,QCL000013,14,27.8100,18.0000,27.8100,14,1,1,2026-08-24T00:00:00.000
14,20260805,20260727,20260703,20260601,20260803,474,23,113,278,9,2,9,QCL000014,15,29.1800,19.0000,29.1800,15,1,1,2026-08-24T00:00:00.000
15,20260702,20260629,20260623,20260612,20260718,142,445,350,280,11,5,10,QCL000015,16,30.5500,20.0000,30.5500,16,1,1,2026-08-24T00:00:00.000
16,20260621,20260711,20260704,20260723,20260613,421,124,137,110,11,5,11,QCL000016,17,31.9200,21.0000,31.9200,17,1,1,2026-08-24T00:00:00.000
17,20260804,20260712,20260819,20260803,20260801,-1,-1,101,-1,8,3,11,QCL000017,18,33.2900,22.0000,33.2900,18,1,1,2026-08-24T00:00:00.000
