RoutingOperationStandardKey,EffectiveDateKey,ExpirationDateKey,RoutingHeaderKey,RoutingOperationTypeKey,WorkCenterKey,UnitOfMeasureKey,RoutingOperationCode,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260625,20260725,51,315,37,2,ROS000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260822,20260616,158,125,5,4,ROS000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260809,20260819,192,144,360,5,ROS000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260606,20260614,182,245,371,6,ROS000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260728,20260730,34,239,46,6,ROS000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260730,20260726,29,62,136,6,ROS000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260824,20260527,450,454,330,7,ROS000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260811,20260802,410,59,243,7,ROS000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260531,20260704,411,123,45,6,ROS000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260713,20260730,215,403,85,1,ROS000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260630,20260620,52,490,79,2,ROS000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260806,20260610,115,116,30,5,ROS000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260802,20260818,23,53,102,3,ROS000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260621,20260608,158,74,364,1,ROS000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260619,20260725,218,295,446,4,ROS000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260620,20260812,80,8,306,1,ROS000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260630,20260722,120,150,328,2,ROS000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260820,20260708,131,332,383,6,ROS000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260731,20260728,379,148,267,4,ROS000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260616,20260710,57,73,57,1,ROS000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260703,20260725,227,17,324,1,ROS000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260727,20260730,316,1,10,4,ROS000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260529,20260625,92,26,480,3,ROS000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
