MachineChangeoverEventKey,StartDateKey,EndDateKey,StartTimeOfDayKey,EndTimeOfDayKey,MachineKey,MachineChangeoverKey,FromProductKey,ToProductKey,WorkCenterKey,PlantKey,LeadEmployeeKey,OeeCalculationMethodKey,ChangeoverEventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260715,20260822,63060,19440,120,271,58,117,425,153,387,2,MCE000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260806,20260819,75000,58800,245,222,41,289,124,140,395,6,MCE000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260814,20260709,72060,51240,455,194,214,85,461,174,367,6,MCE000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260818,20260816,47040,34020,158,66,272,85,60,6,113,5,MCE000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260810,20260621,67140,40080,482,104,500,116,454,44,79,10,MCE000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260726,20260729,17760,34020,71,96,465,461,325,238,88,7,MCE000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260718,20260605,16380,49860,225,400,335,210,416,216,358,10,MCE000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260629,20260824,17460,17280,294,194,267,373,491,303,147,6,MCE000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260608,20260613,18540,39420,281,66,337,3,86,57,390,9,MCE000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260809,20260718,45600,27600,485,330,418,409,409,54,388,8,MCE000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260803,20260527,45300,28980,80,444,468,314,87,289,228,11,MCE000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260708,20260716,70920,26520,119,421,257,155,329,99,58,8,MCE000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260626,20260727,36840,32460,14,180,399,403,185,319,421,10,MCE000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260713,20260624,81240,10380,315,497,234,163,461,67,290,6,MCE000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260610,20260618,80580,84540,82,38,281,44,103,171,385,11,MCE000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260807,20260721,60360,24960,458,365,142,367,476,161,270,9,MCE000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260816,20260630,72900,22260,444,402,-1,-1,273,304,-1,11,MCE000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260627,20260624,3180,35880,370,189,470,359,88,129,123,11,MCE000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260530,20260710,30840,5700,45,141,323,170,247,14,447,9,MCE000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260819,20260624,57840,42240,202,106,162,43,179,95,282,9,MCE000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260611,20260703,32580,64980,432,353,203,434,120,60,479,3,MCE000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260616,20260802,36360,56940,254,24,210,216,166,161,442,4,MCE000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260615,20260717,86040,24720,54,275,163,386,378,238,186,10,MCE000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260728,20260627,54180,13500,405,493,352,271,78,291,244,10,MCE000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260625,20260806,34020,41700,174,93,195,301,145,163,399,3,MCE000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260728,20260808,77100,61440,206,13,93,14,267,42,123,9,MCE000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260618,20260802,60420,81660,492,177,61,184,281,100,19,5,MCE000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260602,20260723,83940,85320,88,142,288,494,5,26,117,7,MCE000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260708,20260822,71100,80280,105,447,459,145,122,172,238,1,MCE000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
