QualityInspectionResultKey,InspectionDateKey,InspectionTimeOfDayKey,QualityInspectionLotKey,QualityInspectionPlanKey,QualityInspectionCharacteristicKey,QualityGaugeKey,ProductKey,PlantKey,SupplierKey,InspectorEmployeeKey,QualityInspectionTypeKey,QualityResultStatusKey,UnitOfMeasureKey,SampleNumber,ResultSequenceNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260704,82200,228,266,491,446,166,199,127,351,6,11,2,QIR000001,1,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260821,11520,260,235,249,7,243,313,394,172,8,12,7,QIR000002,2,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260821,2700,311,170,9,322,375,315,150,50,4,1,6,QIR000003,3,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260708,76920,363,434,24,72,468,140,161,97,3,10,6,QIR000004,4,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260710,22740,376,389,359,277,51,187,283,24,4,7,4,QIR000005,5,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260730,12420,104,270,148,5,196,300,45,439,6,1,1,QIR000006,6,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260815,34080,463,71,288,229,93,330,75,41,3,8,3,QIR000007,7,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260709,23580,184,322,408,313,219,212,262,441,12,3,3,QIR000008,8,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260816,65700,140,137,112,354,304,315,285,346,10,4,2,QIR000009,9,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260812,80280,372,167,11,261,471,18,232,42,4,7,4,QIR000010,10,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260802,26340,385,426,136,461,292,33,405,493,9,10,4,QIR000011,11,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260805,79080,107,367,151,97,22,316,38,100,2,7,2,QIR000012,12,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260727,51900,151,16,49,402,122,78,486,255,9,11,5,QIR000013,13,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260718,44100,449,294,235,362,425,171,212,88,4,1,2,QIR000014,14,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
