FinanceBudgetForecastKey,SnapshotDateKey,FiscalPeriodDateKey,FinancePlanningVersionKey,GlAccountKey,CostCenterKey,BusinessUnitKey,ProductKey,FinanceProfitObjectKey,FinanceScenarioTypeKey,CurrencyKey,BudgetAmount,ForecastAmount,BudgetQuantity,ForecastQuantity,SourceSystemKey,BatchId,LoadedAtUtc
1,20260727,20260610,399,214,142,122,361,46,1,3,11.3700,11.3700,0.8000,0.8000,1,1,2026-08-24T00:00:00.000
2,20260626,20260616,366,156,421,203,277,212,10,1,12.7400,12.7400,1.5000,1.5000,1,1,2026-08-24T00:00:00.000
3,20260711,20260806,141,494,76,232,369,465,7,2,14.1100,14.1100,2.2000,2.2000,1,1,2026-08-24T00:00:00.000
4,20260814,20260730,284,139,85,300,444,388,7,2,15.4800,15.4800,2.9000,2.9000,1,1,2026-08-24T00:00:00.000
5,20260622,20260724,100,345,318,258,170,436,10,2,16.8500,16.8500,3.6000,3.6000,1,1,2026-08-24T00:00:00.000
6,20260724,20260808,98,141,297,390,39,96,9,3,18.2200,18.2200,4.3000,4.3000,1,1,2026-08-24T00:00:00.000
7,20260608,20260805,333,457,416,369,492,30,2,5,19.5900,19.5900,5.0000,5.0000,1,1,2026-08-24T00:00:00.000
8,20260702,20260726,309,140,310,425,3,199,9,4,20.9600,20.9600,5.7000,5.7000,1,1,2026-08-24T00:00:00.000
9,20260626,20260704,35,321,339,252,290,383,4,4,22.3300,22.3300,6.4000,6.4000,1,1,2026-08-24T00:00:00.000
10,20260808,20260621,69,408,198,166,415,272,5,5,23.7000,23.7000,7.1000,7.1000,1,1,2026-08-24T00:00:00.000
11,20260715,20260621,220,18,112,492,359,254,3,1,25.0700,25.0700,7.8000,7.8000,1,1,2026-08-24T00:00:00.000
12,20260724,20260527,88,256,465,474,219,179,8,4,26.4400,26.4400,8.5000,8.5000,1,1,2026-08-24T00:00:00.000
13,20260604,20260608,193,324,444,414,491,478,9,2,27.8100,27.8100,9.2000,9.2000,1,1,2026-08-24T00:00:00.000
14,20260806,20260711,310,480,207,442,310,196,1,3,29.1800,29.1800,9.9000,9.9000,1,1,2026-08-24T00:00:00.000
15,20260718,20260709,165,455,495,101,375,362,7,1,30.5500,30.5500,10.6000,10.6000,1,1,2026-08-24T00:00:00.000
16,20260723,20260626,283,162,345,274,72,358,6,1,31.9200,31.9200,11.3000,11.3000,1,1,2026-08-24T00:00:00.000
17,20260704,20260706,186,405,-1,494,-1,-1,8,3,33.2900,33.2900,12.0000,12.0000,1,1,2026-08-24T00:00:00.000
18,20260703,20260710,465,97,232,428,218,240,3,5,34.6600,34.6600,12.7000,12.7000,1,1,2026-08-24T00:00:00.000
19,20260604,20260628,219,301,36,299,461,4,5,4,36.0300,36.0300,13.4000,13.4000,1,1,2026-08-24T00:00:00.000
20,20260702,20260527,33,298,303,352,475,229,9,2,37.4000,37.4000,14.1000,14.1000,1,1,2026-08-24T00:00:00.000
21,20260720,20260527,223,162,168,131,128,189,2,4,38.7700,38.7700,14.8000,14.8000,1,1,2026-08-24T00:00:00.000
22,20260704,20260814,400,463,446,202,348,425,7,2,40.1400,40.1400,15.5000,15.5000,1,1,2026-08-24T00:00:00.000
23,20260815,20260803,97,404,257,444,443,14,6,4,41.5100,41.5100,16.2000,16.2000,1,1,2026-08-24T00:00:00.000
24,20260814,20260817,74,317,440,262,438,41,8,2,42.8800,42.8800,16.9000,16.9000,1,1,2026-08-24T00:00:00.000
25,20260602,20260621,357,384,498,199,249,255,9,3,44.2500,44.2500,17.6000,17.6000,1,1,2026-08-24T00:00:00.000
26,20260810,20260802,485,322,360,425,435,102,9,1,45.6200,45.6200,18.3000,18.3000,1,1,2026-08-24T00:00:00.000
27,20260721,20260625,120,101,76,352,149,487,2,3,46.9900,46.9900,19.0000,19.0000,1,1,2026-08-24T00:00:00.000
28,20260529,20260818,397,212,173,433,386,91,6,4,48.3600,48.3600,19.7000,19.7000,1,1,2026-08-24T00:00:00.000
29,20260602,20260804,431,373,411,486,435,214,2,4,49.7300,49.7300,20.4000,20.4000,1,1,2026-08-24T00:00:00.000
30,20260603,20260820,285,188,464,444,475,213,10,4,51.1000,51.1000,21.1000,21.1000,1,1,2026-08-24T00:00:00.000
31,20260531,20260615,8,17,331,132,1,107,9,4,52.4700,52.4700,21.8000,21.8000,1,1,2026-08-24T00:00:00.000
32,20260708,20260706,374,37,176,180,379,379,3,2,53.8400,53.8400,22.5000,22.5000,1,1,2026-08-24T00:00:00.000
33,20260814,20260717,134,257,300,287,343,58,4,2,55.2100,55.2100,23.2000,23.2000,1,1,2026-08-24T00:00:00.000
34,20260711,20260802,10,419,-1,353,-1,-1,5,4,56.5800,56.5800,23.9000,23.9000,1,1,2026-08-24T00:00:00.000
35,20260820,20260729,194,332,357,477,205,471,10,5,57.9500,57.9500,24.6000,24.6000,1,1,2026-08-24T00:00:00.000
36,20260606,20260712,68,129,159,490,45,350,10,3,59.3200,59.3200,25.3000,25.3000,1,1,2026-08-24T00:00:00.000
37,20260718,20260602,162,216,228,329,300,173,3,5,60.6900,60.6900,26.0000,26.0000,1,1,2026-08-24T00:00:00.000
38,20260815,20260805,374,266,23,175,12,407,9,5,62.0600,62.0600,26.7000,26.7000,1,1,2026-08-24T00:00:00.000
39,20260619,20260622,242,262,69,55,345,54,8,3,63.4300,63.4300,27.4000,27.4000,1,1,2026-08-24T00:00:00.000
40,20260725,20260813,458,179,217,396,241,135,6,5,64.8000,64.8000,28.1000,28.1000,1,1,2026-08-24T00:00:00.000
41,20260718,20260705,65,48,156,79,16,437,1,2,66.1700,66.1700,28.8000,28.8000,1,1,2026-08-24T00:00:00.000
42,20260729,20260710,85,213,79,238,74,82,4,2,67.5400,67.5400,29.5000,29.5000,1,1,2026-08-24T00:00:00.000
