PurchaseSupplierScoreSnapshotKey,SnapshotDateKey,SupplierKey,PurchaseCommodityKey,PurchaseSupplierScorecardKey,QualityScore,DeliveryScore,CostScore,OverallScore,SourceSystemKey,BatchId,LoadedAtUtc
1,20260809,62,200,116,2.0000,2.0000,11.3700,2.0000,1,1,2026-08-24T00:00:00.000
2,20260817,495,325,382,3.0000,3.0000,12.7400,3.0000,1,1,2026-08-24T00:00:00.000
3,20260601,219,338,446,4.0000,4.0000,14.1100,4.0000,1,1,2026-08-24T00:00:00.000
4,20260721,22,149,16,5.0000,5.0000,15.4800,5.0000,1,1,2026-08-24T00:00:00.000
5,20260531,419,481,89,6.0000,6.0000,16.8500,6.0000,1,1,2026-08-24T00:00:00.000
6,20260626,125,340,310,7.0000,7.0000,18.2200,7.0000,1,1,2026-08-24T00:00:00.000
7,20260723,487,201,452,8.0000,8.0000,19.5900,8.0000,1,1,2026-08-24T00:00:00.000
8,20260618,368,44,134,9.0000,9.0000,20.9600,9.0000,1,1,2026-08-24T00:00:00.000
9,20260623,28,273,147,10.0000,10.0000,22.3300,10.0000,1,1,2026-08-24T00:00:00.000
10,20260803,444,323,302,11.0000,11.0000,23.7000,11.0000,1,1,2026-08-24T00:00:00.000
11,20260608,312,368,178,12.0000,12.0000,25.0700,12.0000,1,1,2026-08-24T00:00:00.000
12,20260601,427,148,107,13.0000,13.0000,26.4400,13.0000,1,1,2026-08-24T00:00:00.000
13,20260626,27,89,437,14.0000,14.0000,27.8100,14.0000,1,1,2026-08-24T00:00:00.000
14,20260802,331,233,311,15.0000,15.0000,29.1800,15.0000,1,1,2026-08-24T00:00:00.000
15,20260614,410,96,71,16.0000,16.0000,30.5500,16.0000,1,1,2026-08-24T00:00:00.000
16,20260730,113,81,466,17.0000,17.0000,31.9200,17.0000,1,1,2026-08-24T00:00:00.000
17,20260621,457,374,163,18.0000,18.0000,33.2900,18.0000,1,1,2026-08-24T00:00:00.000
18,20260630,184,208,492,19.0000,19.0000,34.6600,19.0000,1,1,2026-08-24T00:00:00.000
19,20260810,438,33,145,20.0000,20.0000,36.0300,20.0000,1,1,2026-08-24T00:00:00.000
20,20260623,126,338,243,21.0000,21.0000,37.4000,21.0000,1,1,2026-08-24T00:00:00.000
21,20260611,151,3,274,22.0000,22.0000,38.7700,22.0000,1,1,2026-08-24T00:00:00.000
22,20260810,375,6,417,23.0000,23.0000,40.1400,23.0000,1,1,2026-08-24T00:00:00.000
23,20260605,87,458,206,24.0000,24.0000,41.5100,24.0000,1,1,2026-08-24T00:00:00.000
