ProductionDowntimeEventKey,StartDateKey,EndDateKey,StartTimeOfDayKey,EndTimeOfDayKey,PlantKey,WorkCenterKey,ProductionRunKey,ProductionShiftKey,ProductionDowntimeReasonKey,SeverityKey,DowntimeEventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260704,20260709,48060,55380,131,327,87,171,6,1,PDE000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260824,20260719,42900,33660,305,319,145,153,9,4,PDE000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260723,20260824,83880,22320,127,82,362,243,3,2,PDE000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260614,20260810,18540,41880,50,223,486,179,10,3,PDE000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260626,20260712,12060,34920,158,170,33,373,2,2,PDE000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260709,20260714,40260,77220,152,307,167,7,8,5,PDE000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260720,20260604,35640,78660,302,453,215,304,6,4,PDE000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260815,20260615,58200,74460,100,285,139,257,2,5,PDE000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260608,20260801,34860,16980,246,8,9,159,12,1,PDE000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260719,20260802,32760,8880,19,277,248,383,8,3,PDE000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260527,20260803,46860,28740,289,409,283,43,11,4,PDE000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260629,20260725,67140,31320,152,329,468,241,9,2,PDE000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260712,20260619,55560,4860,133,335,475,110,12,2,PDE000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260530,20260727,61620,26100,307,407,176,72,3,4,PDE000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260601,20260710,73980,53880,25,396,390,84,11,5,PDE000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260810,20260703,32520,5160,95,224,13,21,7,4,PDE000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260528,20260821,66360,6960,68,416,-1,429,6,1,PDE000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260709,20260812,84900,24180,86,55,120,114,10,2,PDE000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260719,20260601,18660,56220,29,264,347,416,6,3,PDE000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260711,20260715,49080,21060,143,232,211,266,8,5,PDE000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260720,20260806,86280,61740,276,408,48,271,7,3,PDE000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260606,20260805,49620,27420,165,431,465,238,12,3,PDE000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260811,20260528,43860,47820,280,175,22,248,8,5,PDE000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260618,20260708,65220,76620,303,418,415,183,6,1,PDE000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260611,20260801,50040,38700,46,433,1,23,4,5,PDE000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260813,20260728,58740,23940,183,156,418,76,7,5,PDE000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260711,20260724,78780,27600,99,177,382,462,5,1,PDE000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260626,20260805,77340,24780,262,337,465,488,5,4,PDE000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260605,20260802,960,37920,219,270,352,262,3,1,PDE000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260814,20260824,27600,15240,304,91,278,438,2,2,PDE000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260721,20260705,33420,18840,319,47,6,227,2,1,PDE000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260707,20260625,49020,42840,58,482,368,186,4,2,PDE000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260712,20260704,12000,56520,267,290,131,280,12,4,PDE000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260802,20260604,24060,33900,261,481,-1,325,1,1,PDE000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260722,20260603,32220,42780,56,177,195,37,10,5,PDE000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260615,20260801,17640,51000,6,45,28,456,1,5,PDE000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
