InventoryBalanceSnapshotKey,SnapshotDateKey,ProductKey,PlantKey,InventoryBinKey,InventoryLotKey,InventorySerialNumberKey,InventoryConsignmentOwnerKey,InventoryStockStatusKey,UnitOfMeasureKey,OnHandQuantity,AvailableQuantity,ReservedQuantity,InventoryValueAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260822,408,12,295,88,367,354,2,7,0.8000,0.8000,0.8000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260803,199,333,173,367,99,316,8,1,1.5000,1.5000,1.5000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260621,260,155,154,165,349,206,10,3,2.2000,2.2000,2.2000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260823,87,176,484,308,216,19,5,5,2.9000,2.9000,2.9000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260724,242,275,82,15,355,240,9,6,3.6000,3.6000,3.6000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260704,439,2,133,238,251,380,10,7,4.3000,4.3000,4.3000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260529,293,343,35,88,478,433,2,7,5.0000,5.0000,5.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260808,343,14,127,28,204,29,3,3,5.7000,5.7000,5.7000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260627,402,204,257,452,258,136,7,4,6.4000,6.4000,6.4000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260716,64,10,197,48,489,134,9,5,7.1000,7.1000,7.1000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260711,456,216,394,118,378,340,3,4,7.8000,7.8000,7.8000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260713,395,117,248,472,309,463,9,7,8.5000,8.5000,8.5000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260609,427,93,43,356,442,30,8,1,9.2000,9.2000,9.2000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260529,481,260,125,334,22,433,10,4,9.9000,9.9000,9.9000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260614,75,256,120,331,285,174,1,4,10.6000,10.6000,10.6000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260611,270,94,423,237,213,203,6,2,11.3000,11.3000,11.3000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260727,40,199,492,-1,-1,-1,1,3,12.0000,12.0000,12.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260810,244,236,97,204,281,358,1,4,12.7000,12.7000,12.7000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260703,111,221,479,40,321,104,10,4,13.4000,13.4000,13.4000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260621,91,5,451,359,215,3,3,7,14.1000,14.1000,14.1000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260601,261,295,31,43,403,115,5,3,14.8000,14.8000,14.8000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260709,77,226,102,385,357,317,4,7,15.5000,15.5000,15.5000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260819,220,134,386,311,271,210,4,6,16.2000,16.2000,16.2000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260824,464,59,326,500,337,479,4,6,16.9000,16.9000,16.9000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260707,335,32,494,278,251,139,6,3,17.6000,17.6000,17.6000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260628,243,77,436,297,180,145,6,6,18.3000,18.3000,18.3000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260605,148,199,277,162,228,326,9,6,19.0000,19.0000,19.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260816,80,150,438,41,114,492,2,3,19.7000,19.7000,19.7000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260806,445,199,361,173,239,95,5,4,20.4000,20.4000,20.4000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260531,276,2,498,204,396,39,3,6,21.1000,21.1000,21.1000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260604,474,307,214,234,202,470,8,2,21.8000,21.8000,21.8000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260702,415,29,457,390,105,272,6,6,22.5000,22.5000,22.5000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260724,386,228,161,495,170,18,8,2,23.2000,23.2000,23.2000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260823,439,60,487,-1,-1,-1,9,4,23.9000,23.9000,23.9000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260612,395,70,430,72,24,90,2,3,24.6000,24.6000,24.6000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260622,1,111,377,14,435,336,4,4,25.3000,25.3000,25.3000,59.3200,1,1,2026-08-24T00:00:00.000
