MachineSensorReadingKey,ReadingDateKey,ReadingTimeOfDayKey,MachineKey,MachineSensorTagKey,WorkCenterKey,PlantKey,MachineSensorTypeKey,UnitOfMeasureKey,ReadingSequenceNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260731,40440,162,445,399,125,11,2,1,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260711,48660,455,202,336,349,6,7,2,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260624,84360,25,448,365,299,11,1,3,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260712,35820,354,158,113,303,7,5,4,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260714,19740,50,101,305,231,6,6,5,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260715,67800,283,386,386,269,11,1,6,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260720,65400,353,242,393,45,3,1,7,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260609,45120,179,32,436,295,9,7,8,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260615,51000,171,175,181,56,9,3,9,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260701,40020,350,271,298,192,2,1,10,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260626,15720,40,30,106,150,6,1,11,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260817,38760,193,313,128,139,10,1,12,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260801,27600,460,316,396,106,1,3,13,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260718,14760,145,441,183,35,1,6,14,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260817,13020,48,214,103,239,5,1,15,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260812,54900,493,195,74,259,9,5,16,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260616,38280,121,494,312,325,7,2,17,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260608,84480,343,32,463,173,6,3,18,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260614,4020,161,361,278,226,10,4,19,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260709,39420,183,312,329,69,6,1,20,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260816,53820,51,382,395,13,12,2,21,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260819,48480,442,77,419,262,5,7,22,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260720,8100,306,425,200,277,4,6,23,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260708,60600,241,148,171,278,3,5,24,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260728,11880,260,244,86,36,5,7,25,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260706,12900,499,49,325,106,1,2,26,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260601,48960,469,140,473,282,6,1,27,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260801,54120,154,363,182,100,4,2,28,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260607,85680,179,412,253,118,8,5,29,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260626,12000,245,304,251,54,10,7,30,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260622,49620,42,214,467,82,10,7,31,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260726,66420,335,281,483,267,11,3,32,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260729,78960,123,444,141,13,1,2,33,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260728,10260,62,234,373,326,9,1,34,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260716,47160,106,471,157,14,5,5,35,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260606,45600,109,317,29,53,11,3,36,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260819,18240,134,414,317,100,1,6,37,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260814,27780,106,266,291,269,5,1,38,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260719,33180,368,39,472,347,1,2,39,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260727,19380,299,468,478,14,4,5,40,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260626,44940,150,220,109,234,7,4,41,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260724,31800,160,154,219,242,5,2,42,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260626,33120,45,80,234,133,12,7,43,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260626,83340,401,409,280,262,4,6,44,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260809,56460,246,183,449,333,4,6,45,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260630,39060,295,392,280,117,11,1,46,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260818,5220,116,195,150,297,2,3,47,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260727,17880,474,337,85,184,6,4,48,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260622,39840,382,106,413,29,7,3,49,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260822,24600,495,128,253,1,6,4,50,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260617,58680,211,288,355,241,4,4,51,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260801,45180,2,331,167,314,1,2,52,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260630,83400,476,52,310,78,2,6,53,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260528,83340,128,386,63,72,9,5,54,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260616,7560,190,443,417,168,6,5,55,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260816,54120,362,394,490,305,9,5,56,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260704,41940,211,70,396,154,11,3,57,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260619,67860,287,174,277,289,3,6,58,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260619,64020,482,202,402,270,4,3,59,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260727,54360,249,436,298,86,10,6,60,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260818,84720,325,336,310,321,9,3,61,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260612,73020,134,47,43,328,6,4,62,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260710,67380,86,267,306,257,5,6,63,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260820,67860,56,24,80,309,11,3,64,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260623,50580,63,443,48,170,10,6,65,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260804,31260,389,115,228,12,6,7,66,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260607,50160,378,445,301,263,2,3,67,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260723,63300,337,439,176,16,12,3,68,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260619,68880,93,384,211,71,5,7,69,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260710,3660,243,154,153,74,12,3,70,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260629,5520,157,300,461,152,8,7,71,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260817,33540,264,269,370,188,6,5,72,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260622,80820,225,16,156,90,6,3,73,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260715,38220,202,429,113,309,11,4,74,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260703,37200,411,277,436,112,11,3,75,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260728,7860,337,418,192,295,8,3,76,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260716,17760,131,419,177,325,8,6,77,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260815,9840,81,59,474,84,2,6,78,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260811,10740,44,117,376,22,12,5,79,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260714,13020,151,314,50,324,2,7,80,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260531,37140,202,96,240,122,12,1,81,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260616,120,229,288,68,70,2,4,82,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260719,10980,129,46,82,231,12,5,83,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260816,40380,67,206,393,133,9,6,84,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260813,66780,211,207,251,121,1,3,85,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260824,4800,430,188,131,12,2,7,86,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260725,47400,450,470,87,121,3,4,87,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260721,21960,191,68,253,4,9,2,88,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260602,73380,191,5,203,47,10,1,89,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
