MaintenanceConditionReadingKey,ReadingDateKey,ReadingTimeOfDayKey,MaintenanceConditionPointKey,AssetKey,PlantKey,WorkCenterKey,MaintenanceConditionTypeKey,UnitOfMeasureKey,ReadingBatchNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260802,2400,161,141,215,475,7,6,MCR000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260528,71820,39,70,48,470,12,6,MCR000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260705,18600,263,62,117,286,7,7,MCR000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260610,39960,78,398,198,189,10,6,MCR000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260723,7620,384,380,280,420,8,1,MCR000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260822,75180,24,465,177,429,5,6,MCR000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260620,64740,279,388,106,447,3,4,MCR000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260720,58920,7,282,107,224,6,6,MCR000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260815,63120,301,449,309,268,8,2,MCR000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260620,53520,360,392,257,278,12,1,MCR000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260613,10860,60,340,246,251,3,2,MCR000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260728,67800,276,152,39,314,12,1,MCR000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260702,28320,356,105,210,218,2,2,MCR000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260816,57240,208,115,16,214,6,1,MCR000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260711,31020,347,375,161,381,10,5,MCR000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260703,69480,279,31,288,56,2,1,MCR000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260614,33540,433,149,138,-1,7,6,MCR000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260726,17340,193,43,105,125,1,7,MCR000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260726,59280,57,447,171,178,2,1,MCR000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260822,72240,436,185,224,485,2,5,MCR000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260719,67380,265,329,216,271,12,6,MCR000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260528,73140,455,230,141,78,2,2,MCR000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260729,20940,268,157,242,78,5,2,MCR000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260703,6600,425,317,54,284,11,3,MCR000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260715,69780,15,165,196,324,3,5,MCR000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260814,64680,81,64,317,431,7,5,MCR000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260702,66720,233,157,88,461,7,1,MCR000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260801,69000,171,337,51,139,12,1,MCR000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260620,12780,329,303,4,457,9,4,MCR000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260612,40560,130,389,137,219,7,3,MCR000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260611,57960,315,336,213,353,8,6,MCR000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260712,22740,433,451,85,53,2,7,MCR000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260528,38220,453,353,200,237,10,7,MCR000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260530,39420,447,462,91,-1,1,2,MCR000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260814,47580,379,441,255,108,1,4,MCR000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260614,49860,33,323,306,367,7,1,MCR000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260822,16920,396,208,37,68,2,3,MCR000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
