InventorySafetyStockSnapshotKey,SnapshotDateKey,InventorySafetyStockPolicyKey,ProductKey,PlantKey,InventoryAbcClassKey,UnitOfMeasureKey,OnHandQuantity,SafetyStockQuantity,ShortageQuantity,ShortageValueAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260809,208,381,350,4,7,0.8000,0.8000,0.8000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260816,179,196,99,2,6,1.5000,1.5000,1.5000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260628,476,40,214,2,1,2.2000,2.2000,2.2000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260720,234,167,285,4,3,2.9000,2.9000,2.9000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260529,5,400,123,5,3,3.6000,3.6000,3.6000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260624,416,240,58,1,7,4.3000,4.3000,4.3000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260812,448,431,137,2,4,5.0000,5.0000,5.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260624,471,354,307,5,7,5.7000,5.7000,5.7000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260809,69,475,170,1,5,6.4000,6.4000,6.4000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260615,307,481,121,1,7,7.1000,7.1000,7.1000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260824,325,453,324,2,6,7.8000,7.8000,7.8000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260710,9,320,118,4,5,8.5000,8.5000,8.5000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260811,293,433,31,1,6,9.2000,9.2000,9.2000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260805,121,495,204,2,1,9.9000,9.9000,9.9000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260809,289,369,191,2,2,10.6000,10.6000,10.6000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260821,329,309,29,1,6,11.3000,11.3000,11.3000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260821,282,78,218,1,7,12.0000,12.0000,12.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260611,130,376,342,4,1,12.7000,12.7000,12.7000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260704,211,135,36,1,7,13.4000,13.4000,13.4000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260713,39,237,310,3,3,14.1000,14.1000,14.1000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260801,353,482,252,5,1,14.8000,14.8000,14.8000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260817,82,441,7,4,6,15.5000,15.5000,15.5000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260606,376,352,242,4,2,16.2000,16.2000,16.2000,41.5100,1,1,2026-08-24T00:00:00.000
