MaintenanceSparePartUsageKey,MovementDateKey,MovementTimeOfDayKey,MaintenanceWorkOrderKey,MaintenanceSparePartKey,AssetKey,PlantKey,CostCenterKey,UnitOfMeasureKey,TransactionTypeKey,MaterialDocumentNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260529,23940,106,489,335,273,409,7,2,MSPU000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260804,60840,137,454,376,148,135,4,3,MSPU000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260817,29700,177,290,438,200,468,5,2,MSPU000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260608,40020,76,189,452,184,217,2,3,MSPU000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260810,85080,343,230,109,88,449,1,4,MSPU000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260801,76560,153,455,28,83,217,7,2,MSPU000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260615,25200,154,69,303,200,100,5,2,MSPU000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260803,36600,493,204,328,219,187,5,1,MSPU000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260622,25320,409,220,400,332,245,3,3,MSPU000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260527,48540,302,462,217,310,398,2,4,MSPU000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260618,83160,360,471,465,265,249,4,1,MSPU000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260603,41760,244,79,408,70,252,3,1,MSPU000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260530,47520,340,235,460,249,385,4,2,MSPU000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260724,75240,250,97,75,1,498,6,4,MSPU000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260711,17340,180,446,151,253,177,7,4,MSPU000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260625,39360,170,250,260,66,164,3,2,MSPU000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260628,63420,200,57,34,136,420,2,4,MSPU000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260811,19200,321,325,274,150,469,6,3,MSPU000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260726,49920,197,298,163,83,167,2,2,MSPU000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260626,62460,213,378,457,340,64,7,4,MSPU000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260824,14340,361,246,23,197,455,7,1,MSPU000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260821,75540,433,196,249,114,382,6,3,MSPU000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260625,66480,479,463,449,55,437,6,4,MSPU000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260730,33240,4,287,129,207,91,3,1,MSPU000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260807,53400,403,212,37,245,367,6,2,MSPU000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260630,62580,205,57,122,2,238,2,1,MSPU000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260724,45300,368,378,193,322,393,2,2,MSPU000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260707,76980,435,480,225,5,234,1,3,MSPU000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260815,68340,264,96,105,165,270,1,1,MSPU000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260612,77880,77,462,487,188,283,3,1,MSPU000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260612,11160,462,97,72,130,362,6,1,MSPU000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260824,48420,390,12,127,164,314,2,2,MSPU000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260623,69060,478,438,288,294,404,3,2,MSPU000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260719,77640,270,311,319,77,187,4,4,MSPU000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260613,38580,402,342,124,130,129,7,3,MSPU000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260608,4800,376,148,48,102,486,5,2,MSPU000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260713,3300,461,267,439,4,458,2,4,MSPU000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260818,41100,101,64,97,54,236,6,3,MSPU000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260717,12120,140,387,239,66,159,4,2,MSPU000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
