InventoryMovementKey,PostingDateKey,DocumentDateKey,ExpirationDateKey,PostingTimeOfDayKey,ProductKey,PlantKey,InventoryBinKey,InventoryLotKey,InventorySerialNumberKey,InventoryContainerKey,PostedByEmployeeKey,InventoryMovementTypeKey,InventoryStockStatusKey,UnitOfMeasureKey,AdjustmentReasonKey,InventoryDocumentNumber,InventoryDocumentLineNumber,MovementQuantity,MovementValueAmount,WeightKg,SourceSystemKey,BatchId,LoadedAtUtc
1,20260606,20260824,20260527,77280,72,258,136,478,466,64,168,11,9,7,1,IM000001,1,0.8000,11.3700,2.0000,1,1,2026-08-24T00:00:00.000
2,20260619,20260629,20260701,64380,54,336,208,137,221,23,340,5,7,6,3,IM000002,2,1.5000,12.7400,3.0000,1,1,2026-08-24T00:00:00.000
3,20260614,20260608,20260606,38340,156,237,29,253,266,10,459,15,1,2,2,IM000003,3,2.2000,14.1100,4.0000,1,1,2026-08-24T00:00:00.000
4,20260625,20260623,20260624,32340,500,2,66,131,495,233,118,10,4,6,3,IM000004,4,2.9000,15.4800,5.0000,1,1,2026-08-24T00:00:00.000
5,20260715,20260704,20260717,0,468,21,52,270,480,137,495,15,9,4,2,IM000005,5,3.6000,16.8500,6.0000,1,1,2026-08-24T00:00:00.000
6,20260716,20260617,20260601,26220,158,257,77,1,328,319,164,9,3,4,4,IM000006,6,4.3000,18.2200,7.0000,1,1,2026-08-24T00:00:00.000
7,20260726,20260722,20260814,7980,205,112,57,76,412,110,353,16,5,1,4,IM000007,7,5.0000,19.5900,8.0000,1,1,2026-08-24T00:00:00.000
8,20260618,20260730,20260809,58800,430,301,95,25,106,203,4,7,9,2,3,IM000008,8,5.7000,20.9600,9.0000,1,1,2026-08-24T00:00:00.000
9,20260809,20260527,20260603,5160,342,7,196,104,462,227,214,9,8,4,3,IM000009,9,6.4000,22.3300,10.0000,1,1,2026-08-24T00:00:00.000
10,20260624,20260809,20260818,24420,114,308,78,42,27,486,208,4,9,4,3,IM000010,10,7.1000,23.7000,11.0000,1,1,2026-08-24T00:00:00.000
11,20260607,20260822,20260819,85200,290,279,336,21,426,166,186,16,10,3,2,IM000011,11,7.8000,25.0700,12.0000,1,1,2026-08-24T00:00:00.000
12,20260619,20260707,20260612,25380,245,111,411,443,327,13,487,11,6,7,3,IM000012,12,8.5000,26.4400,13.0000,1,1,2026-08-24T00:00:00.000
13,20260818,20260604,20260610,21780,86,331,232,487,116,400,179,16,10,4,2,IM000013,13,9.2000,27.8100,14.0000,1,1,2026-08-24T00:00:00.000
14,20260730,20260728,20260617,1560,461,170,14,278,209,364,188,8,6,4,1,IM000014,14,9.9000,29.1800,15.0000,1,1,2026-08-24T00:00:00.000
15,20260625,20260529,20260816,13620,485,173,244,459,200,469,107,4,7,4,2,IM000015,15,10.6000,30.5500,16.0000,1,1,2026-08-24T00:00:00.000
16,20260714,20260617,20260710,67620,336,249,486,73,286,323,182,16,10,3,2,IM000016,16,11.3000,31.9200,17.0000,1,1,2026-08-24T00:00:00.000
17,20260606,20260618,20260712,16800,472,256,442,-1,-1,-1,-1,8,7,1,-1,IM000017,17,12.0000,33.2900,18.0000,1,1,2026-08-24T00:00:00.000
18,20260720,20260703,20260824,37020,459,192,305,398,387,105,166,13,3,2,1,IM000018,18,12.7000,34.6600,19.0000,1,1,2026-08-24T00:00:00.000
19,20260609,20260603,20260618,13440,305,16,29,457,102,331,464,11,10,4,4,IM000019,19,13.4000,36.0300,20.0000,1,1,2026-08-24T00:00:00.000
20,20260712,20260809,20260809,13320,263,198,259,234,371,230,81,2,1,2,3,IM000020,20,14.1000,37.4000,21.0000,1,1,2026-08-24T00:00:00.000
21,20260617,20260804,20260723,69240,220,72,178,272,231,493,280,13,6,7,2,IM000021,21,14.8000,38.7700,22.0000,1,1,2026-08-24T00:00:00.000
22,20260811,20260819,20260730,43320,420,286,448,99,334,465,139,3,2,1,4,IM000022,22,15.5000,40.1400,23.0000,1,1,2026-08-24T00:00:00.000
23,20260715,20260605,20260813,36420,413,207,86,137,237,397,289,16,3,6,2,IM000023,23,16.2000,41.5100,24.0000,1,1,2026-08-24T00:00:00.000
24,20260715,20260726,20260625,7440,486,285,177,141,234,314,318,11,7,1,4,IM000024,24,16.9000,42.8800,25.0000,1,1,2026-08-24T00:00:00.000
25,20260824,20260803,20260725,49980,76,109,110,262,86,191,444,9,10,2,2,IM000025,25,17.6000,44.2500,26.0000,1,1,2026-08-24T00:00:00.000
26,20260608,20260802,20260605,4380,7,258,84,178,409,198,260,15,6,7,1,IM000026,26,18.3000,45.6200,27.0000,1,1,2026-08-24T00:00:00.000
27,20260816,20260812,20260613,52020,499,284,484,132,445,34,147,9,4,2,4,IM000027,27,19.0000,46.9900,28.0000,1,1,2026-08-24T00:00:00.000
28,20260814,20260627,20260802,21540,218,8,59,343,419,484,409,3,1,7,3,IM000028,28,19.7000,48.3600,29.0000,1,1,2026-08-24T00:00:00.000
29,20260529,20260628,20260622,51480,424,143,130,144,458,258,36,16,8,3,1,IM000029,29,20.4000,49.7300,30.0000,1,1,2026-08-24T00:00:00.000
30,20260703,20260710,20260803,49140,281,233,136,422,235,107,153,6,7,5,2,IM000030,30,21.1000,51.1000,31.0000,1,1,2026-08-24T00:00:00.000
31,20260723,20260720,20260612,14100,306,255,339,371,165,169,465,7,6,1,4,IM000031,31,21.8000,52.4700,32.0000,1,1,2026-08-24T00:00:00.000
32,20260727,20260711,20260604,7620,135,83,217,436,319,249,164,7,7,7,2,IM000032,32,22.5000,53.8400,33.0000,1,1,2026-08-24T00:00:00.000
33,20260627,20260816,20260609,22920,309,333,462,428,344,370,38,8,2,7,1,IM000033,33,23.2000,55.2100,34.0000,1,1,2026-08-24T00:00:00.000
34,20260605,20260717,20260713,27540,105,224,77,-1,-1,-1,-1,10,4,4,-1,IM000034,34,23.9000,56.5800,35.0000,1,1,2026-08-24T00:00:00.000
35,20260724,20260621,20260710,4320,232,30,439,288,108,113,253,8,5,7,2,IM000035,35,24.6000,57.9500,36.0000,1,1,2026-08-24T00:00:00.000
36,20260612,20260730,20260605,64740,69,195,442,454,350,212,39,13,10,5,1,IM000036,36,25.3000,59.3200,37.0000,1,1,2026-08-24T00:00:00.000
37,20260717,20260821,20260602,15720,273,210,31,20,3,266,463,7,3,1,2,IM000037,37,26.0000,60.6900,38.0000,1,1,2026-08-24T00:00:00.000
38,20260703,20260710,20260602,9300,26,182,166,262,21,250,395,2,10,3,3,IM000038,38,26.7000,62.0600,39.0000,1,1,2026-08-24T00:00:00.000
39,20260605,20260617,20260803,30180,33,85,458,288,206,191,193,12,8,2,1,IM000039,39,27.4000,63.4300,40.0000,1,1,2026-08-24T00:00:00.000
40,20260718,20260809,20260729,23640,16,199,177,215,340,126,481,8,9,4,1,IM000040,40,28.1000,64.8000,41.0000,1,1,2026-08-24T00:00:00.000
41,20260622,20260628,20260630,7680,498,210,192,25,468,364,413,8,3,6,2,IM000041,41,28.8000,66.1700,42.0000,1,1,2026-08-24T00:00:00.000
42,20260818,20260713,20260712,32280,181,255,289,190,179,350,381,6,7,7,2,IM000042,42,29.5000,67.5400,43.0000,1,1,2026-08-24T00:00:00.000
43,20260710,20260705,20260729,52440,39,230,18,496,54,331,466,16,2,6,2,IM000043,43,30.2000,68.9100,44.0000,1,1,2026-08-24T00:00:00.000
44,20260714,20260724,20260708,44520,384,338,179,216,476,124,315,16,6,1,1,IM000044,44,30.9000,70.2800,45.0000,1,1,2026-08-24T00:00:00.000
45,20260729,20260629,20260612,10980,319,87,476,188,112,408,104,16,2,5,3,IM000045,45,31.6000,71.6500,46.0000,1,1,2026-08-24T00:00:00.000
46,20260724,20260812,20260803,68400,454,57,402,253,33,52,248,10,6,5,3,IM000046,46,32.3000,73.0200,47.0000,1,1,2026-08-24T00:00:00.000
47,20260731,20260725,20260807,36240,47,262,443,60,167,424,45,15,4,7,1,IM000047,47,33.0000,74.3900,48.0000,1,1,2026-08-24T00:00:00.000
48,20260717,20260608,20260531,37080,371,98,331,179,424,302,290,5,3,4,2,IM000048,48,33.7000,75.7600,49.0000,1,1,2026-08-24T00:00:00.000
49,20260603,20260815,20260706,38340,144,215,309,400,388,66,331,5,3,1,3,IM000049,49,34.4000,77.1300,50.0000,1,1,2026-08-24T00:00:00.000
50,20260603,20260811,20260714,18960,481,40,445,341,60,106,417,14,2,7,4,IM000050,50,35.1000,78.5000,51.0000,1,1,2026-08-24T00:00:00.000
51,20260606,20260630,20260622,50880,92,271,366,-1,-1,-1,-1,1,5,2,-1,IM000051,51,35.8000,79.8700,52.0000,1,1,2026-08-24T00:00:00.000
52,20260806,20260618,20260820,22800,128,226,94,91,36,203,290,13,5,7,3,IM000052,52,36.5000,81.2400,53.0000,1,1,2026-08-24T00:00:00.000
53,20260713,20260817,20260731,40080,268,203,420,125,127,438,309,6,7,7,4,IM000053,53,37.2000,82.6100,54.0000,1,1,2026-08-24T00:00:00.000
54,20260717,20260710,20260626,47220,49,259,17,68,343,458,107,5,5,4,2,IM000054,54,37.9000,83.9800,55.0000,1,1,2026-08-24T00:00:00.000
55,20260704,20260629,20260605,54420,386,104,157,36,147,301,299,4,3,6,2,IM000055,55,38.6000,85.3500,56.0000,1,1,2026-08-24T00:00:00.000
56,20260730,20260618,20260713,15900,50,53,165,315,497,123,353,1,6,4,1,IM000056,56,39.3000,86.7200,57.0000,1,1,2026-08-24T00:00:00.000
57,20260822,20260621,20260605,55800,69,66,288,405,122,111,320,3,1,2,2,IM000057,57,40.0000,88.0900,58.0000,1,1,2026-08-24T00:00:00.000
58,20260808,20260812,20260624,64800,401,133,413,106,392,477,36,1,6,3,3,IM000058,58,40.7000,89.4600,59.0000,1,1,2026-08-24T00:00:00.000
59,20260716,20260705,20260707,81900,28,268,162,369,105,83,382,7,4,3,2,IM000059,59,41.4000,90.8300,60.0000,1,1,2026-08-24T00:00:00.000
60,20260819,20260617,20260702,33420,110,283,24,257,493,180,7,8,2,1,3,IM000060,60,42.1000,92.2000,61.0000,1,1,2026-08-24T00:00:00.000
61,20260807,20260606,20260728,15960,324,290,114,41,125,172,139,2,3,7,3,IM000061,61,42.8000,93.5700,62.0000,1,1,2026-08-24T00:00:00.000
62,20260823,20260712,20260624,11580,208,44,439,495,320,407,436,12,3,3,3,IM000062,62,43.5000,94.9400,63.0000,1,1,2026-08-24T00:00:00.000
63,20260814,20260622,20260618,71580,169,125,40,496,354,484,75,14,5,3,3,IM000063,63,44.2000,96.3100,64.0000,1,1,2026-08-24T00:00:00.000
64,20260622,20260726,20260703,50100,84,346,331,41,383,160,487,10,10,6,4,IM000064,64,44.9000,97.6800,65.0000,1,1,2026-08-24T00:00:00.000
65,20260818,20260730,20260601,41520,420,95,494,57,487,33,184,9,3,5,2,IM000065,65,45.6000,99.0500,66.0000,1,1,2026-08-24T00:00:00.000
66,20260628,20260615,20260612,11100,94,86,81,343,83,467,230,3,4,6,3,IM000066,66,46.3000,100.4200,67.0000,1,1,2026-08-24T00:00:00.000
