PurchaseGoodsReceiptKey,ReceiptDateKey,PostingDateKey,DocumentDateKey,ReceiptTimeOfDayKey,PurchaseOrderLineKey,SupplierKey,ProductKey,PlantKey,ReceiverEmployeeKey,PurchaseReceiptStatusKey,UnitOfMeasureKey,CurrencyKey,GoodsReceiptNumber,GoodsReceiptLineNumber,ReceivedQuantity,AcceptedQuantity,RejectedQuantity,ReceiptAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260818,20260803,20260727,44040,464,365,107,189,324,4,7,5,PGR000001,1,0.8000,0.8000,0.8000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260812,20260620,20260721,32220,382,40,124,110,473,1,1,2,PGR000002,2,1.5000,1.5000,1.5000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260621,20260716,20260708,11940,49,350,432,338,464,8,6,3,PGR000003,3,2.2000,2.2000,2.2000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260705,20260721,20260602,56520,477,306,236,330,124,8,3,1,PGR000004,4,2.9000,2.9000,2.9000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260815,20260621,20260824,61860,388,354,302,301,34,2,4,1,PGR000005,5,3.6000,3.6000,3.6000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260713,20260624,20260702,26280,461,381,50,143,85,2,7,1,PGR000006,6,4.3000,4.3000,4.3000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260717,20260818,20260727,61620,310,171,62,52,334,2,4,3,PGR000007,7,5.0000,5.0000,5.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260824,20260602,20260717,68160,61,143,306,218,279,5,6,1,PGR000008,8,5.7000,5.7000,5.7000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260610,20260710,20260701,19440,106,115,5,302,395,6,6,5,PGR000009,9,6.4000,6.4000,6.4000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260623,20260624,20260605,60900,1,149,469,158,348,6,4,3,PGR000010,10,7.1000,7.1000,7.1000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260801,20260608,20260708,83040,67,224,402,228,338,4,2,1,PGR000011,11,7.8000,7.8000,7.8000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260824,20260611,20260527,2400,267,245,440,278,267,1,4,3,PGR000012,12,8.5000,8.5000,8.5000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260805,20260810,20260607,63240,396,124,220,225,362,2,5,5,PGR000013,13,9.2000,9.2000,9.2000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260723,20260611,20260821,44100,157,51,125,153,107,8,3,4,PGR000014,14,9.9000,9.9000,9.9000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260718,20260722,20260801,36600,308,138,342,37,35,8,1,2,PGR000015,15,10.6000,10.6000,10.6000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260819,20260606,20260604,84240,360,170,143,39,278,1,6,3,PGR000016,16,11.3000,11.3000,11.3000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260608,20260530,20260619,27660,172,492,-1,172,-1,3,6,1,PGR000017,17,12.0000,12.0000,12.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260628,20260824,20260605,27660,454,305,30,48,77,8,4,2,PGR000018,18,12.7000,12.7000,12.7000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260823,20260719,20260529,31560,127,341,401,96,290,6,1,5,PGR000019,19,13.4000,13.4000,13.4000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260628,20260814,20260607,81840,81,54,175,106,364,5,4,1,PGR000020,20,14.1000,14.1000,14.1000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260718,20260719,20260712,5340,331,296,391,122,173,5,4,3,PGR000021,21,14.8000,14.8000,14.8000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260705,20260603,20260724,26040,421,449,398,244,146,2,7,2,PGR000022,22,15.5000,15.5000,15.5000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260614,20260614,20260725,9780,285,77,342,144,116,8,5,2,PGR000023,23,16.2000,16.2000,16.2000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260527,20260816,20260817,3540,78,85,278,268,236,5,1,4,PGR000024,24,16.9000,16.9000,16.9000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260811,20260623,20260617,71820,82,489,468,106,103,2,2,5,PGR000025,25,17.6000,17.6000,17.6000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260812,20260529,20260531,43620,444,490,196,70,208,7,3,1,PGR000026,26,18.3000,18.3000,18.3000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260808,20260811,20260805,22200,73,263,9,112,170,8,4,2,PGR000027,27,19.0000,19.0000,19.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260609,20260703,20260617,83280,265,180,321,169,464,7,1,3,PGR000028,28,19.7000,19.7000,19.7000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260816,20260610,20260612,79800,172,365,50,3,191,3,2,4,PGR000029,29,20.4000,20.4000,20.4000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260816,20260822,20260726,10260,20,442,151,120,424,3,7,1,PGR000030,30,21.1000,21.1000,21.1000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260716,20260723,20260608,82140,272,220,77,122,447,1,7,4,PGR000031,31,21.8000,21.8000,21.8000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260607,20260623,20260824,55200,377,138,454,178,462,2,5,3,PGR000032,32,22.5000,22.5000,22.5000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260623,20260601,20260611,35040,431,396,220,232,105,6,4,1,PGR000033,33,23.2000,23.2000,23.2000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260723,20260623,20260713,10440,58,400,-1,259,-1,7,4,2,PGR000034,34,23.9000,23.9000,23.9000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260626,20260630,20260707,16620,54,18,253,151,104,5,1,4,PGR000035,35,24.6000,24.6000,24.6000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260610,20260810,20260701,46020,27,490,40,41,145,3,6,1,PGR000036,36,25.3000,25.3000,25.3000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260820,20260807,20260807,16620,496,202,25,237,63,7,3,3,PGR000037,37,26.0000,26.0000,26.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260805,20260607,20260612,41160,52,58,96,47,27,8,6,1,PGR000038,38,26.7000,26.7000,26.7000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260613,20260607,20260807,68580,489,15,40,133,107,7,6,1,PGR000039,39,27.4000,27.4000,27.4000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260529,20260810,20260706,40860,179,140,238,98,111,5,2,4,PGR000040,40,28.1000,28.1000,28.1000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260530,20260803,20260626,28620,66,381,209,284,299,6,1,5,PGR000041,41,28.8000,28.8000,28.8000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260720,20260719,20260616,66240,471,446,190,207,57,3,2,1,PGR000042,42,29.5000,29.5000,29.5000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260623,20260814,20260701,31860,335,317,426,32,270,5,6,1,PGR000043,43,30.2000,30.2000,30.2000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260628,20260622,20260817,52860,167,288,197,322,401,6,2,2,PGR000044,44,30.9000,30.9000,30.9000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260721,20260708,20260710,19140,57,333,391,101,321,4,2,1,PGR000045,45,31.6000,31.6000,31.6000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260603,20260823,20260706,13200,25,308,211,159,359,8,5,4,PGR000046,46,32.3000,32.3000,32.3000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260628,20260624,20260707,12600,106,487,499,323,264,6,7,3,PGR000047,47,33.0000,33.0000,33.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260530,20260623,20260710,25800,23,256,384,222,269,5,3,2,PGR000048,48,33.7000,33.7000,33.7000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260602,20260726,20260721,44340,475,188,123,44,270,7,7,5,PGR000049,49,34.4000,34.4000,34.4000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260706,20260606,20260728,10080,296,74,182,188,154,5,1,5,PGR000050,50,35.1000,35.1000,35.1000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260706,20260607,20260626,72840,184,299,-1,45,-1,1,7,3,PGR000051,51,35.8000,35.8000,35.8000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260628,20260730,20260724,57240,381,262,237,293,469,2,2,1,PGR000052,52,36.5000,36.5000,36.5000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260729,20260617,20260710,73800,224,81,166,19,62,3,4,4,PGR000053,53,37.2000,37.2000,37.2000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260712,20260801,20260703,42840,387,138,165,257,203,1,1,5,PGR000054,54,37.9000,37.9000,37.9000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260620,20260621,20260614,73500,105,235,337,21,142,1,3,5,PGR000055,55,38.6000,38.6000,38.6000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260805,20260626,20260803,44040,262,435,101,198,326,1,5,5,PGR000056,56,39.3000,39.3000,39.3000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260703,20260821,20260719,23460,82,132,111,266,85,7,3,2,PGR000057,57,40.0000,40.0000,40.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260816,20260823,20260702,21480,107,446,100,211,81,8,7,5,PGR000058,58,40.7000,40.7000,40.7000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260722,20260718,20260813,46860,396,457,153,264,367,8,5,4,PGR000059,59,41.4000,41.4000,41.4000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260813,20260729,20260706,63180,426,105,30,210,363,3,6,5,PGR000060,60,42.1000,42.1000,42.1000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260818,20260611,20260805,72300,351,258,369,324,241,4,4,1,PGR000061,61,42.8000,42.8000,42.8000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260613,20260801,20260803,15660,426,257,243,270,354,7,6,3,PGR000062,62,43.5000,43.5000,43.5000,94.9400,1,1,2026-08-24T00:00:00.000
