FinanceProductCostSnapshotKey,SnapshotDateKey,EffectiveDateKey,ProductKey,PlantKey,FinanceProductCostVersionKey,FinanceCostComponentDetailKey,FinanceCostElementDetailKey,FinanceCostingMethodKey,CurrencyKey,StandardCostAmount,ActualCostAmount,CostVarianceAmount,CostQuantity,SourceSystemKey,BatchId,LoadedAtUtc
1,20260609,20260807,276,292,189,16,12,6,2,11.3700,11.3700,11.3700,11.3700,1,1,2026-08-24T00:00:00.000
2,20260723,20260726,440,209,104,490,76,4,1,12.7400,12.7400,12.7400,12.7400,1,1,2026-08-24T00:00:00.000
3,20260721,20260617,463,51,332,62,321,6,1,14.1100,14.1100,14.1100,14.1100,1,1,2026-08-24T00:00:00.000
4,20260713,20260625,229,344,15,25,293,2,5,15.4800,15.4800,15.4800,15.4800,1,1,2026-08-24T00:00:00.000
5,20260722,20260529,189,18,481,451,144,7,1,16.8500,16.8500,16.8500,16.8500,1,1,2026-08-24T00:00:00.000
6,20260824,20260608,205,89,136,165,422,5,5,18.2200,18.2200,18.2200,18.2200,1,1,2026-08-24T00:00:00.000
7,20260802,20260604,497,240,427,136,395,7,1,19.5900,19.5900,19.5900,19.5900,1,1,2026-08-24T00:00:00.000
8,20260701,20260617,204,2,253,348,453,4,1,20.9600,20.9600,20.9600,20.9600,1,1,2026-08-24T00:00:00.000
9,20260701,20260623,360,312,247,213,226,2,1,22.3300,22.3300,22.3300,22.3300,1,1,2026-08-24T00:00:00.000
10,20260728,20260708,354,343,160,85,275,6,5,23.7000,23.7000,23.7000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260609,20260614,216,130,100,478,21,7,4,25.0700,25.0700,25.0700,25.0700,1,1,2026-08-24T00:00:00.000
12,20260703,20260819,468,18,209,10,435,6,5,26.4400,26.4400,26.4400,26.4400,1,1,2026-08-24T00:00:00.000
13,20260723,20260722,369,304,135,20,462,1,3,27.8100,27.8100,27.8100,27.8100,1,1,2026-08-24T00:00:00.000
14,20260716,20260815,52,133,61,353,283,6,4,29.1800,29.1800,29.1800,29.1800,1,1,2026-08-24T00:00:00.000
15,20260618,20260814,99,29,242,16,63,6,1,30.5500,30.5500,30.5500,30.5500,1,1,2026-08-24T00:00:00.000
16,20260624,20260713,105,13,238,81,94,7,2,31.9200,31.9200,31.9200,31.9200,1,1,2026-08-24T00:00:00.000
17,20260715,20260808,330,198,349,193,261,1,4,33.2900,33.2900,33.2900,33.2900,1,1,2026-08-24T00:00:00.000
18,20260731,20260620,439,8,358,328,341,8,1,34.6600,34.6600,34.6600,34.6600,1,1,2026-08-24T00:00:00.000
19,20260725,20260623,452,107,382,333,187,6,3,36.0300,36.0300,36.0300,36.0300,1,1,2026-08-24T00:00:00.000
20,20260802,20260727,352,40,268,405,8,3,3,37.4000,37.4000,37.4000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260710,20260811,242,143,11,122,445,2,3,38.7700,38.7700,38.7700,38.7700,1,1,2026-08-24T00:00:00.000
22,20260818,20260622,429,49,388,416,435,1,2,40.1400,40.1400,40.1400,40.1400,1,1,2026-08-24T00:00:00.000
23,20260817,20260627,184,236,454,36,244,3,3,41.5100,41.5100,41.5100,41.5100,1,1,2026-08-24T00:00:00.000
24,20260604,20260624,123,280,227,355,422,3,5,42.8800,42.8800,42.8800,42.8800,1,1,2026-08-24T00:00:00.000
25,20260719,20260816,387,165,292,118,156,3,4,44.2500,44.2500,44.2500,44.2500,1,1,2026-08-24T00:00:00.000
26,20260530,20260601,80,328,483,199,31,4,4,45.6200,45.6200,45.6200,45.6200,1,1,2026-08-24T00:00:00.000
27,20260618,20260608,456,174,118,313,278,4,5,46.9900,46.9900,46.9900,46.9900,1,1,2026-08-24T00:00:00.000
28,20260528,20260817,193,251,280,55,237,1,2,48.3600,48.3600,48.3600,48.3600,1,1,2026-08-24T00:00:00.000
29,20260707,20260729,330,128,81,351,414,8,3,49.7300,49.7300,49.7300,49.7300,1,1,2026-08-24T00:00:00.000
30,20260722,20260703,437,244,143,311,90,7,4,51.1000,51.1000,51.1000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260714,20260607,478,301,71,402,27,7,4,52.4700,52.4700,52.4700,52.4700,1,1,2026-08-24T00:00:00.000
32,20260606,20260610,471,204,469,480,148,6,5,53.8400,53.8400,53.8400,53.8400,1,1,2026-08-24T00:00:00.000
33,20260601,20260821,331,43,416,451,345,7,4,55.2100,55.2100,55.2100,55.2100,1,1,2026-08-24T00:00:00.000
34,20260808,20260614,102,83,233,197,292,2,3,56.5800,56.5800,56.5800,56.5800,1,1,2026-08-24T00:00:00.000
35,20260615,20260819,246,219,122,454,216,8,5,57.9500,57.9500,57.9500,57.9500,1,1,2026-08-24T00:00:00.000
36,20260620,20260623,414,84,68,248,295,6,4,59.3200,59.3200,59.3200,59.3200,1,1,2026-08-24T00:00:00.000
