QualityNonConformanceEventKey,EventDateKey,EventTimeOfDayKey,QualityNonConformanceKey,ProductKey,PlantKey,SupplierKey,OwnerEmployeeKey,QualityDefectSeverityKey,QualityResultStatusKey,UnitOfMeasureKey,NonConformanceEventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260530,56580,264,226,91,221,200,1,11,5,QNCE000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260712,63780,256,59,240,496,266,10,1,1,QNCE000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260715,55620,215,25,322,332,74,9,7,7,QNCE000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260727,8160,334,49,74,316,154,9,1,2,QNCE000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260603,23940,140,122,252,125,116,2,4,6,QNCE000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260823,12000,190,377,273,149,129,12,3,1,QNCE000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260727,63060,255,375,208,473,236,12,2,3,QNCE000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260710,13560,370,307,278,457,322,5,12,3,QNCE000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260722,77220,397,165,141,185,15,7,2,5,QNCE000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260531,79980,119,301,89,113,442,6,2,4,QNCE000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260728,20940,174,321,331,417,434,9,8,3,QNCE000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260809,71940,320,30,106,218,498,4,9,5,QNCE000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260725,65220,241,387,269,379,479,8,2,7,QNCE000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260614,24540,486,149,26,185,290,3,3,1,QNCE000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260725,51120,134,344,131,214,377,3,4,2,QNCE000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260726,27540,359,434,199,28,490,6,12,6,QNCE000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260725,30360,199,-1,120,-1,-1,6,6,5,QNCE000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260803,43620,315,164,165,103,61,4,7,7,QNCE000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260629,6000,395,428,101,456,359,9,5,2,QNCE000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260625,84840,148,218,63,198,15,2,8,1,QNCE000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260628,6240,73,78,312,90,130,10,5,1,QNCE000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
