QualitySpcSampleKey,SampleDateKey,SampleTimeOfDayKey,QualityInspectionCharacteristicKey,ProductKey,WorkCenterKey,PlantKey,QualityResultStatusKey,UnitOfMeasureKey,ControlChartNumber,SubgroupNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260606,25020,214,421,278,15,11,6,QSS000001,1,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260803,41880,293,329,164,96,12,2,QSS000002,2,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260531,26880,84,81,45,111,9,7,QSS000003,3,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260629,35280,487,309,335,205,9,4,QSS000004,4,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260822,18900,233,281,266,328,11,2,QSS000005,5,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260701,19440,118,325,2,276,7,1,QSS000006,6,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260805,53940,387,226,47,235,11,1,QSS000007,7,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260816,82860,212,381,194,332,9,3,QSS000008,8,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260626,54720,172,91,386,175,5,2,QSS000009,9,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260719,14940,381,77,350,77,7,7,QSS000010,10,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260815,70440,131,237,456,173,8,7,QSS000011,11,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260728,68820,211,343,209,84,3,3,QSS000012,12,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260601,44760,279,209,310,205,11,6,QSS000013,13,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260630,43800,310,241,103,162,10,3,QSS000014,14,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260618,51900,241,355,181,224,12,7,QSS000015,15,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260616,75420,136,71,123,13,3,7,QSS000016,16,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260617,30960,184,463,65,230,12,7,QSS000017,17,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260616,40560,471,160,192,202,5,3,QSS000018,18,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260626,27540,183,462,385,139,5,3,QSS000019,19,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260810,23520,366,435,19,73,9,6,QSS000020,20,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260710,13020,332,14,188,14,2,4,QSS000021,21,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260620,18180,373,452,446,103,10,5,QSS000022,22,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260702,46200,453,342,254,289,2,6,QSS000023,23,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260624,48480,411,78,114,19,12,4,QSS000024,24,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260728,62220,397,425,3,106,6,6,QSS000025,25,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260711,75060,147,54,166,201,2,3,QSS000026,26,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260608,70260,27,14,252,119,7,6,QSS000027,27,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260701,48660,328,329,238,247,12,3,QSS000028,28,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260621,25680,205,412,456,322,4,5,QSS000029,29,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260528,16800,43,284,334,135,8,2,QSS000030,30,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260605,55740,68,271,86,219,5,7,QSS000031,31,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260817,63060,387,234,110,94,10,7,QSS000032,32,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260821,3660,14,404,431,249,12,1,QSS000033,33,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260626,85440,265,413,467,148,8,1,QSS000034,34,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260803,2160,206,52,6,304,4,7,QSS000035,35,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260604,27900,29,400,341,57,4,2,QSS000036,36,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260606,78480,305,362,178,160,1,7,QSS000037,37,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260720,36900,155,416,26,98,1,2,QSS000038,38,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260713,6780,354,69,130,87,11,7,QSS000039,39,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260728,17040,324,431,155,171,4,3,QSS000040,40,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260706,64140,459,418,168,212,4,5,QSS000041,41,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260627,61440,81,351,392,320,11,3,QSS000042,42,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260730,57540,354,493,100,82,5,4,QSS000043,43,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260531,82200,25,31,332,210,1,6,QSS000044,44,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
