EngineeringDocumentRevisionEventKey,EventDateKey,EventTimeOfDayKey,EngineeringCadDocumentKey,EngineeringPartRevisionKey,DesignerEmployeeKey,EngineeringDocumentTypeKey,EngineeringLifecycleStatusKey,DocumentRevisionCode,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260707,30060,160,425,462,1,2,EDRE000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260608,41760,44,353,81,1,10,EDRE000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260804,2700,419,368,195,5,9,EDRE000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260704,47880,80,420,119,10,4,EDRE000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260809,49080,209,109,412,6,10,EDRE000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260821,48060,287,35,72,1,9,EDRE000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260720,78960,280,26,353,2,9,EDRE000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260704,2460,32,395,62,2,7,EDRE000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260613,67680,308,178,241,8,10,EDRE000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260531,64800,217,321,221,4,5,EDRE000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260706,17340,266,316,5,8,9,EDRE000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260815,15000,333,317,59,1,3,EDRE000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260601,66180,122,173,271,9,3,EDRE000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260721,58020,322,133,145,10,5,EDRE000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260610,12900,121,277,371,2,8,EDRE000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260617,47160,487,467,102,1,2,EDRE000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260802,21120,408,-1,-1,6,2,EDRE000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260531,39960,70,111,167,8,7,EDRE000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260608,47340,500,262,287,7,9,EDRE000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260612,71280,393,343,227,1,10,EDRE000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260812,52020,34,149,93,5,1,EDRE000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260628,37020,145,195,415,9,2,EDRE000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260601,69720,108,100,38,3,6,EDRE000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260722,2460,71,375,195,3,5,EDRE000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260610,42720,441,255,488,4,10,EDRE000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260713,15000,240,205,385,10,5,EDRE000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260624,56400,383,24,159,4,3,EDRE000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260711,43860,355,312,206,5,5,EDRE000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260715,8520,248,113,159,3,1,EDRE000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260723,3780,465,197,481,5,10,EDRE000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260806,9060,356,196,44,10,10,EDRE000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260701,22380,236,210,438,9,3,EDRE000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
