EngineeringSpecificationCoverageKey,SnapshotDateKey,ProductKey,EngineeringDisciplineKey,EngineeringMaterialSpecificationKey,EngineeringLifecycleStatusKey,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260804,127,22,129,5,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260612,485,31,477,9,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260623,25,10,236,7,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260812,432,7,419,6,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260616,215,7,346,2,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260710,40,35,338,7,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260807,372,19,396,6,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260815,45,7,17,4,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260616,419,18,454,3,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260615,414,26,424,6,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260527,194,9,468,5,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260717,373,34,357,3,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260601,275,17,276,10,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260607,176,31,284,6,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260819,420,7,157,1,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260718,464,30,232,6,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260702,353,35,464,5,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260531,490,30,69,5,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260815,295,28,236,9,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260613,335,2,45,9,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260605,374,29,400,9,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260530,23,3,496,2,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260821,240,20,53,3,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260702,291,6,26,7,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260604,83,31,24,10,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
