MaintenanceLaborConfirmationKey,ConfirmationDateKey,ConfirmationTimeOfDayKey,MaintenanceWorkOrderKey,AssetKey,TechnicianEmployeeKey,MaintenanceCrewKey,CostCenterKey,MaintenanceWorkTypeKey,LaborConfirmationNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260607,58740,200,492,189,150,488,6,MLC000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260823,53520,232,358,414,332,105,4,MLC000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260626,23820,142,443,499,110,235,8,MLC000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260819,11100,331,313,338,409,247,9,MLC000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260530,10560,316,436,385,284,93,9,MLC000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260728,9480,483,172,388,32,362,8,MLC000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260728,58680,289,94,458,259,441,1,MLC000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260702,76800,121,268,202,232,5,7,MLC000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260719,18600,84,261,226,153,328,5,MLC000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260803,23160,67,95,284,365,146,8,MLC000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260715,22320,379,375,154,308,476,8,MLC000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260810,12000,177,185,75,187,91,9,MLC000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260823,23160,114,217,183,371,250,1,MLC000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260609,82920,127,211,100,164,73,11,MLC000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260818,23100,284,56,471,362,489,5,MLC000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260711,56160,310,351,392,416,365,12,MLC000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260814,9840,296,477,166,-1,61,2,MLC000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260602,54360,284,33,177,30,258,9,MLC000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260806,12660,90,155,438,85,115,5,MLC000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260725,65880,447,94,187,84,300,6,MLC000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260613,38460,182,28,171,340,85,11,MLC000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260718,72060,122,385,293,80,159,9,MLC000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260816,180,109,353,486,295,472,2,MLC000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260801,50100,356,234,456,44,90,2,MLC000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260624,53820,450,452,387,28,403,4,MLC000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260629,10620,287,242,10,368,265,1,MLC000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260807,39540,55,444,226,261,498,8,MLC000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260719,72780,27,113,474,223,468,4,MLC000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260628,43680,495,495,375,443,195,7,MLC000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260803,11160,364,162,405,433,176,10,MLC000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260702,26460,87,27,423,138,412,3,MLC000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260820,12000,154,178,302,265,365,12,MLC000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260706,84000,219,275,304,225,20,12,MLC000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260721,15600,238,387,372,-1,119,10,MLC000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260606,22380,456,214,216,376,314,11,MLC000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260708,25380,109,214,465,322,152,6,MLC000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260802,53100,412,61,276,53,327,1,MLC000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260811,73500,308,41,372,100,346,11,MLC000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260712,12600,462,4,329,414,450,1,MLC000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260824,86220,176,77,269,225,42,6,MLC000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260821,57780,479,375,311,291,1,6,MLC000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260706,84600,156,249,440,123,257,12,MLC000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260813,58920,3,360,245,137,5,8,MLC000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260807,79800,212,102,225,289,310,12,MLC000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260531,84840,499,124,75,222,433,9,MLC000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260628,17220,434,329,170,67,103,5,MLC000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260619,12720,480,254,144,56,225,2,MLC000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260717,1680,336,27,60,122,182,5,MLC000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260803,78480,479,330,162,75,325,5,MLC000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260625,76560,355,451,262,210,94,2,MLC000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260530,60720,320,21,158,-1,321,6,MLC000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260817,28320,361,418,319,175,347,6,MLC000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260731,27000,386,213,493,453,72,8,MLC000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260805,61740,478,386,123,177,274,7,MLC000054,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260531,80100,406,37,460,355,37,4,MLC000055,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260703,13260,97,152,117,193,332,7,MLC000056,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260618,20400,399,289,415,5,355,3,MLC000057,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260708,39300,374,360,148,265,223,5,MLC000058,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260530,11940,211,388,147,245,174,7,MLC000059,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260704,65400,52,287,398,363,221,6,MLC000060,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260622,72480,73,314,223,483,43,4,MLC000061,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260711,40500,428,401,328,155,93,4,MLC000062,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260714,74460,174,423,426,40,398,8,MLC000063,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260801,82740,31,401,67,268,64,12,MLC000064,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
