EnergyDemandPeakKey,PeakDateKey,PeakTimeOfDayKey,EnergyMeterPointKey,EnergyDemandContractKey,PlantKey,UnitOfMeasureKey,DemandPeakEventNumber,PeakDemandQuantity,ContractExcessQuantity,PenaltyCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260621,1620,76,37,246,1,EDP000001,0.800000,0.800000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260816,46140,492,72,222,7,EDP000002,1.500000,1.500000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260605,12840,483,432,315,7,EDP000003,2.200000,2.200000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260819,79260,90,251,329,1,EDP000004,2.900000,2.900000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260607,3660,401,219,64,2,EDP000005,3.600000,3.600000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260821,65580,420,446,232,5,EDP000006,4.300000,4.300000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260718,13380,100,242,204,3,EDP000007,5.000000,5.000000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260704,69420,477,395,43,1,EDP000008,5.700000,5.700000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260529,10380,412,271,25,2,EDP000009,6.400000,6.400000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260614,85800,12,62,154,4,EDP000010,7.100000,7.100000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260713,30540,301,123,120,2,EDP000011,7.800000,7.800000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260717,27960,466,497,119,7,EDP000012,8.500000,8.500000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260628,13260,14,261,208,6,EDP000013,9.200000,9.200000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260628,80040,223,303,66,2,EDP000014,9.900000,9.900000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260803,6120,431,164,232,1,EDP000015,10.600000,10.600000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260725,35760,216,138,78,5,EDP000016,11.300000,11.300000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260808,720,285,-1,300,6,EDP000017,12.000000,12.000000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260807,83760,57,395,77,1,EDP000018,12.700000,12.700000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260613,39660,294,329,313,7,EDP000019,13.400000,13.400000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260707,2580,378,191,14,1,EDP000020,14.100000,14.100000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260608,53100,410,185,52,4,EDP000021,14.800000,14.800000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260627,9300,249,254,15,7,EDP000022,15.500000,15.500000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260808,64620,368,98,26,1,EDP000023,16.200000,16.200000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260710,360,387,397,172,4,EDP000024,16.900000,16.900000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260606,3660,336,201,151,1,EDP000025,17.600000,17.600000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260821,23460,297,257,98,2,EDP000026,18.300000,18.300000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260723,1800,340,222,285,4,EDP000027,19.000000,19.000000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260625,39300,142,373,277,4,EDP000028,19.700000,19.700000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260720,72240,376,373,168,5,EDP000029,20.400000,20.400000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260703,37740,280,95,177,5,EDP000030,21.100000,21.100000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260730,5520,269,364,250,1,EDP000031,21.800000,21.800000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260628,3540,487,1,56,5,EDP000032,22.500000,22.500000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260707,52320,459,414,248,6,EDP000033,23.200000,23.200000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260529,3840,397,-1,166,7,EDP000034,23.900000,23.900000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260705,15600,465,144,89,3,EDP000035,24.600000,24.600000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260601,41040,53,214,337,6,EDP000036,25.300000,25.300000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260619,29100,483,413,314,5,EDP000037,26.000000,26.000000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260616,29700,464,492,63,4,EDP000038,26.700000,26.700000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260723,4440,76,487,254,4,EDP000039,27.400000,27.400000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260709,60660,389,295,244,4,EDP000040,28.100000,28.100000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260813,14760,21,143,115,5,EDP000041,28.800000,28.800000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260722,17400,440,60,214,5,EDP000042,29.500000,29.500000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260724,15300,16,456,105,5,EDP000043,30.200000,30.200000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260704,48960,339,288,52,5,EDP000044,30.900000,30.900000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260726,7740,457,318,81,7,EDP000045,31.600000,31.600000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260818,31380,115,253,264,6,EDP000046,32.300000,32.300000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260613,74820,300,135,347,7,EDP000047,33.000000,33.000000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260612,51420,290,173,95,7,EDP000048,33.700000,33.700000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260623,59220,326,121,217,5,EDP000049,34.400000,34.400000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260611,35100,357,417,127,5,EDP000050,35.100000,35.100000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260625,11820,210,-1,152,5,EDP000051,35.800000,35.800000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260802,6120,496,320,9,6,EDP000052,36.500000,36.500000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260620,8880,272,494,229,6,EDP000053,37.200000,37.200000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260716,71880,82,408,306,6,EDP000054,37.900000,37.900000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260809,45900,180,159,302,7,EDP000055,38.600000,38.600000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260722,71460,441,308,99,2,EDP000056,39.300000,39.300000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260812,80100,168,133,258,3,EDP000057,40.000000,40.000000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260527,7380,57,112,180,7,EDP000058,40.700000,40.700000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260706,74460,187,30,269,6,EDP000059,41.400000,41.400000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260725,39000,312,74,76,3,EDP000060,42.100000,42.100000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260802,67560,331,49,296,7,EDP000061,42.800000,42.800000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260730,49620,225,121,294,4,EDP000062,43.500000,43.500000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260716,77940,78,157,289,2,EDP000063,44.200000,44.200000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260810,73560,437,408,175,3,EDP000064,44.900000,44.900000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260729,43200,84,103,54,4,EDP000065,45.600000,45.600000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260720,9300,63,354,192,6,EDP000066,46.300000,46.300000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260528,49860,129,269,257,7,EDP000067,47.000000,47.000000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260603,31140,80,-1,54,6,EDP000068,47.700000,47.700000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260628,66060,407,279,84,4,EDP000069,48.400000,48.400000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260815,67380,295,329,119,4,EDP000070,49.100000,49.100000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260824,31500,29,27,95,4,EDP000071,49.800000,49.800000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260814,39960,42,197,194,3,EDP000072,50.500000,50.500000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260626,58680,300,407,131,2,EDP000073,51.200000,51.200000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260813,24660,284,254,308,6,EDP000074,51.900000,51.900000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260630,1920,100,9,65,7,EDP000075,52.600000,52.600000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260821,78480,331,85,145,4,EDP000076,53.300000,53.300000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260814,36420,460,471,350,4,EDP000077,54.000000,54.000000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260801,28980,126,473,101,6,EDP000078,54.700000,54.700000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260614,49740,37,421,13,3,EDP000079,55.400000,55.400000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260712,21060,496,24,47,7,EDP000080,56.100000,56.100000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260715,69540,326,296,186,3,EDP000081,56.800000,56.800000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260710,4320,209,89,169,2,EDP000082,57.500000,57.500000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260609,7020,325,166,125,3,EDP000083,58.200000,58.200000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260803,24300,386,263,56,6,EDP000084,58.900000,58.900000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260802,59880,464,-1,115,1,EDP000085,59.600000,59.600000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260704,83280,130,464,255,7,EDP000086,60.300000,60.300000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260619,57120,304,76,63,4,EDP000087,61.000000,61.000000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260612,63360,116,342,301,1,EDP000088,61.700000,61.700000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260816,73200,185,122,28,2,EDP000089,62.400000,62.400000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260615,50460,386,420,98,7,EDP000090,63.100000,63.100000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260805,35220,459,18,306,2,EDP000091,63.800000,63.800000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260628,22080,247,176,269,3,EDP000092,64.500000,64.500000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260718,54420,92,140,345,7,EDP000093,65.200000,65.200000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260714,54960,191,351,230,2,EDP000094,65.900000,65.900000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260803,66900,222,156,154,6,EDP000095,66.600000,66.600000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260720,20160,90,187,89,6,EDP000096,67.300000,67.300000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260714,51240,364,201,138,6,EDP000097,68.000000,68.000000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260724,66180,491,362,10,6,EDP000098,68.700000,68.700000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260805,34140,392,159,103,4,EDP000099,69.400000,69.400000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260606,84300,152,361,295,7,EDP000100,70.100000,70.100000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260704,36060,267,109,343,6,EDP000101,70.800000,70.800000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260602,52560,162,-1,192,1,EDP000102,71.500000,71.500000,149.7400,1,1,2026-08-24T00:00:00.000
