SafetyWasteShipmentKey,ShipmentDateKey,DisposalDateKey,PlantKey,HaulerSupplierKey,DisposalFacilitySupplierKey,SafetyWasteStreamKey,SafetyWasteDispositionMethodKey,UnitOfMeasureKey,WasteManifestNumber,WasteShipmentLineNumber,WasteQuantity,DisposalCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260530,20260617,187,161,311,209,7,1,SWS000001,1,0.8000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260821,20260725,271,316,94,177,14,6,SWS000002,2,1.5000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260610,20260601,10,129,146,360,15,2,SWS000003,3,2.2000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260622,20260801,149,292,435,187,16,4,SWS000004,4,2.9000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260721,20260527,251,310,124,240,11,3,SWS000005,5,3.6000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260620,20260804,67,8,21,490,11,6,SWS000006,6,4.3000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260802,20260709,346,376,202,136,2,2,SWS000007,7,5.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260702,20260706,225,178,325,267,6,1,SWS000008,8,5.7000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260604,20260618,276,103,101,69,12,7,SWS000009,9,6.4000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260803,20260804,174,79,400,401,13,5,SWS000010,10,7.1000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260619,20260727,305,318,376,308,14,2,SWS000011,11,7.8000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260615,20260713,325,45,253,350,8,1,SWS000012,12,8.5000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260527,20260624,2,292,431,295,5,4,SWS000013,13,9.2000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260805,20260613,227,115,166,172,4,2,SWS000014,14,9.9000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260706,20260726,78,153,422,279,7,3,SWS000015,15,10.6000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260731,20260811,204,69,436,331,10,6,SWS000016,16,11.3000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260716,20260718,290,-1,-1,194,10,5,SWS000017,17,12.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260714,20260818,256,186,375,324,10,6,SWS000018,18,12.7000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260821,20260606,328,339,491,176,7,6,SWS000019,19,13.4000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260606,20260711,105,64,384,215,3,7,SWS000020,20,14.1000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260607,20260630,339,126,89,62,7,3,SWS000021,21,14.8000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260611,20260813,339,145,211,204,13,2,SWS000022,22,15.5000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260724,20260817,69,251,484,190,10,3,SWS000023,23,16.2000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260701,20260712,314,109,206,377,5,1,SWS000024,24,16.9000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260729,20260613,71,37,415,406,8,6,SWS000025,25,17.6000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260709,20260810,85,109,381,281,16,6,SWS000026,26,18.3000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260601,20260706,108,217,278,398,8,5,SWS000027,27,19.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260601,20260622,318,246,114,486,14,4,SWS000028,28,19.7000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260719,20260728,300,27,241,463,14,7,SWS000029,29,20.4000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260706,20260616,267,248,12,264,1,2,SWS000030,30,21.1000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260612,20260703,286,245,154,247,2,1,SWS000031,31,21.8000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260630,20260704,195,62,16,186,2,6,SWS000032,32,22.5000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260718,20260820,233,221,188,416,11,4,SWS000033,33,23.2000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260610,20260617,198,-1,-1,238,8,7,SWS000034,34,23.9000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260803,20260728,312,117,356,253,12,1,SWS000035,35,24.6000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260704,20260710,269,416,329,171,13,3,SWS000036,36,25.3000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260625,20260624,50,266,293,304,1,3,SWS000037,37,26.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260607,20260530,289,368,86,303,12,7,SWS000038,38,26.7000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260702,20260714,308,1,370,152,11,2,SWS000039,39,27.4000,63.4300,1,1,2026-08-24T00:00:00.000
