QualityGaugeCalibrationKey,CalibrationDateKey,DueDateKey,QualityGaugeKey,AssetKey,TechnicianEmployeeKey,QualityLabCellKey,QualityCalibrationStatusKey,UnitOfMeasureKey,CalibrationCertificateNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260703,20260718,93,133,32,467,4,4,QGC000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260605,20260728,355,209,438,415,1,3,QGC000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260817,20260711,392,345,375,147,6,3,QGC000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260615,20260616,155,455,456,201,10,3,QGC000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260624,20260610,112,12,287,119,2,2,QGC000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260820,20260807,133,101,151,69,7,3,QGC000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260819,20260606,155,230,193,463,11,6,QGC000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260824,20260619,21,111,136,269,8,5,QGC000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260625,20260603,50,122,269,131,11,4,QGC000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260611,20260527,26,49,333,311,9,7,QGC000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260604,20260822,358,460,62,343,12,7,QGC000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260609,20260701,168,151,257,302,6,2,QGC000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260811,20260716,438,276,176,115,1,6,QGC000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260603,20260807,76,237,34,393,7,4,QGC000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260820,20260711,35,500,240,303,10,1,QGC000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260715,20260801,17,187,77,217,11,3,QGC000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260727,20260816,374,-1,-1,271,2,7,QGC000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260626,20260824,57,78,229,488,8,2,QGC000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260628,20260606,95,489,484,77,7,2,QGC000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260714,20260704,191,252,22,88,1,3,QGC000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260816,20260529,486,195,103,176,11,5,QGC000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260622,20260527,22,278,18,490,11,6,QGC000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260601,20260623,347,277,273,437,7,5,QGC000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
