InventoryCycleCountKey,CountDateKey,ApprovalDateKey,PostingDateKey,CountTimeOfDayKey,ProductKey,PlantKey,InventoryBinKey,CounterEmployeeKey,ApproverEmployeeKey,InventoryCountStatusKey,UnitOfMeasureKey,CountSheetNumber,CountSheetLineNumber,SystemQuantity,CountedQuantity,VarianceQuantity,VarianceValueAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260602,20260601,20260613,79680,171,148,413,365,434,7,4,ICC000001,2,0.8000,0.8000,0.8000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260807,20260805,20260730,41400,483,243,459,7,402,7,6,ICC000002,3,1.5000,1.5000,1.5000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260622,20260822,20260527,4200,415,91,459,223,422,7,5,ICC000003,4,2.2000,2.2000,2.2000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260730,20260618,20260819,82320,394,85,339,47,376,6,7,ICC000004,5,2.9000,2.9000,2.9000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260716,20260614,20260822,43200,192,275,471,91,151,1,6,ICC000005,6,3.6000,3.6000,3.6000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260530,20260701,20260624,64680,464,16,129,110,320,4,4,ICC000006,7,4.3000,4.3000,4.3000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260710,20260527,20260815,12900,240,148,221,498,122,1,5,ICC000007,8,5.0000,5.0000,5.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260821,20260704,20260605,31560,353,253,363,481,371,4,5,ICC000008,9,5.7000,5.7000,5.7000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260609,20260611,20260813,49680,114,324,140,461,13,1,4,ICC000009,10,6.4000,6.4000,6.4000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260606,20260814,20260603,85920,238,173,398,45,282,7,1,ICC000010,11,7.1000,7.1000,7.1000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260625,20260531,20260807,15780,382,197,219,82,216,6,1,ICC000011,12,7.8000,7.8000,7.8000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260730,20260623,20260616,85980,246,215,125,12,64,2,7,ICC000012,13,8.5000,8.5000,8.5000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260716,20260716,20260812,76440,68,194,381,453,475,4,4,ICC000013,14,9.2000,9.2000,9.2000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260816,20260704,20260716,57360,123,176,471,176,345,1,7,ICC000014,15,9.9000,9.9000,9.9000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260614,20260821,20260805,7380,326,5,141,344,384,2,5,ICC000015,16,10.6000,10.6000,10.6000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260528,20260711,20260812,45720,11,238,485,331,236,5,3,ICC000016,17,11.3000,11.3000,11.3000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260728,20260528,20260718,61260,97,97,457,-1,-1,1,4,ICC000017,18,12.0000,12.0000,12.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260715,20260625,20260813,37080,80,64,181,11,144,2,2,ICC000018,19,12.7000,12.7000,12.7000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260618,20260613,20260803,37500,360,30,7,31,490,6,2,ICC000019,20,13.4000,13.4000,13.4000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260704,20260622,20260625,77220,391,140,324,28,333,6,7,ICC000020,21,14.1000,14.1000,14.1000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260630,20260815,20260722,5100,68,14,348,229,85,2,5,ICC000021,22,14.8000,14.8000,14.8000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260608,20260824,20260715,59580,120,160,331,104,132,4,2,ICC000022,23,15.5000,15.5000,15.5000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260602,20260810,20260704,1800,371,323,455,349,210,2,5,ICC000023,24,16.2000,16.2000,16.2000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260622,20260621,20260807,40260,45,319,201,171,248,4,5,ICC000024,25,16.9000,16.9000,16.9000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260618,20260608,20260605,37500,394,146,207,481,337,2,4,ICC000025,26,17.6000,17.6000,17.6000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260704,20260709,20260612,3420,454,13,212,47,129,4,2,ICC000026,27,18.3000,18.3000,18.3000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260629,20260802,20260726,17580,225,232,490,89,409,7,4,ICC000027,28,19.0000,19.0000,19.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260528,20260819,20260726,39240,152,346,227,141,88,5,3,ICC000028,29,19.7000,19.7000,19.7000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260609,20260730,20260818,41520,393,258,144,230,426,2,6,ICC000029,30,20.4000,20.4000,20.4000,49.7300,1,1,2026-08-24T00:00:00.000
