SalesCreditExposureSnapshotKey,SnapshotDateKey,CustomerKey,BusinessUnitKey,SalesCustomerCreditProfileKey,SalesCreditStatusKey,CurrencyKey,CreditLimitAmount,OpenOrderAmount,ReceivableAmount,AvailableCreditAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260821,246,190,20,8,5,11.3700,11.3700,11.3700,11.3700,1,1,2026-08-24T00:00:00.000
2,20260823,96,55,1,5,4,12.7400,12.7400,12.7400,12.7400,1,1,2026-08-24T00:00:00.000
3,20260820,325,40,235,3,2,14.1100,14.1100,14.1100,14.1100,1,1,2026-08-24T00:00:00.000
4,20260626,16,297,380,1,1,15.4800,15.4800,15.4800,15.4800,1,1,2026-08-24T00:00:00.000
5,20260814,74,47,34,2,5,16.8500,16.8500,16.8500,16.8500,1,1,2026-08-24T00:00:00.000
6,20260620,175,183,459,3,4,18.2200,18.2200,18.2200,18.2200,1,1,2026-08-24T00:00:00.000
7,20260804,176,415,318,8,4,19.5900,19.5900,19.5900,19.5900,1,1,2026-08-24T00:00:00.000
8,20260630,373,105,174,2,4,20.9600,20.9600,20.9600,20.9600,1,1,2026-08-24T00:00:00.000
9,20260602,276,127,493,1,4,22.3300,22.3300,22.3300,22.3300,1,1,2026-08-24T00:00:00.000
10,20260609,161,69,425,1,2,23.7000,23.7000,23.7000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260531,17,189,236,7,2,25.0700,25.0700,25.0700,25.0700,1,1,2026-08-24T00:00:00.000
12,20260603,158,205,178,6,3,26.4400,26.4400,26.4400,26.4400,1,1,2026-08-24T00:00:00.000
13,20260723,44,374,331,8,5,27.8100,27.8100,27.8100,27.8100,1,1,2026-08-24T00:00:00.000
14,20260819,283,117,165,5,3,29.1800,29.1800,29.1800,29.1800,1,1,2026-08-24T00:00:00.000
15,20260629,29,112,12,6,3,30.5500,30.5500,30.5500,30.5500,1,1,2026-08-24T00:00:00.000
16,20260801,196,424,193,3,3,31.9200,31.9200,31.9200,31.9200,1,1,2026-08-24T00:00:00.000
17,20260727,299,-1,101,5,3,33.2900,33.2900,33.2900,33.2900,1,1,2026-08-24T00:00:00.000
18,20260727,51,381,10,3,3,34.6600,34.6600,34.6600,34.6600,1,1,2026-08-24T00:00:00.000
19,20260711,66,497,342,3,2,36.0300,36.0300,36.0300,36.0300,1,1,2026-08-24T00:00:00.000
20,20260626,297,214,176,6,2,37.4000,37.4000,37.4000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260609,120,233,378,4,2,38.7700,38.7700,38.7700,38.7700,1,1,2026-08-24T00:00:00.000
22,20260612,41,447,230,5,2,40.1400,40.1400,40.1400,40.1400,1,1,2026-08-24T00:00:00.000
23,20260720,37,472,13,7,2,41.5100,41.5100,41.5100,41.5100,1,1,2026-08-24T00:00:00.000
24,20260813,483,245,354,5,1,42.8800,42.8800,42.8800,42.8800,1,1,2026-08-24T00:00:00.000
25,20260609,270,206,42,7,3,44.2500,44.2500,44.2500,44.2500,1,1,2026-08-24T00:00:00.000
26,20260824,55,29,61,5,3,45.6200,45.6200,45.6200,45.6200,1,1,2026-08-24T00:00:00.000
27,20260801,497,439,308,7,4,46.9900,46.9900,46.9900,46.9900,1,1,2026-08-24T00:00:00.000
