ProductionOperationConfirmationKey,ConfirmationDateKey,ConfirmationTimeOfDayKey,ProductionOperationKey,ProductionWorkOrderKey,ProductKey,WorkCenterKey,OperatorEmployeeKey,ProductionShiftKey,UnitOfMeasureKey,ProductionOrderStatusKey,ConfirmationNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260616,36180,19,281,32,468,72,391,6,9,POC000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260723,15720,258,286,94,447,472,369,2,5,POC000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260809,77820,58,52,467,165,424,314,3,12,POC000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260528,62280,92,239,195,181,292,220,4,11,POC000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260619,65880,204,325,181,341,50,358,6,5,POC000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260727,33900,175,256,76,434,227,167,4,12,POC000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260621,84360,78,16,207,465,320,396,7,12,POC000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260806,50220,171,169,449,216,190,145,6,8,POC000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260713,40620,382,190,162,253,29,135,7,7,POC000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260809,5460,298,406,140,272,266,252,2,6,POC000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260710,24660,62,127,143,276,487,174,3,8,POC000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260717,2760,78,52,474,342,481,347,7,10,POC000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260604,27240,42,269,221,443,441,266,5,10,POC000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260813,57000,451,424,404,245,339,311,1,8,POC000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260622,52260,421,83,234,321,344,415,3,2,POC000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260618,36720,27,299,74,376,432,271,7,8,POC000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260823,55140,375,447,376,410,-1,102,3,2,POC000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260704,86220,422,92,332,304,246,37,6,9,POC000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260731,42480,102,11,418,81,488,141,3,8,POC000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260703,73440,495,324,357,424,319,471,1,1,POC000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260716,11280,329,396,196,281,466,215,2,10,POC000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260528,24240,396,276,17,30,157,252,2,2,POC000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260624,57960,25,259,488,66,50,493,6,12,POC000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260718,22140,152,36,181,62,308,101,5,6,POC000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260621,33180,196,347,329,420,239,111,1,7,POC000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260725,46440,221,173,312,33,172,147,4,10,POC000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260608,19860,174,36,212,119,32,171,5,7,POC000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260719,36540,311,241,433,51,259,426,3,9,POC000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260810,40500,112,393,5,297,157,105,5,4,POC000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260720,63000,89,420,317,246,324,111,2,10,POC000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260615,78300,148,341,157,224,323,392,7,3,POC000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260701,61200,355,20,274,90,115,499,5,4,POC000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260808,86280,240,480,164,139,492,100,4,8,POC000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
