ProductionShiftOutputSnapshotKey,SnapshotDateKey,ProductionShiftKey,ProductionCrewKey,WorkCenterKey,ProductKey,PlantKey,UnitOfMeasureKey,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260530,177,89,140,9,257,4,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260609,233,24,39,208,202,7,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260614,98,331,209,158,185,3,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260624,325,213,180,348,190,4,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260613,171,442,231,353,112,6,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260814,340,133,165,406,241,4,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260811,101,357,250,488,212,5,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260801,336,255,394,448,29,5,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260614,259,426,210,53,338,2,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260819,310,335,276,453,223,6,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260710,393,417,215,35,157,7,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260820,218,489,114,326,245,2,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260805,145,176,25,350,36,4,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260806,74,8,328,342,219,5,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260705,342,120,466,61,19,2,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260805,271,145,354,282,256,5,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260614,290,330,447,431,29,3,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260808,327,430,116,487,95,4,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260703,44,14,478,372,140,4,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260622,474,175,119,279,66,7,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260729,60,124,52,397,134,7,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260720,66,369,445,282,145,5,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260729,204,168,286,403,34,2,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260809,364,129,256,82,263,3,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
