SafetyHazardConditionKey,SafetyHazardConditionCode,SafetyHazardTypeKey,SafetyHazardConditionName,DefaultRiskScore,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0.00,-1,0,1900-01-01T00:00:00.000
1,SHC000001,257,Forge SafetyHazardCondition 1,2.00,1,1,2026-08-24T00:00:00.000
2,SHC000002,77,Delta SafetyHazardCondition 2,3.00,1,1,2026-08-24T00:00:00.000
3,SHC000003,204,Evergreen SafetyHazardCondition 3,4.00,1,1,2026-08-24T00:00:00.000
4,SHC000004,311,Riverton SafetyHazardCondition 4,5.00,1,1,2026-08-24T00:00:00.000
5,SHC000005,394,Zenith SafetyHazardCondition 5,6.00,1,1,2026-08-24T00:00:00.000
6,SHC000006,109,Orion SafetyHazardCondition 6,7.00,1,1,2026-08-24T00:00:00.000
7,SHC000007,320,Vertex SafetyHazardCondition 7,8.00,1,1,2026-08-24T00:00:00.000
8,SHC000008,112,Delta SafetyHazardCondition 8,9.00,1,1,2026-08-24T00:00:00.000
9,SHC000009,303,Cedar SafetyHazardCondition 9,10.00,1,1,2026-08-24T00:00:00.000
10,SHC000010,106,Harbor SafetyHazardCondition 10,11.00,1,1,2026-08-24T00:00:00.000
11,SHC000011,34,Pioneer SafetyHazardCondition 11,12.00,1,1,2026-08-24T00:00:00.000
12,SHC000012,374,Granite SafetyHazardCondition 12,13.00,1,1,2026-08-24T00:00:00.000
13,SHC000013,86,Atlas SafetyHazardCondition 13,14.00,1,1,2026-08-24T00:00:00.000
14,SHC000014,24,Titan SafetyHazardCondition 14,15.00,1,1,2026-08-24T00:00:00.000
15,SHC000015,49,Zenith SafetyHazardCondition 15,16.00,1,1,2026-08-24T00:00:00.000
16,SHC000016,307,Atlas SafetyHazardCondition 16,17.00,1,1,2026-08-24T00:00:00.000
17,SHC000017,317,Riverton SafetyHazardCondition 17,18.00,1,1,2026-08-24T00:00:00.000
18,SHC000018,334,Orion SafetyHazardCondition 18,19.00,1,1,2026-08-24T00:00:00.000
19,SHC000019,12,Delta SafetyHazardCondition 19,20.00,1,1,2026-08-24T00:00:00.000
20,SHC000020,31,Ion SafetyHazardCondition 20,21.00,1,1,2026-08-24T00:00:00.000
21,SHC000021,260,Beacon SafetyHazardCondition 21,22.00,1,1,2026-08-24T00:00:00.000
22,SHC000022,303,Willow SafetyHazardCondition 22,23.00,1,1,2026-08-24T00:00:00.000
23,SHC000023,175,Summit SafetyHazardCondition 23,24.00,1,1,2026-08-24T00:00:00.000
24,SHC000024,187,Willow SafetyHazardCondition 24,25.00,1,1,2026-08-24T00:00:00.000
25,SHC000025,419,Liberty SafetyHazardCondition 25,26.00,1,1,2026-08-24T00:00:00.000
26,SHC000026,285,Pioneer SafetyHazardCondition 26,27.00,1,1,2026-08-24T00:00:00.000
27,SHC000027,335,Summit SafetyHazardCondition 27,28.00,1,1,2026-08-24T00:00:00.000
28,SHC000028,59,Forge SafetyHazardCondition 28,29.00,1,1,2026-08-24T00:00:00.000
29,SHC000029,301,Junction SafetyHazardCondition 29,30.00,1,1,2026-08-24T00:00:00.000
30,SHC000030,327,Willow SafetyHazardCondition 30,31.00,1,1,2026-08-24T00:00:00.000
31,SHC000031,210,Quartz SafetyHazardCondition 31,32.00,1,1,2026-08-24T00:00:00.000
32,SHC000032,381,Delta SafetyHazardCondition 32,33.00,1,1,2026-08-24T00:00:00.000
33,SHC000033,185,Keystone SafetyHazardCondition 33,34.00,1,1,2026-08-24T00:00:00.000
34,SHC000034,100,Harbor SafetyHazardCondition 34,35.00,1,1,2026-08-24T00:00:00.000
35,SHC000035,191,Summit SafetyHazardCondition 35,36.00,1,1,2026-08-24T00:00:00.000
36,SHC000036,71,Zenith SafetyHazardCondition 36,37.00,1,1,2026-08-24T00:00:00.000
37,SHC000037,203,Summit SafetyHazardCondition 37,38.00,1,1,2026-08-24T00:00:00.000
38,SHC000038,69,Delta SafetyHazardCondition 38,39.00,1,1,2026-08-24T00:00:00.000
39,SHC000039,128,Orion SafetyHazardCondition 39,40.00,1,1,2026-08-24T00:00:00.000
40,SHC000040,55,Unity SafetyHazardCondition 40,41.00,1,1,2026-08-24T00:00:00.000
41,SHC000041,131,Cedar SafetyHazardCondition 41,42.00,1,1,2026-08-24T00:00:00.000
42,SHC000042,26,Cedar SafetyHazardCondition 42,43.00,1,1,2026-08-24T00:00:00.000
43,SHC000043,363,Pioneer SafetyHazardCondition 43,44.00,1,1,2026-08-24T00:00:00.000
44,SHC000044,240,Junction SafetyHazardCondition 44,45.00,1,1,2026-08-24T00:00:00.000
45,SHC000045,270,Atlas SafetyHazardCondition 45,46.00,1,1,2026-08-24T00:00:00.000
46,SHC000046,14,Meridian SafetyHazardCondition 46,47.00,1,1,2026-08-24T00:00:00.000
47,SHC000047,149,Meridian SafetyHazardCondition 47,48.00,1,1,2026-08-24T00:00:00.000
48,SHC000048,301,Keystone SafetyHazardCondition 48,49.00,1,1,2026-08-24T00:00:00.000
49,SHC000049,142,Summit SafetyHazardCondition 49,50.00,1,1,2026-08-24T00:00:00.000
50,SHC000050,277,Summit SafetyHazardCondition 50,51.00,1,1,2026-08-24T00:00:00.000
51,SHC000051,290,Granite SafetyHazardCondition 51,52.00,1,1,2026-08-24T00:00:00.000
52,SHC000052,319,Harbor SafetyHazardCondition 52,53.00,1,1,2026-08-24T00:00:00.000
53,SHC000053,309,Unity SafetyHazardCondition 53,54.00,1,1,2026-08-24T00:00:00.000
54,SHC000054,275,Northstar SafetyHazardCondition 54,55.00,1,1,2026-08-24T00:00:00.000
55,SHC000055,326,Unity SafetyHazardCondition 55,56.00,1,1,2026-08-24T00:00:00.000
56,SHC000056,99,Riverton SafetyHazardCondition 56,57.00,1,1,2026-08-24T00:00:00.000
57,SHC000057,37,Atlas SafetyHazardCondition 57,58.00,1,1,2026-08-24T00:00:00.000
58,SHC000058,174,Liberty SafetyHazardCondition 58,59.00,1,1,2026-08-24T00:00:00.000
59,SHC000059,58,Cedar SafetyHazardCondition 59,60.00,1,1,2026-08-24T00:00:00.000
60,SHC000060,140,Liberty SafetyHazardCondition 60,61.00,1,1,2026-08-24T00:00:00.000
61,SHC000061,31,Orion SafetyHazardCondition 61,62.00,1,1,2026-08-24T00:00:00.000
62,SHC000062,217,Atlas SafetyHazardCondition 62,63.00,1,1,2026-08-24T00:00:00.000
63,SHC000063,280,Titan SafetyHazardCondition 63,64.00,1,1,2026-08-24T00:00:00.000
64,SHC000064,73,Zenith SafetyHazardCondition 64,65.00,1,1,2026-08-24T00:00:00.000
65,SHC000065,4,Summit SafetyHazardCondition 65,66.00,1,1,2026-08-24T00:00:00.000
66,SHC000066,211,Cedar SafetyHazardCondition 66,67.00,1,1,2026-08-24T00:00:00.000
67,SHC000067,318,Ion SafetyHazardCondition 67,68.00,1,1,2026-08-24T00:00:00.000
68,SHC000068,35,Meridian SafetyHazardCondition 68,69.00,1,1,2026-08-24T00:00:00.000
69,SHC000069,302,Ion SafetyHazardCondition 69,70.00,1,1,2026-08-24T00:00:00.000
70,SHC000070,272,Junction SafetyHazardCondition 70,71.00,1,1,2026-08-24T00:00:00.000
71,SHC000071,7,Ion SafetyHazardCondition 71,72.00,1,1,2026-08-24T00:00:00.000
72,SHC000072,404,Quartz SafetyHazardCondition 72,73.00,1,1,2026-08-24T00:00:00.000
73,SHC000073,8,Meridian SafetyHazardCondition 73,74.00,1,1,2026-08-24T00:00:00.000
74,SHC000074,132,Delta SafetyHazardCondition 74,75.00,1,1,2026-08-24T00:00:00.000
