QualityDefectCategoryKey,QualityDefectCategoryCode,QualityDefectFamilyKey,QualityDefectCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,QDC000001,9,Atlas QualityDefectCategory 1,1,1,2026-08-24T00:00:00.000
2,QDC000002,7,Ion QualityDefectCategory 2,1,1,2026-08-24T00:00:00.000
3,QDC000003,3,Atlas QualityDefectCategory 3,1,1,2026-08-24T00:00:00.000
4,QDC000004,11,Keystone QualityDefectCategory 4,1,1,2026-08-24T00:00:00.000
5,QDC000005,1,Keystone QualityDefectCategory 5,1,1,2026-08-24T00:00:00.000
6,QDC000006,16,Orion QualityDefectCategory 6,1,1,2026-08-24T00:00:00.000
7,QDC000007,5,Zenith QualityDefectCategory 7,1,1,2026-08-24T00:00:00.000
8,QDC000008,15,Liberty QualityDefectCategory 8,1,1,2026-08-24T00:00:00.000
9,QDC000009,7,Beacon QualityDefectCategory 9,1,1,2026-08-24T00:00:00.000
10,QDC000010,5,Cedar QualityDefectCategory 10,1,1,2026-08-24T00:00:00.000
11,QDC000011,14,Ion QualityDefectCategory 11,1,1,2026-08-24T00:00:00.000
12,QDC000012,16,Beacon QualityDefectCategory 12,1,1,2026-08-24T00:00:00.000
13,QDC000013,1,Pioneer QualityDefectCategory 13,1,1,2026-08-24T00:00:00.000
14,QDC000014,15,Pioneer QualityDefectCategory 14,1,1,2026-08-24T00:00:00.000
15,QDC000015,10,Unity QualityDefectCategory 15,1,1,2026-08-24T00:00:00.000
16,QDC000016,6,Liberty QualityDefectCategory 16,1,1,2026-08-24T00:00:00.000
17,QDC000017,12,Cedar QualityDefectCategory 17,1,1,2026-08-24T00:00:00.000
18,QDC000018,6,Beacon QualityDefectCategory 18,1,1,2026-08-24T00:00:00.000
19,QDC000019,9,Vertex QualityDefectCategory 19,1,1,2026-08-24T00:00:00.000
20,QDC000020,11,Vertex QualityDefectCategory 20,1,1,2026-08-24T00:00:00.000
21,QDC000021,10,Quartz QualityDefectCategory 21,1,1,2026-08-24T00:00:00.000
22,QDC000022,4,Summit QualityDefectCategory 22,1,1,2026-08-24T00:00:00.000
23,QDC000023,12,Evergreen QualityDefectCategory 23,1,1,2026-08-24T00:00:00.000
24,QDC000024,14,Unity QualityDefectCategory 24,1,1,2026-08-24T00:00:00.000
25,QDC000025,4,Junction QualityDefectCategory 25,1,1,2026-08-24T00:00:00.000
26,QDC000026,15,Titan QualityDefectCategory 26,1,1,2026-08-24T00:00:00.000
27,QDC000027,9,Atlas QualityDefectCategory 27,1,1,2026-08-24T00:00:00.000
28,QDC000028,14,Liberty QualityDefectCategory 28,1,1,2026-08-24T00:00:00.000
29,QDC000029,6,Orion QualityDefectCategory 29,1,1,2026-08-24T00:00:00.000
30,QDC000030,1,Orion QualityDefectCategory 30,1,1,2026-08-24T00:00:00.000
31,QDC000031,6,Ion QualityDefectCategory 31,1,1,2026-08-24T00:00:00.000
32,QDC000032,5,Delta QualityDefectCategory 32,1,1,2026-08-24T00:00:00.000
33,QDC000033,5,Titan QualityDefectCategory 33,1,1,2026-08-24T00:00:00.000
34,QDC000034,9,Orion QualityDefectCategory 34,1,1,2026-08-24T00:00:00.000
35,QDC000035,15,Summit QualityDefectCategory 35,1,1,2026-08-24T00:00:00.000
36,QDC000036,11,Ion QualityDefectCategory 36,1,1,2026-08-24T00:00:00.000
37,QDC000037,13,Willow QualityDefectCategory 37,1,1,2026-08-24T00:00:00.000
38,QDC000038,11,Quartz QualityDefectCategory 38,1,1,2026-08-24T00:00:00.000
39,QDC000039,3,Quartz QualityDefectCategory 39,1,1,2026-08-24T00:00:00.000
40,QDC000040,6,Riverton QualityDefectCategory 40,1,1,2026-08-24T00:00:00.000
41,QDC000041,5,Evergreen QualityDefectCategory 41,1,1,2026-08-24T00:00:00.000
42,QDC000042,14,Titan QualityDefectCategory 42,1,1,2026-08-24T00:00:00.000
43,QDC000043,14,Ion QualityDefectCategory 43,1,1,2026-08-24T00:00:00.000
44,QDC000044,13,Cedar QualityDefectCategory 44,1,1,2026-08-24T00:00:00.000
45,QDC000045,2,Meridian QualityDefectCategory 45,1,1,2026-08-24T00:00:00.000
46,QDC000046,11,Northstar QualityDefectCategory 46,1,1,2026-08-24T00:00:00.000
47,QDC000047,14,Orion QualityDefectCategory 47,1,1,2026-08-24T00:00:00.000
48,QDC000048,2,Beacon QualityDefectCategory 48,1,1,2026-08-24T00:00:00.000
49,QDC000049,9,Keystone QualityDefectCategory 49,1,1,2026-08-24T00:00:00.000
50,QDC000050,11,Beacon QualityDefectCategory 50,1,1,2026-08-24T00:00:00.000
51,QDC000051,13,Harbor QualityDefectCategory 51,1,1,2026-08-24T00:00:00.000
52,QDC000052,14,Junction QualityDefectCategory 52,1,1,2026-08-24T00:00:00.000
53,QDC000053,2,Quartz QualityDefectCategory 53,1,1,2026-08-24T00:00:00.000
54,QDC000054,13,Meridian QualityDefectCategory 54,1,1,2026-08-24T00:00:00.000
55,QDC000055,16,Forge QualityDefectCategory 55,1,1,2026-08-24T00:00:00.000
56,QDC000056,1,Beacon QualityDefectCategory 56,1,1,2026-08-24T00:00:00.000
57,QDC000057,14,Cedar QualityDefectCategory 57,1,1,2026-08-24T00:00:00.000
58,QDC000058,10,Pioneer QualityDefectCategory 58,1,1,2026-08-24T00:00:00.000
59,QDC000059,7,Northstar QualityDefectCategory 59,1,1,2026-08-24T00:00:00.000
60,QDC000060,10,Atlas QualityDefectCategory 60,1,1,2026-08-24T00:00:00.000
61,QDC000061,10,Evergreen QualityDefectCategory 61,1,1,2026-08-24T00:00:00.000
62,QDC000062,4,Ion QualityDefectCategory 62,1,1,2026-08-24T00:00:00.000
63,QDC000063,16,Northstar QualityDefectCategory 63,1,1,2026-08-24T00:00:00.000
64,QDC000064,1,Cedar QualityDefectCategory 64,1,1,2026-08-24T00:00:00.000
65,QDC000065,5,Forge QualityDefectCategory 65,1,1,2026-08-24T00:00:00.000
66,QDC000066,7,Junction QualityDefectCategory 66,1,1,2026-08-24T00:00:00.000
67,QDC000067,2,Willow QualityDefectCategory 67,1,1,2026-08-24T00:00:00.000
68,QDC000068,6,Titan QualityDefectCategory 68,1,1,2026-08-24T00:00:00.000
69,QDC000069,11,Northstar QualityDefectCategory 69,1,1,2026-08-24T00:00:00.000
70,QDC000070,16,Summit QualityDefectCategory 70,1,1,2026-08-24T00:00:00.000
71,QDC000071,16,Orion QualityDefectCategory 71,1,1,2026-08-24T00:00:00.000
72,QDC000072,1,Unity QualityDefectCategory 72,1,1,2026-08-24T00:00:00.000
73,QDC000073,5,Vertex QualityDefectCategory 73,1,1,2026-08-24T00:00:00.000
74,QDC000074,16,Junction QualityDefectCategory 74,1,1,2026-08-24T00:00:00.000
75,QDC000075,2,Evergreen QualityDefectCategory 75,1,1,2026-08-24T00:00:00.000
76,QDC000076,14,Northstar QualityDefectCategory 76,1,1,2026-08-24T00:00:00.000
77,QDC000077,2,Unity QualityDefectCategory 77,1,1,2026-08-24T00:00:00.000
78,QDC000078,7,Titan QualityDefectCategory 78,1,1,2026-08-24T00:00:00.000
79,QDC000079,13,Cedar QualityDefectCategory 79,1,1,2026-08-24T00:00:00.000
80,QDC000080,9,Atlas QualityDefectCategory 80,1,1,2026-08-24T00:00:00.000
