FinanceProductionSettlementKey,ProductionSettlementNumber,ProductKey,PlantKey,WorkCenterKey,CostCenterKey,FinancePostingStatusKey,SettlementName,SettlementPeriodCode,IsFinalSettlement,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,FPS000001,55,336,423,444,8,Quartz FinanceProductionSettlement 1,FPS000001,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a2333ae19485084990716ba6b58b2571a2333ae19485084990716ba6b58b257
2,FPS000002,343,59,82,356,1,Zenith FinanceProductionSettlement 2,FPS000002,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b48dd8edcec500e81b4c62463c688190b48dd8edcec500e81b4c62463c68819
3,FPS000003,238,262,444,491,6,Delta FinanceProductionSettlement 3,FPS000003,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0046d3e3a97e5517b04297f80af164700046d3e3a97e5517b04297f80af16470
4,FPS000004,369,64,447,372,8,Forge FinanceProductionSettlement 4,FPS000004,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64ce9ecca0b554e3ac34939efa86b9c664ce9ecca0b554e3ac34939efa86b9c6
5,FPS000005,10,311,454,436,4,Orion FinanceProductionSettlement 5,FPS000005,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,755aa65d1d915456b601adfec4263308755aa65d1d915456b601adfec4263308
6,FPS000006,107,113,188,2,5,Willow FinanceProductionSettlement 6,FPS000006,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,33ae5bbc190f57fba72fe1e35620f1b433ae5bbc190f57fba72fe1e35620f1b4
7,FPS000007,78,151,227,432,6,Granite FinanceProductionSettlement 7,FPS000007,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a387058f361c5110b5f2d370e8842f65a387058f361c5110b5f2d370e8842f65
8,FPS000008,445,347,489,280,6,Delta FinanceProductionSettlement 8,FPS000008,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,887a9629c204567c809709bc71ad0ac2887a9629c204567c809709bc71ad0ac2
9,FPS000009,333,277,9,81,5,Atlas FinanceProductionSettlement 9,FPS000009,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8dca938ee0a53e0996331ddac6c10e9d8dca938ee0a53e0996331ddac6c10e9
10,FPS000010,104,128,328,367,7,Northstar FinanceProductionSettlement 10,FPS000010,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a05d004a13e53a7a2ce429a55d320b84a05d004a13e53a7a2ce429a55d320b8
11,FPS000011,56,254,489,368,9,Riverton FinanceProductionSettlement 11,FPS000011,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2384c277332f5cc0b4d36e937f269cf92384c277332f5cc0b4d36e937f269cf9
12,FPS000012,467,86,226,28,8,Summit FinanceProductionSettlement 12,FPS000012,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0cb8fc63e27552f2867b785c75efc90d0cb8fc63e27552f2867b785c75efc90d
13,FPS000013,14,6,334,333,7,Harbor FinanceProductionSettlement 13,FPS000013,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,847504cd9bec53f2a082df53632e3d36847504cd9bec53f2a082df53632e3d36
14,FPS000014,178,60,391,377,9,Unity FinanceProductionSettlement 14,FPS000014,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21293e65a6c6507b8af0129cdc836ba521293e65a6c6507b8af0129cdc836ba5
15,FPS000015,115,232,440,360,9,Forge FinanceProductionSettlement 15,FPS000015,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,060c5da35c21534ea50c487f77207d07060c5da35c21534ea50c487f77207d07
16,FPS000016,222,123,159,50,8,Keystone FinanceProductionSettlement 16,FPS000016,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,718a2a165773585e83c4201a97a0b26f718a2a165773585e83c4201a97a0b26f
17,FPS000017,337,26,-1,-1,9,Ion FinanceProductionSettlement 17,FPS000017,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f4ae43f74ea5dd5b2cbdbb1668c6bc48f4ae43f74ea5dd5b2cbdbb1668c6bc4
18,FPS000018,180,1,37,163,9,Granite FinanceProductionSettlement 18,FPS000018,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f33d466fbbe8569887495500c2215fdaf33d466fbbe8569887495500c2215fda
19,FPS000019,15,108,17,385,2,Quartz FinanceProductionSettlement 19,FPS000019,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c4047c269855e1d9d48538087262c781c4047c269855e1d9d48538087262c78
20,FPS000020,91,194,81,234,7,Zenith FinanceProductionSettlement 20,FPS000020,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d96ca87205945068bdb43dc4b59de1ced96ca87205945068bdb43dc4b59de1ce
21,FPS000021,105,145,337,491,2,Pioneer FinanceProductionSettlement 21,FPS000021,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,546d41ee42395b74b1b065ba93fe3efb546d41ee42395b74b1b065ba93fe3efb
22,FPS000022,387,2,17,164,9,Evergreen FinanceProductionSettlement 22,FPS000022,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a28d88c4517251ffafc823859310be4fa28d88c4517251ffafc823859310be4f
23,FPS000023,362,161,296,20,10,Delta FinanceProductionSettlement 23,FPS000023,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a939399593b52a19dd7e9276a2d39008a939399593b52a19dd7e9276a2d3900
24,FPS000024,193,10,315,173,6,Junction FinanceProductionSettlement 24,FPS000024,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5de455b63105574e918924029a72e8fd5de455b63105574e918924029a72e8fd
25,FPS000025,55,179,446,163,10,Meridian FinanceProductionSettlement 25,FPS000025,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cba29cba03ec5517bf61496a9485dfeecba29cba03ec5517bf61496a9485dfee
26,FPS000026,396,133,135,23,4,Willow FinanceProductionSettlement 26,FPS000026,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5560baaf8bca5a4b94bf5e633e24a63c5560baaf8bca5a4b94bf5e633e24a63c
27,FPS000027,90,140,202,37,8,Titan FinanceProductionSettlement 27,FPS000027,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d918338374f85059a4fcd2461cee588ed918338374f85059a4fcd2461cee588e
28,FPS000028,230,316,402,87,2,Willow FinanceProductionSettlement 28,FPS000028,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d384529e044538d93436a3c1c8b9b638d384529e044538d93436a3c1c8b9b63
29,FPS000029,401,52,456,479,8,Unity FinanceProductionSettlement 29,FPS000029,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1b65595122f5997a0adb84fc111fa86b1b65595122f5997a0adb84fc111fa86
30,FPS000030,218,73,304,170,5,Liberty FinanceProductionSettlement 30,FPS000030,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,863afed76e405eb8956f541f43af9dcb863afed76e405eb8956f541f43af9dcb
31,FPS000031,220,15,185,167,5,Willow FinanceProductionSettlement 31,FPS000031,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f04f1a53c5e5fa59903c5d6c87c18946f04f1a53c5e5fa59903c5d6c87c1894
32,FPS000032,444,338,281,166,2,Vertex FinanceProductionSettlement 32,FPS000032,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ab7fdf205a551589026f8101435bdc11ab7fdf205a551589026f8101435bdc1
33,FPS000033,283,181,279,291,9,Cedar FinanceProductionSettlement 33,FPS000033,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b70732452b3563cbe36d76ad4dcbd822b70732452b3563cbe36d76ad4dcbd82
34,FPS000034,356,7,-1,-1,7,Evergreen FinanceProductionSettlement 34,FPS000034,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5237e7d4c9085087af3e3ba5762c707c5237e7d4c9085087af3e3ba5762c707c
35,FPS000035,375,128,300,4,3,Vertex FinanceProductionSettlement 35,FPS000035,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c96bc13835a5f6f9f48e5dafad458f21c96bc13835a5f6f9f48e5dafad458f2
36,FPS000036,17,146,247,54,3,Evergreen FinanceProductionSettlement 36,FPS000036,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87e8c1dd94265eba9bfbc17ec55a1abf87e8c1dd94265eba9bfbc17ec55a1abf
37,FPS000037,72,31,305,145,7,Keystone FinanceProductionSettlement 37,FPS000037,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36e5165e8d635800be2ea2c16833acb636e5165e8d635800be2ea2c16833acb6
38,FPS000038,275,209,334,152,7,Forge FinanceProductionSettlement 38,FPS000038,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09a4d25800445c39a3efd9bf6c03164109a4d25800445c39a3efd9bf6c031641
39,FPS000039,432,253,474,55,7,Liberty FinanceProductionSettlement 39,FPS000039,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a7437d9255c502a80ef52092ba424b02a7437d9255c502a80ef52092ba424b0
40,FPS000040,360,7,392,73,7,Evergreen FinanceProductionSettlement 40,FPS000040,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9de0a5d06fd05ebea94e9bd30a339af09de0a5d06fd05ebea94e9bd30a339af0
41,FPS000041,432,188,494,114,1,Pioneer FinanceProductionSettlement 41,FPS000041,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d2c6723fef65b7ab4e102f113b7848b8d2c6723fef65b7ab4e102f113b7848b
42,FPS000042,197,89,183,193,9,Cedar FinanceProductionSettlement 42,FPS000042,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63bfa6b817f059109a66e247b19d857063bfa6b817f059109a66e247b19d8570
43,FPS000043,54,54,36,209,5,Liberty FinanceProductionSettlement 43,FPS000043,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aef5de7819bc5132a4318fa6eb9f70b3aef5de7819bc5132a4318fa6eb9f70b3
44,FPS000044,63,248,469,130,7,Delta FinanceProductionSettlement 44,FPS000044,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d83b2bca0f7597782ceefe448219a4b3d83b2bca0f7597782ceefe448219a4b
45,FPS000045,344,261,172,229,3,Northstar FinanceProductionSettlement 45,FPS000045,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b5c3e62fc7f5bba95a921db14b507f30b5c3e62fc7f5bba95a921db14b507f3
46,FPS000046,229,29,50,315,8,Northstar FinanceProductionSettlement 46,FPS000046,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89d4cb41d8285bafba7a9a956f0c2b9489d4cb41d8285bafba7a9a956f0c2b94
47,FPS000047,137,344,38,155,10,Unity FinanceProductionSettlement 47,FPS000047,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed87bffe384a52708dde1b48aa05680ded87bffe384a52708dde1b48aa05680d
48,FPS000048,148,338,138,284,7,Zenith FinanceProductionSettlement 48,FPS000048,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22e4937fcf1a5359884e65fbd00adfe122e4937fcf1a5359884e65fbd00adfe1
49,FPS000049,191,337,78,290,2,Quartz FinanceProductionSettlement 49,FPS000049,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6dd2aed3aefd550e9ecb55febaf686146dd2aed3aefd550e9ecb55febaf68614
50,FPS000050,454,71,304,227,6,Summit FinanceProductionSettlement 50,FPS000050,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed2a7ab9d0505cb4849fc46b174c684aed2a7ab9d0505cb4849fc46b174c684a
51,FPS000051,205,203,-1,-1,6,Northstar FinanceProductionSettlement 51,FPS000051,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11dacaed83955db28b3b0abda97d990011dacaed83955db28b3b0abda97d9900
52,FPS000052,498,245,209,442,5,Northstar FinanceProductionSettlement 52,FPS000052,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84d7f719e7cb5c0f99e87060b174b91e84d7f719e7cb5c0f99e87060b174b91e
53,FPS000053,21,92,450,85,2,Keystone FinanceProductionSettlement 53,FPS000053,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b13482a55fb253a0800f62429331e0f8b13482a55fb253a0800f62429331e0f8
54,FPS000054,472,344,455,476,6,Quartz FinanceProductionSettlement 54,FPS000054,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ac08cb16f6d54528d8dabf81573f66e0ac08cb16f6d54528d8dabf81573f66e
55,FPS000055,389,207,153,1,1,Titan FinanceProductionSettlement 55,FPS000055,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6e3b06797815d62808e0f8689035072e6e3b06797815d62808e0f8689035072
56,FPS000056,309,165,64,79,9,Summit FinanceProductionSettlement 56,FPS000056,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0c309a631a25e299d16510fb749f5d4d0c309a631a25e299d16510fb749f5d4
57,FPS000057,492,154,320,157,5,Orion FinanceProductionSettlement 57,FPS000057,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea29378c5b355389a1209c097f6ba0e6ea29378c5b355389a1209c097f6ba0e6
58,FPS000058,225,221,462,86,10,Zenith FinanceProductionSettlement 58,FPS000058,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbecaa48f85c50fea530c12726c92577bbecaa48f85c50fea530c12726c92577
59,FPS000059,400,181,341,56,2,Keystone FinanceProductionSettlement 59,FPS000059,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f358bba71bc45488be97297af234ac7ff358bba71bc45488be97297af234ac7f
60,FPS000060,302,17,42,271,7,Willow FinanceProductionSettlement 60,FPS000060,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ea19014c3aa5ba891300e0339b3006c3ea19014c3aa5ba891300e0339b3006c
