ProductionLotKey,ProductionLotNumber,ProductKey,PlantKey,ProductionLotDispositionGroupKey,UnitOfMeasureKey,RecordStatusKey,ProductionLotName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,PL000001,46,177,495,6,2,Orion ProductionLot 1,PL000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,921e7010bfc9541fa25c9bdadf19f1ea921e7010bfc9541fa25c9bdadf19f1ea
2,PL000002,56,127,334,3,4,Beacon ProductionLot 2,PL000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,90eed97ddcd85bcdb56f19a9496fa4df90eed97ddcd85bcdb56f19a9496fa4df
3,PL000003,24,115,151,5,1,Delta ProductionLot 3,PL000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,573b99ca2ff15ae5abe24143d888764d573b99ca2ff15ae5abe24143d888764d
4,PL000004,329,231,322,4,4,Liberty ProductionLot 4,PL000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf2823b7f27f512fb890a0047d65fb80cf2823b7f27f512fb890a0047d65fb80
5,PL000005,134,96,247,6,2,Liberty ProductionLot 5,PL000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3fd711383495f358b7e6792d164288db3fd711383495f358b7e6792d164288d
6,PL000006,247,199,293,4,2,Riverton ProductionLot 6,PL000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2afc8f64ad1d5a16a37a7ebda12eb0fd2afc8f64ad1d5a16a37a7ebda12eb0fd
7,PL000007,72,293,213,7,1,Unity ProductionLot 7,PL000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b55e4c49d1750c3a5bb282c11d26c267b55e4c49d1750c3a5bb282c11d26c26
8,PL000008,172,294,405,7,3,Quartz ProductionLot 8,PL000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,857b5949a8925c91afb39ba55172cf52857b5949a8925c91afb39ba55172cf52
9,PL000009,27,184,222,3,3,Vertex ProductionLot 9,PL000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10c795825edc524cb3ee591b39ad56e810c795825edc524cb3ee591b39ad56e8
10,PL000010,453,179,62,6,1,Beacon ProductionLot 10,PL000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,438e01f1cce45666b3e991b551502728438e01f1cce45666b3e991b551502728
11,PL000011,341,131,322,2,4,Beacon ProductionLot 11,PL000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e10d56cf4bd8519a91aa9c10818f1284e10d56cf4bd8519a91aa9c10818f1284
12,PL000012,292,300,163,4,4,Beacon ProductionLot 12,PL000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c601fd2d12df5756a6d59a81e9b2bd93c601fd2d12df5756a6d59a81e9b2bd93
13,PL000013,142,165,312,7,2,Ion ProductionLot 13,PL000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b45daef0c1df5e0e8003cdda9b3120beb45daef0c1df5e0e8003cdda9b3120be
14,PL000014,84,233,97,7,1,Willow ProductionLot 14,PL000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53c2e2672a2650a7bcca21eda2e91a3053c2e2672a2650a7bcca21eda2e91a30
15,PL000015,310,224,156,6,2,Zenith ProductionLot 15,PL000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ef9d4f8fd135412a0c8477a4ea827018ef9d4f8fd135412a0c8477a4ea82701
16,PL000016,195,270,369,6,2,Titan ProductionLot 16,PL000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71b8e265684c5f2caf9d0f03bd164b9871b8e265684c5f2caf9d0f03bd164b98
17,PL000017,5,267,7,5,4,Meridian ProductionLot 17,PL000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7bdaae5d28b5d67b7ba276ea67275d9b7bdaae5d28b5d67b7ba276ea67275d9
18,PL000018,226,317,41,4,4,Evergreen ProductionLot 18,PL000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,550df89f59b258ed986fcf980268c2c2550df89f59b258ed986fcf980268c2c2
19,PL000019,385,242,181,6,2,Delta ProductionLot 19,PL000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1f8ac5251be5a51a527906b55853e2ff1f8ac5251be5a51a527906b55853e2f
20,PL000020,128,196,319,6,1,Keystone ProductionLot 20,PL000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a13a8f0e8525aecb24be4595ecf53a80a13a8f0e8525aecb24be4595ecf53a8
21,PL000021,189,314,7,6,2,Atlas ProductionLot 21,PL000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc3492535b4854849213d5b278879df8dc3492535b4854849213d5b278879df8
22,PL000022,155,195,398,1,1,Unity ProductionLot 22,PL000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b47b4c00b6e5790b34eabfd2b077bdd0b47b4c00b6e5790b34eabfd2b077bdd
23,PL000023,497,231,306,1,2,Harbor ProductionLot 23,PL000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc47db3d104a55189af717dfb2f3f05adc47db3d104a55189af717dfb2f3f05a
24,PL000024,216,129,250,1,1,Junction ProductionLot 24,PL000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,655ca1bd187750a89223204d3bd9be92655ca1bd187750a89223204d3bd9be92
25,PL000025,55,340,148,3,4,Zenith ProductionLot 25,PL000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4184e04f8865039b39a4e60a5f0a242b4184e04f8865039b39a4e60a5f0a242
26,PL000026,400,185,452,7,3,Willow ProductionLot 26,PL000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8621e281046542ebb06812b521be3e0c8621e281046542ebb06812b521be3e0
