CalendarWeekKey,CalendarWeekCode,CalendarMonthKey,CalendarWeekName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,CW000001,26,Liberty CalendarWeek 1,1,1,2026-08-24T00:00:00.000
2,CW000002,58,Harbor CalendarWeek 2,1,1,2026-08-24T00:00:00.000
3,CW000003,154,Keystone CalendarWeek 3,1,1,2026-08-24T00:00:00.000
4,CW000004,188,Northstar CalendarWeek 4,1,1,2026-08-24T00:00:00.000
5,CW000005,163,Northstar CalendarWeek 5,1,1,2026-08-24T00:00:00.000
6,CW000006,58,Zenith CalendarWeek 6,1,1,2026-08-24T00:00:00.000
7,CW000007,48,Harbor CalendarWeek 7,1,1,2026-08-24T00:00:00.000
8,CW000008,8,Junction CalendarWeek 8,1,1,2026-08-24T00:00:00.000
9,CW000009,130,Forge CalendarWeek 9,1,1,2026-08-24T00:00:00.000
10,CW000010,110,Summit CalendarWeek 10,1,1,2026-08-24T00:00:00.000
11,CW000011,196,Forge CalendarWeek 11,1,1,2026-08-24T00:00:00.000
12,CW000012,148,Vertex CalendarWeek 12,1,1,2026-08-24T00:00:00.000
13,CW000013,15,Northstar CalendarWeek 13,1,1,2026-08-24T00:00:00.000
14,CW000014,104,Riverton CalendarWeek 14,1,1,2026-08-24T00:00:00.000
15,CW000015,219,Titan CalendarWeek 15,1,1,2026-08-24T00:00:00.000
16,CW000016,180,Liberty CalendarWeek 16,1,1,2026-08-24T00:00:00.000
17,CW000017,27,Orion CalendarWeek 17,1,1,2026-08-24T00:00:00.000
18,CW000018,76,Willow CalendarWeek 18,1,1,2026-08-24T00:00:00.000
19,CW000019,95,Harbor CalendarWeek 19,1,1,2026-08-24T00:00:00.000
20,CW000020,187,Orion CalendarWeek 20,1,1,2026-08-24T00:00:00.000
21,CW000021,184,Forge CalendarWeek 21,1,1,2026-08-24T00:00:00.000
22,CW000022,70,Evergreen CalendarWeek 22,1,1,2026-08-24T00:00:00.000
23,CW000023,173,Beacon CalendarWeek 23,1,1,2026-08-24T00:00:00.000
24,CW000024,199,Unity CalendarWeek 24,1,1,2026-08-24T00:00:00.000
25,CW000025,104,Evergreen CalendarWeek 25,1,1,2026-08-24T00:00:00.000
26,CW000026,129,Riverton CalendarWeek 26,1,1,2026-08-24T00:00:00.000
27,CW000027,225,Zenith CalendarWeek 27,1,1,2026-08-24T00:00:00.000
28,CW000028,87,Summit CalendarWeek 28,1,1,2026-08-24T00:00:00.000
29,CW000029,17,Vertex CalendarWeek 29,1,1,2026-08-24T00:00:00.000
30,CW000030,181,Willow CalendarWeek 30,1,1,2026-08-24T00:00:00.000
31,CW000031,133,Evergreen CalendarWeek 31,1,1,2026-08-24T00:00:00.000
32,CW000032,233,Northstar CalendarWeek 32,1,1,2026-08-24T00:00:00.000
33,CW000033,218,Keystone CalendarWeek 33,1,1,2026-08-24T00:00:00.000
34,CW000034,230,Pioneer CalendarWeek 34,1,1,2026-08-24T00:00:00.000
35,CW000035,9,Quartz CalendarWeek 35,1,1,2026-08-24T00:00:00.000
36,CW000036,24,Cedar CalendarWeek 36,1,1,2026-08-24T00:00:00.000
37,CW000037,135,Granite CalendarWeek 37,1,1,2026-08-24T00:00:00.000
38,CW000038,164,Riverton CalendarWeek 38,1,1,2026-08-24T00:00:00.000
39,CW000039,207,Beacon CalendarWeek 39,1,1,2026-08-24T00:00:00.000
40,CW000040,99,Unity CalendarWeek 40,1,1,2026-08-24T00:00:00.000
41,CW000041,131,Harbor CalendarWeek 41,1,1,2026-08-24T00:00:00.000
42,CW000042,30,Evergreen CalendarWeek 42,1,1,2026-08-24T00:00:00.000
43,CW000043,68,Pioneer CalendarWeek 43,1,1,2026-08-24T00:00:00.000
44,CW000044,173,Willow CalendarWeek 44,1,1,2026-08-24T00:00:00.000
45,CW000045,42,Cedar CalendarWeek 45,1,1,2026-08-24T00:00:00.000
46,CW000046,183,Meridian CalendarWeek 46,1,1,2026-08-24T00:00:00.000
47,CW000047,10,Granite CalendarWeek 47,1,1,2026-08-24T00:00:00.000
48,CW000048,46,Evergreen CalendarWeek 48,1,1,2026-08-24T00:00:00.000
49,CW000049,32,Atlas CalendarWeek 49,1,1,2026-08-24T00:00:00.000
50,CW000050,57,Atlas CalendarWeek 50,1,1,2026-08-24T00:00:00.000
51,CW000051,96,Northstar CalendarWeek 51,1,1,2026-08-24T00:00:00.000
52,CW000052,185,Cedar CalendarWeek 52,1,1,2026-08-24T00:00:00.000
53,CW000053,39,Zenith CalendarWeek 53,1,1,2026-08-24T00:00:00.000
54,CW000054,180,Beacon CalendarWeek 54,1,1,2026-08-24T00:00:00.000
55,CW000055,14,Titan CalendarWeek 55,1,1,2026-08-24T00:00:00.000
56,CW000056,155,Granite CalendarWeek 56,1,1,2026-08-24T00:00:00.000
57,CW000057,218,Meridian CalendarWeek 57,1,1,2026-08-24T00:00:00.000
58,CW000058,43,Cedar CalendarWeek 58,1,1,2026-08-24T00:00:00.000
59,CW000059,140,Northstar CalendarWeek 59,1,1,2026-08-24T00:00:00.000
60,CW000060,220,Ion CalendarWeek 60,1,1,2026-08-24T00:00:00.000
61,CW000061,89,Pioneer CalendarWeek 61,1,1,2026-08-24T00:00:00.000
62,CW000062,222,Cedar CalendarWeek 62,1,1,2026-08-24T00:00:00.000
63,CW000063,57,Junction CalendarWeek 63,1,1,2026-08-24T00:00:00.000
64,CW000064,171,Willow CalendarWeek 64,1,1,2026-08-24T00:00:00.000
65,CW000065,128,Junction CalendarWeek 65,1,1,2026-08-24T00:00:00.000
66,CW000066,170,Titan CalendarWeek 66,1,1,2026-08-24T00:00:00.000
