ProductionLotGradeKey,ProductionLotGradeCode,ProductionLotClassKey,ProductionLotGradeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PLG000001,106,Titan ProductionLotGrade 1,1,1,2026-08-24T00:00:00.000
2,PLG000002,50,Ion ProductionLotGrade 2,1,1,2026-08-24T00:00:00.000
3,PLG000003,85,Summit ProductionLotGrade 3,1,1,2026-08-24T00:00:00.000
4,PLG000004,117,Harbor ProductionLotGrade 4,1,1,2026-08-24T00:00:00.000
5,PLG000005,5,Cedar ProductionLotGrade 5,1,1,2026-08-24T00:00:00.000
6,PLG000006,95,Granite ProductionLotGrade 6,1,1,2026-08-24T00:00:00.000
7,PLG000007,30,Summit ProductionLotGrade 7,1,1,2026-08-24T00:00:00.000
8,PLG000008,98,Liberty ProductionLotGrade 8,1,1,2026-08-24T00:00:00.000
9,PLG000009,75,Ion ProductionLotGrade 9,1,1,2026-08-24T00:00:00.000
10,PLG000010,110,Junction ProductionLotGrade 10,1,1,2026-08-24T00:00:00.000
11,PLG000011,78,Riverton ProductionLotGrade 11,1,1,2026-08-24T00:00:00.000
12,PLG000012,72,Zenith ProductionLotGrade 12,1,1,2026-08-24T00:00:00.000
13,PLG000013,48,Zenith ProductionLotGrade 13,1,1,2026-08-24T00:00:00.000
14,PLG000014,118,Forge ProductionLotGrade 14,1,1,2026-08-24T00:00:00.000
15,PLG000015,13,Northstar ProductionLotGrade 15,1,1,2026-08-24T00:00:00.000
16,PLG000016,91,Beacon ProductionLotGrade 16,1,1,2026-08-24T00:00:00.000
17,PLG000017,35,Orion ProductionLotGrade 17,1,1,2026-08-24T00:00:00.000
18,PLG000018,25,Evergreen ProductionLotGrade 18,1,1,2026-08-24T00:00:00.000
19,PLG000019,38,Riverton ProductionLotGrade 19,1,1,2026-08-24T00:00:00.000
20,PLG000020,78,Zenith ProductionLotGrade 20,1,1,2026-08-24T00:00:00.000
21,PLG000021,95,Atlas ProductionLotGrade 21,1,1,2026-08-24T00:00:00.000
22,PLG000022,115,Meridian ProductionLotGrade 22,1,1,2026-08-24T00:00:00.000
23,PLG000023,48,Vertex ProductionLotGrade 23,1,1,2026-08-24T00:00:00.000
24,PLG000024,35,Zenith ProductionLotGrade 24,1,1,2026-08-24T00:00:00.000
25,PLG000025,43,Atlas ProductionLotGrade 25,1,1,2026-08-24T00:00:00.000
26,PLG000026,118,Granite ProductionLotGrade 26,1,1,2026-08-24T00:00:00.000
27,PLG000027,27,Northstar ProductionLotGrade 27,1,1,2026-08-24T00:00:00.000
28,PLG000028,112,Delta ProductionLotGrade 28,1,1,2026-08-24T00:00:00.000
29,PLG000029,29,Vertex ProductionLotGrade 29,1,1,2026-08-24T00:00:00.000
30,PLG000030,56,Northstar ProductionLotGrade 30,1,1,2026-08-24T00:00:00.000
31,PLG000031,111,Ion ProductionLotGrade 31,1,1,2026-08-24T00:00:00.000
32,PLG000032,12,Liberty ProductionLotGrade 32,1,1,2026-08-24T00:00:00.000
33,PLG000033,6,Quartz ProductionLotGrade 33,1,1,2026-08-24T00:00:00.000
34,PLG000034,3,Northstar ProductionLotGrade 34,1,1,2026-08-24T00:00:00.000
35,PLG000035,104,Cedar ProductionLotGrade 35,1,1,2026-08-24T00:00:00.000
36,PLG000036,5,Pioneer ProductionLotGrade 36,1,1,2026-08-24T00:00:00.000
37,PLG000037,28,Evergreen ProductionLotGrade 37,1,1,2026-08-24T00:00:00.000
38,PLG000038,91,Northstar ProductionLotGrade 38,1,1,2026-08-24T00:00:00.000
39,PLG000039,85,Junction ProductionLotGrade 39,1,1,2026-08-24T00:00:00.000
40,PLG000040,6,Summit ProductionLotGrade 40,1,1,2026-08-24T00:00:00.000
41,PLG000041,65,Meridian ProductionLotGrade 41,1,1,2026-08-24T00:00:00.000
42,PLG000042,11,Keystone ProductionLotGrade 42,1,1,2026-08-24T00:00:00.000
43,PLG000043,2,Liberty ProductionLotGrade 43,1,1,2026-08-24T00:00:00.000
44,PLG000044,50,Beacon ProductionLotGrade 44,1,1,2026-08-24T00:00:00.000
45,PLG000045,73,Atlas ProductionLotGrade 45,1,1,2026-08-24T00:00:00.000
46,PLG000046,57,Orion ProductionLotGrade 46,1,1,2026-08-24T00:00:00.000
47,PLG000047,105,Delta ProductionLotGrade 47,1,1,2026-08-24T00:00:00.000
48,PLG000048,28,Keystone ProductionLotGrade 48,1,1,2026-08-24T00:00:00.000
49,PLG000049,118,Northstar ProductionLotGrade 49,1,1,2026-08-24T00:00:00.000
50,PLG000050,44,Willow ProductionLotGrade 50,1,1,2026-08-24T00:00:00.000
51,PLG000051,44,Harbor ProductionLotGrade 51,1,1,2026-08-24T00:00:00.000
52,PLG000052,51,Junction ProductionLotGrade 52,1,1,2026-08-24T00:00:00.000
53,PLG000053,55,Beacon ProductionLotGrade 53,1,1,2026-08-24T00:00:00.000
54,PLG000054,37,Vertex ProductionLotGrade 54,1,1,2026-08-24T00:00:00.000
55,PLG000055,73,Cedar ProductionLotGrade 55,1,1,2026-08-24T00:00:00.000
56,PLG000056,104,Delta ProductionLotGrade 56,1,1,2026-08-24T00:00:00.000
57,PLG000057,54,Evergreen ProductionLotGrade 57,1,1,2026-08-24T00:00:00.000
58,PLG000058,74,Delta ProductionLotGrade 58,1,1,2026-08-24T00:00:00.000
59,PLG000059,1,Liberty ProductionLotGrade 59,1,1,2026-08-24T00:00:00.000
60,PLG000060,99,Orion ProductionLotGrade 60,1,1,2026-08-24T00:00:00.000
61,PLG000061,106,Ion ProductionLotGrade 61,1,1,2026-08-24T00:00:00.000
62,PLG000062,79,Harbor ProductionLotGrade 62,1,1,2026-08-24T00:00:00.000
63,PLG000063,100,Harbor ProductionLotGrade 63,1,1,2026-08-24T00:00:00.000
64,PLG000064,111,Titan ProductionLotGrade 64,1,1,2026-08-24T00:00:00.000
65,PLG000065,107,Titan ProductionLotGrade 65,1,1,2026-08-24T00:00:00.000
66,PLG000066,63,Vertex ProductionLotGrade 66,1,1,2026-08-24T00:00:00.000
67,PLG000067,41,Forge ProductionLotGrade 67,1,1,2026-08-24T00:00:00.000
68,PLG000068,4,Summit ProductionLotGrade 68,1,1,2026-08-24T00:00:00.000
69,PLG000069,73,Evergreen ProductionLotGrade 69,1,1,2026-08-24T00:00:00.000
70,PLG000070,103,Orion ProductionLotGrade 70,1,1,2026-08-24T00:00:00.000
71,PLG000071,89,Titan ProductionLotGrade 71,1,1,2026-08-24T00:00:00.000
72,PLG000072,63,Junction ProductionLotGrade 72,1,1,2026-08-24T00:00:00.000
73,PLG000073,106,Meridian ProductionLotGrade 73,1,1,2026-08-24T00:00:00.000
74,PLG000074,39,Cedar ProductionLotGrade 74,1,1,2026-08-24T00:00:00.000
75,PLG000075,81,Zenith ProductionLotGrade 75,1,1,2026-08-24T00:00:00.000
76,PLG000076,17,Pioneer ProductionLotGrade 76,1,1,2026-08-24T00:00:00.000
77,PLG000077,31,Orion ProductionLotGrade 77,1,1,2026-08-24T00:00:00.000
78,PLG000078,18,Atlas ProductionLotGrade 78,1,1,2026-08-24T00:00:00.000
79,PLG000079,16,Northstar ProductionLotGrade 79,1,1,2026-08-24T00:00:00.000
80,PLG000080,24,Junction ProductionLotGrade 80,1,1,2026-08-24T00:00:00.000
81,PLG000081,64,Beacon ProductionLotGrade 81,1,1,2026-08-24T00:00:00.000
82,PLG000082,33,Willow ProductionLotGrade 82,1,1,2026-08-24T00:00:00.000
83,PLG000083,95,Keystone ProductionLotGrade 83,1,1,2026-08-24T00:00:00.000
84,PLG000084,20,Granite ProductionLotGrade 84,1,1,2026-08-24T00:00:00.000
85,PLG000085,62,Liberty ProductionLotGrade 85,1,1,2026-08-24T00:00:00.000
86,PLG000086,46,Willow ProductionLotGrade 86,1,1,2026-08-24T00:00:00.000
87,PLG000087,72,Granite ProductionLotGrade 87,1,1,2026-08-24T00:00:00.000
88,PLG000088,4,Unity ProductionLotGrade 88,1,1,2026-08-24T00:00:00.000
89,PLG000089,75,Unity ProductionLotGrade 89,1,1,2026-08-24T00:00:00.000
90,PLG000090,90,Northstar ProductionLotGrade 90,1,1,2026-08-24T00:00:00.000
91,PLG000091,48,Keystone ProductionLotGrade 91,1,1,2026-08-24T00:00:00.000
