QualityMethodStepKey,QualityMethodStepCode,QualityMethodProcedureKey,QualityMethodStepName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,QMS000001,11,Atlas QualityMethodStep 1,1,1,2026-08-24T00:00:00.000
2,QMS000002,55,Ion QualityMethodStep 2,1,1,2026-08-24T00:00:00.000
3,QMS000003,176,Unity QualityMethodStep 3,1,1,2026-08-24T00:00:00.000
4,QMS000004,12,Harbor QualityMethodStep 4,1,1,2026-08-24T00:00:00.000
5,QMS000005,132,Atlas QualityMethodStep 5,1,1,2026-08-24T00:00:00.000
6,QMS000006,24,Riverton QualityMethodStep 6,1,1,2026-08-24T00:00:00.000
7,QMS000007,125,Forge QualityMethodStep 7,1,1,2026-08-24T00:00:00.000
8,QMS000008,168,Quartz QualityMethodStep 8,1,1,2026-08-24T00:00:00.000
9,QMS000009,97,Northstar QualityMethodStep 9,1,1,2026-08-24T00:00:00.000
10,QMS000010,199,Forge QualityMethodStep 10,1,1,2026-08-24T00:00:00.000
11,QMS000011,38,Ion QualityMethodStep 11,1,1,2026-08-24T00:00:00.000
12,QMS000012,103,Unity QualityMethodStep 12,1,1,2026-08-24T00:00:00.000
13,QMS000013,26,Willow QualityMethodStep 13,1,1,2026-08-24T00:00:00.000
14,QMS000014,198,Meridian QualityMethodStep 14,1,1,2026-08-24T00:00:00.000
15,QMS000015,118,Unity QualityMethodStep 15,1,1,2026-08-24T00:00:00.000
16,QMS000016,170,Harbor QualityMethodStep 16,1,1,2026-08-24T00:00:00.000
17,QMS000017,179,Unity QualityMethodStep 17,1,1,2026-08-24T00:00:00.000
18,QMS000018,161,Pioneer QualityMethodStep 18,1,1,2026-08-24T00:00:00.000
19,QMS000019,133,Ion QualityMethodStep 19,1,1,2026-08-24T00:00:00.000
20,QMS000020,208,Cedar QualityMethodStep 20,1,1,2026-08-24T00:00:00.000
21,QMS000021,139,Pioneer QualityMethodStep 21,1,1,2026-08-24T00:00:00.000
22,QMS000022,117,Evergreen QualityMethodStep 22,1,1,2026-08-24T00:00:00.000
23,QMS000023,238,Atlas QualityMethodStep 23,1,1,2026-08-24T00:00:00.000
24,QMS000024,79,Northstar QualityMethodStep 24,1,1,2026-08-24T00:00:00.000
25,QMS000025,138,Vertex QualityMethodStep 25,1,1,2026-08-24T00:00:00.000
26,QMS000026,25,Forge QualityMethodStep 26,1,1,2026-08-24T00:00:00.000
27,QMS000027,26,Summit QualityMethodStep 27,1,1,2026-08-24T00:00:00.000
28,QMS000028,128,Unity QualityMethodStep 28,1,1,2026-08-24T00:00:00.000
29,QMS000029,203,Pioneer QualityMethodStep 29,1,1,2026-08-24T00:00:00.000
30,QMS000030,184,Evergreen QualityMethodStep 30,1,1,2026-08-24T00:00:00.000
31,QMS000031,4,Beacon QualityMethodStep 31,1,1,2026-08-24T00:00:00.000
32,QMS000032,228,Junction QualityMethodStep 32,1,1,2026-08-24T00:00:00.000
33,QMS000033,233,Atlas QualityMethodStep 33,1,1,2026-08-24T00:00:00.000
34,QMS000034,59,Northstar QualityMethodStep 34,1,1,2026-08-24T00:00:00.000
35,QMS000035,219,Orion QualityMethodStep 35,1,1,2026-08-24T00:00:00.000
36,QMS000036,12,Junction QualityMethodStep 36,1,1,2026-08-24T00:00:00.000
37,QMS000037,48,Delta QualityMethodStep 37,1,1,2026-08-24T00:00:00.000
38,QMS000038,232,Delta QualityMethodStep 38,1,1,2026-08-24T00:00:00.000
39,QMS000039,117,Forge QualityMethodStep 39,1,1,2026-08-24T00:00:00.000
40,QMS000040,194,Harbor QualityMethodStep 40,1,1,2026-08-24T00:00:00.000
41,QMS000041,106,Granite QualityMethodStep 41,1,1,2026-08-24T00:00:00.000
42,QMS000042,6,Delta QualityMethodStep 42,1,1,2026-08-24T00:00:00.000
43,QMS000043,189,Harbor QualityMethodStep 43,1,1,2026-08-24T00:00:00.000
44,QMS000044,117,Evergreen QualityMethodStep 44,1,1,2026-08-24T00:00:00.000
45,QMS000045,42,Junction QualityMethodStep 45,1,1,2026-08-24T00:00:00.000
46,QMS000046,130,Junction QualityMethodStep 46,1,1,2026-08-24T00:00:00.000
47,QMS000047,157,Zenith QualityMethodStep 47,1,1,2026-08-24T00:00:00.000
48,QMS000048,53,Vertex QualityMethodStep 48,1,1,2026-08-24T00:00:00.000
49,QMS000049,139,Titan QualityMethodStep 49,1,1,2026-08-24T00:00:00.000
50,QMS000050,191,Orion QualityMethodStep 50,1,1,2026-08-24T00:00:00.000
