PurchaseCommodityKey,PurchaseCommodityCode,PurchaseCommoditySubcategoryKey,PurchaseCommodityName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,PC000001,420,Harbor PurchaseCommodity 1,1,1,2026-08-24T00:00:00.000
2,PC000002,482,Liberty PurchaseCommodity 2,1,1,2026-08-24T00:00:00.000
3,PC000003,368,Summit PurchaseCommodity 3,1,1,2026-08-24T00:00:00.000
4,PC000004,292,Unity PurchaseCommodity 4,1,1,2026-08-24T00:00:00.000
5,PC000005,233,Beacon PurchaseCommodity 5,1,1,2026-08-24T00:00:00.000
6,PC000006,371,Pioneer PurchaseCommodity 6,1,1,2026-08-24T00:00:00.000
7,PC000007,448,Summit PurchaseCommodity 7,1,1,2026-08-24T00:00:00.000
8,PC000008,398,Ion PurchaseCommodity 8,1,1,2026-08-24T00:00:00.000
9,PC000009,258,Vertex PurchaseCommodity 9,1,1,2026-08-24T00:00:00.000
10,PC000010,392,Junction PurchaseCommodity 10,1,1,2026-08-24T00:00:00.000
11,PC000011,309,Vertex PurchaseCommodity 11,1,1,2026-08-24T00:00:00.000
12,PC000012,384,Ion PurchaseCommodity 12,1,1,2026-08-24T00:00:00.000
13,PC000013,332,Evergreen PurchaseCommodity 13,1,1,2026-08-24T00:00:00.000
14,PC000014,488,Pioneer PurchaseCommodity 14,1,1,2026-08-24T00:00:00.000
15,PC000015,376,Keystone PurchaseCommodity 15,1,1,2026-08-24T00:00:00.000
16,PC000016,232,Liberty PurchaseCommodity 16,1,1,2026-08-24T00:00:00.000
17,PC000017,471,Granite PurchaseCommodity 17,1,1,2026-08-24T00:00:00.000
18,PC000018,294,Pioneer PurchaseCommodity 18,1,1,2026-08-24T00:00:00.000
19,PC000019,333,Quartz PurchaseCommodity 19,1,1,2026-08-24T00:00:00.000
20,PC000020,91,Harbor PurchaseCommodity 20,1,1,2026-08-24T00:00:00.000
21,PC000021,249,Meridian PurchaseCommodity 21,1,1,2026-08-24T00:00:00.000
22,PC000022,289,Riverton PurchaseCommodity 22,1,1,2026-08-24T00:00:00.000
