QualityNonConformanceKey,NonConformanceNumber,ProductKey,PlantKey,QualityDefectCodeKey,QualityDefectSeverityKey,SeverityKey,QualityResultStatusKey,QualityNonConformanceName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,QNC000001,355,322,485,5,4,9,Evergreen QualityNonConformance 1,QNC000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97f521d3cb2c560d9f72b255fdedd3dc97f521d3cb2c560d9f72b255fdedd3dc
2,QNC000002,255,68,364,12,5,11,Pioneer QualityNonConformance 2,QNC000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04354153a4e95ea697d8955230e0c4e004354153a4e95ea697d8955230e0c4e0
3,QNC000003,109,14,344,9,1,5,Forge QualityNonConformance 3,QNC000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6134b2ce9ff85013ab11862dc41c54216134b2ce9ff85013ab11862dc41c5421
4,QNC000004,224,94,452,6,5,9,Atlas QualityNonConformance 4,QNC000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64ab692ff64c5b20a060a9551f457f5f64ab692ff64c5b20a060a9551f457f5f
5,QNC000005,359,211,402,3,4,10,Summit QualityNonConformance 5,QNC000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03f81ebb613a562a9a2a805e53dbfe0f03f81ebb613a562a9a2a805e53dbfe0f
6,QNC000006,454,285,114,9,4,9,Cedar QualityNonConformance 6,QNC000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,594d8d7767a55d519670a1a95e622d8f594d8d7767a55d519670a1a95e622d8f
7,QNC000007,474,273,74,12,1,11,Liberty QualityNonConformance 7,QNC000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a872722b990a564ab6b73ec268532bf5a872722b990a564ab6b73ec268532bf5
8,QNC000008,40,350,462,9,2,4,Harbor QualityNonConformance 8,QNC000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f087b0d77845550d95d33b443192a04ef087b0d77845550d95d33b443192a04e
9,QNC000009,177,323,65,4,3,2,Ion QualityNonConformance 9,QNC000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1173c490430e517e898ffa389dc490531173c490430e517e898ffa389dc49053
10,QNC000010,363,147,197,4,4,10,Keystone QualityNonConformance 10,QNC000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8f4b7b8d6275152a5aa2877e873ec53e8f4b7b8d6275152a5aa2877e873ec53
