FinanceProductCostVersionKey,ProductCostVersionCode,ProductKey,PlantKey,FinanceCostComponentDetailKey,FinanceCostingMethodKey,CurrencyKey,CostVersionName,EffectiveDate,ExpirationDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,1900-01-01,1900-01-01,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,FPCV000001,272,192,136,8,3,Junction FinanceProductCostVersion 1,2020-01-02,2020-01-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1de4345fe1ba5f35b366f58c946449651de4345fe1ba5f35b366f58c94644965
2,FPCV000002,67,87,148,8,1,Quartz FinanceProductCostVersion 2,2020-01-03,2020-01-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36824b4051ef51bcbc7b78696e13293836824b4051ef51bcbc7b78696e132938
3,FPCV000003,229,315,265,7,5,Zenith FinanceProductCostVersion 3,2020-01-04,2020-01-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,90ff2868d23559e588f7fe49c0535f3f90ff2868d23559e588f7fe49c0535f3f
4,FPCV000004,355,228,144,3,5,Delta FinanceProductCostVersion 4,2020-01-05,2020-01-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6a0fdd744135a568ce691c9e1cf5848a6a0fdd744135a568ce691c9e1cf5848
5,FPCV000005,150,192,28,3,2,Summit FinanceProductCostVersion 5,2020-01-06,2020-01-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d63b1d43b5c5e559b7dc44538f885677d63b1d43b5c5e559b7dc44538f88567
6,FPCV000006,303,144,466,2,1,Forge FinanceProductCostVersion 6,2020-01-07,2020-01-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50af4d8648a157e38102bfd9f7a2f96650af4d8648a157e38102bfd9f7a2f966
7,FPCV000007,225,20,424,5,3,Northstar FinanceProductCostVersion 7,2020-01-08,2020-01-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8c6cc01ef3652bfa9b6e6f6c929522bc8c6cc01ef3652bfa9b6e6f6c929522b
8,FPCV000008,77,26,121,2,1,Meridian FinanceProductCostVersion 8,2020-01-09,2020-01-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0dfbdf23d2c3502981fd0243475c2de50dfbdf23d2c3502981fd0243475c2de5
9,FPCV000009,255,178,420,2,3,Willow FinanceProductCostVersion 9,2020-01-10,2020-01-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d6aaf3840b95ea89968e1c46f957ef31d6aaf3840b95ea89968e1c46f957ef3
10,FPCV000010,426,319,387,4,2,Evergreen FinanceProductCostVersion 10,2020-01-11,2020-01-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,43dc28fb8f265871850a881c81dfb3cc43dc28fb8f265871850a881c81dfb3cc
11,FPCV000011,145,43,414,1,3,Delta FinanceProductCostVersion 11,2020-01-12,2020-01-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,759a55710d465848a16064d265b5034f759a55710d465848a16064d265b5034f
12,FPCV000012,5,235,9,2,2,Liberty FinanceProductCostVersion 12,2020-01-13,2020-01-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e512ff789385127be1c3d046df826e29e512ff789385127be1c3d046df826e2
13,FPCV000013,103,243,116,1,3,Meridian FinanceProductCostVersion 13,2020-01-14,2020-01-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bd6ede06fa85485b9a85b49ff5bcba47bd6ede06fa85485b9a85b49ff5bcba4
14,FPCV000014,440,13,385,3,4,Harbor FinanceProductCostVersion 14,2020-01-15,2020-01-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c4f270a0d4a5117bea4a743305fe5393c4f270a0d4a5117bea4a743305fe539
15,FPCV000015,402,283,336,1,5,Pioneer FinanceProductCostVersion 15,2020-01-16,2020-01-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db714390f9835f8bbefac0e6331252b9db714390f9835f8bbefac0e6331252b9
16,FPCV000016,85,144,17,4,4,Orion FinanceProductCostVersion 16,2020-01-17,2020-01-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84d9402e2f025202b3d0df198cd6c46284d9402e2f025202b3d0df198cd6c462
17,FPCV000017,412,13,8,3,1,Evergreen FinanceProductCostVersion 17,2020-01-18,2020-01-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c09376dc42950128eb3abd39c6c36c89c09376dc42950128eb3abd39c6c36c8
18,FPCV000018,182,232,198,1,3,Vertex FinanceProductCostVersion 18,2020-01-19,2020-01-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6030fff57555d14927b4a81076ffb61d6030fff57555d14927b4a81076ffb61
19,FPCV000019,472,207,230,3,3,Granite FinanceProductCostVersion 19,2020-01-20,2020-01-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f013cab08c1c5e6686b708e476dde2c4f013cab08c1c5e6686b708e476dde2c4
20,FPCV000020,423,254,394,6,2,Junction FinanceProductCostVersion 20,2020-01-21,2020-01-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d1090c16613574db6d8fef3ae0b422b1d1090c16613574db6d8fef3ae0b422b
21,FPCV000021,407,101,407,8,5,Summit FinanceProductCostVersion 21,2020-01-22,2020-01-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02e2de4422285a979f25b76a578a54d702e2de4422285a979f25b76a578a54d7
22,FPCV000022,222,232,178,5,3,Unity FinanceProductCostVersion 22,2020-01-23,2020-01-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60a4c7b8e6d757cd9a35fe4d3e49ff0b60a4c7b8e6d757cd9a35fe4d3e49ff0b
23,FPCV000023,169,115,470,2,4,Cedar FinanceProductCostVersion 23,2020-01-24,2020-01-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3253b71d1da55d6933001201a575b99f3253b71d1da55d6933001201a575b99
24,FPCV000024,274,73,62,1,2,Granite FinanceProductCostVersion 24,2020-01-25,2020-01-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,607614322127529796bbdd8c6a2e6334607614322127529796bbdd8c6a2e6334
25,FPCV000025,121,57,295,5,4,Vertex FinanceProductCostVersion 25,2020-01-26,2020-01-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c85cc8d721d05c03a5f99da84183f3bcc85cc8d721d05c03a5f99da84183f3bc
