LaborCrewKey,LaborCrewCode,LaborCrewAreaKey,LaborCrewName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,LC000001,65,Granite LaborCrew 1,1,1,2026-08-24T00:00:00.000
2,LC000002,107,Willow LaborCrew 2,1,1,2026-08-24T00:00:00.000
3,LC000003,95,Junction LaborCrew 3,1,1,2026-08-24T00:00:00.000
4,LC000004,28,Quartz LaborCrew 4,1,1,2026-08-24T00:00:00.000
5,LC000005,63,Unity LaborCrew 5,1,1,2026-08-24T00:00:00.000
6,LC000006,124,Keystone LaborCrew 6,1,1,2026-08-24T00:00:00.000
7,LC000007,118,Zenith LaborCrew 7,1,1,2026-08-24T00:00:00.000
8,LC000008,58,Beacon LaborCrew 8,1,1,2026-08-24T00:00:00.000
9,LC000009,76,Harbor LaborCrew 9,1,1,2026-08-24T00:00:00.000
10,LC000010,158,Summit LaborCrew 10,1,1,2026-08-24T00:00:00.000
11,LC000011,17,Ion LaborCrew 11,1,1,2026-08-24T00:00:00.000
12,LC000012,53,Pioneer LaborCrew 12,1,1,2026-08-24T00:00:00.000
13,LC000013,129,Pioneer LaborCrew 13,1,1,2026-08-24T00:00:00.000
14,LC000014,145,Pioneer LaborCrew 14,1,1,2026-08-24T00:00:00.000
15,LC000015,79,Meridian LaborCrew 15,1,1,2026-08-24T00:00:00.000
16,LC000016,44,Junction LaborCrew 16,1,1,2026-08-24T00:00:00.000
17,LC000017,13,Titan LaborCrew 17,1,1,2026-08-24T00:00:00.000
18,LC000018,160,Quartz LaborCrew 18,1,1,2026-08-24T00:00:00.000
19,LC000019,154,Harbor LaborCrew 19,1,1,2026-08-24T00:00:00.000
20,LC000020,1,Riverton LaborCrew 20,1,1,2026-08-24T00:00:00.000
21,LC000021,47,Northstar LaborCrew 21,1,1,2026-08-24T00:00:00.000
22,LC000022,107,Titan LaborCrew 22,1,1,2026-08-24T00:00:00.000
23,LC000023,112,Beacon LaborCrew 23,1,1,2026-08-24T00:00:00.000
24,LC000024,5,Riverton LaborCrew 24,1,1,2026-08-24T00:00:00.000
25,LC000025,103,Delta LaborCrew 25,1,1,2026-08-24T00:00:00.000
26,LC000026,57,Meridian LaborCrew 26,1,1,2026-08-24T00:00:00.000
27,LC000027,16,Delta LaborCrew 27,1,1,2026-08-24T00:00:00.000
28,LC000028,65,Pioneer LaborCrew 28,1,1,2026-08-24T00:00:00.000
29,LC000029,149,Atlas LaborCrew 29,1,1,2026-08-24T00:00:00.000
30,LC000030,30,Forge LaborCrew 30,1,1,2026-08-24T00:00:00.000
31,LC000031,131,Cedar LaborCrew 31,1,1,2026-08-24T00:00:00.000
32,LC000032,62,Quartz LaborCrew 32,1,1,2026-08-24T00:00:00.000
33,LC000033,11,Summit LaborCrew 33,1,1,2026-08-24T00:00:00.000
34,LC000034,86,Unity LaborCrew 34,1,1,2026-08-24T00:00:00.000
35,LC000035,47,Riverton LaborCrew 35,1,1,2026-08-24T00:00:00.000
36,LC000036,67,Vertex LaborCrew 36,1,1,2026-08-24T00:00:00.000
37,LC000037,145,Willow LaborCrew 37,1,1,2026-08-24T00:00:00.000
38,LC000038,53,Liberty LaborCrew 38,1,1,2026-08-24T00:00:00.000
39,LC000039,67,Liberty LaborCrew 39,1,1,2026-08-24T00:00:00.000
40,LC000040,108,Granite LaborCrew 40,1,1,2026-08-24T00:00:00.000
41,LC000041,64,Keystone LaborCrew 41,1,1,2026-08-24T00:00:00.000
42,LC000042,49,Unity LaborCrew 42,1,1,2026-08-24T00:00:00.000
43,LC000043,109,Orion LaborCrew 43,1,1,2026-08-24T00:00:00.000
44,LC000044,114,Liberty LaborCrew 44,1,1,2026-08-24T00:00:00.000
45,LC000045,60,Atlas LaborCrew 45,1,1,2026-08-24T00:00:00.000
46,LC000046,67,Zenith LaborCrew 46,1,1,2026-08-24T00:00:00.000
47,LC000047,138,Junction LaborCrew 47,1,1,2026-08-24T00:00:00.000
48,LC000048,160,Atlas LaborCrew 48,1,1,2026-08-24T00:00:00.000
49,LC000049,49,Keystone LaborCrew 49,1,1,2026-08-24T00:00:00.000
50,LC000050,73,Harbor LaborCrew 50,1,1,2026-08-24T00:00:00.000
51,LC000051,73,Titan LaborCrew 51,1,1,2026-08-24T00:00:00.000
52,LC000052,1,Titan LaborCrew 52,1,1,2026-08-24T00:00:00.000
53,LC000053,136,Willow LaborCrew 53,1,1,2026-08-24T00:00:00.000
54,LC000054,105,Ion LaborCrew 54,1,1,2026-08-24T00:00:00.000
55,LC000055,149,Orion LaborCrew 55,1,1,2026-08-24T00:00:00.000
56,LC000056,37,Cedar LaborCrew 56,1,1,2026-08-24T00:00:00.000
57,LC000057,113,Beacon LaborCrew 57,1,1,2026-08-24T00:00:00.000
58,LC000058,151,Zenith LaborCrew 58,1,1,2026-08-24T00:00:00.000
59,LC000059,152,Junction LaborCrew 59,1,1,2026-08-24T00:00:00.000
60,LC000060,81,Beacon LaborCrew 60,1,1,2026-08-24T00:00:00.000
61,LC000061,131,Ion LaborCrew 61,1,1,2026-08-24T00:00:00.000
62,LC000062,101,Liberty LaborCrew 62,1,1,2026-08-24T00:00:00.000
63,LC000063,10,Titan LaborCrew 63,1,1,2026-08-24T00:00:00.000
64,LC000064,106,Riverton LaborCrew 64,1,1,2026-08-24T00:00:00.000
65,LC000065,41,Meridian LaborCrew 65,1,1,2026-08-24T00:00:00.000
66,LC000066,58,Meridian LaborCrew 66,1,1,2026-08-24T00:00:00.000
67,LC000067,99,Junction LaborCrew 67,1,1,2026-08-24T00:00:00.000
68,LC000068,36,Orion LaborCrew 68,1,1,2026-08-24T00:00:00.000
69,LC000069,47,Titan LaborCrew 69,1,1,2026-08-24T00:00:00.000
70,LC000070,28,Orion LaborCrew 70,1,1,2026-08-24T00:00:00.000
71,LC000071,78,Meridian LaborCrew 71,1,1,2026-08-24T00:00:00.000
72,LC000072,22,Forge LaborCrew 72,1,1,2026-08-24T00:00:00.000
73,LC000073,134,Forge LaborCrew 73,1,1,2026-08-24T00:00:00.000
74,LC000074,120,Atlas LaborCrew 74,1,1,2026-08-24T00:00:00.000
75,LC000075,115,Titan LaborCrew 75,1,1,2026-08-24T00:00:00.000
76,LC000076,49,Titan LaborCrew 76,1,1,2026-08-24T00:00:00.000
77,LC000077,39,Atlas LaborCrew 77,1,1,2026-08-24T00:00:00.000
78,LC000078,44,Orion LaborCrew 78,1,1,2026-08-24T00:00:00.000
79,LC000079,52,Harbor LaborCrew 79,1,1,2026-08-24T00:00:00.000
80,LC000080,125,Granite LaborCrew 80,1,1,2026-08-24T00:00:00.000
81,LC000081,102,Granite LaborCrew 81,1,1,2026-08-24T00:00:00.000
82,LC000082,17,Liberty LaborCrew 82,1,1,2026-08-24T00:00:00.000
83,LC000083,18,Liberty LaborCrew 83,1,1,2026-08-24T00:00:00.000
84,LC000084,43,Keystone LaborCrew 84,1,1,2026-08-24T00:00:00.000
85,LC000085,57,Harbor LaborCrew 85,1,1,2026-08-24T00:00:00.000
86,LC000086,114,Delta LaborCrew 86,1,1,2026-08-24T00:00:00.000
87,LC000087,6,Meridian LaborCrew 87,1,1,2026-08-24T00:00:00.000
88,LC000088,142,Unity LaborCrew 88,1,1,2026-08-24T00:00:00.000
89,LC000089,25,Riverton LaborCrew 89,1,1,2026-08-24T00:00:00.000
90,LC000090,131,Zenith LaborCrew 90,1,1,2026-08-24T00:00:00.000
91,LC000091,68,Keystone LaborCrew 91,1,1,2026-08-24T00:00:00.000
92,LC000092,124,Ion LaborCrew 92,1,1,2026-08-24T00:00:00.000
93,LC000093,25,Delta LaborCrew 93,1,1,2026-08-24T00:00:00.000
94,LC000094,55,Atlas LaborCrew 94,1,1,2026-08-24T00:00:00.000
95,LC000095,52,Northstar LaborCrew 95,1,1,2026-08-24T00:00:00.000
96,LC000096,127,Cedar LaborCrew 96,1,1,2026-08-24T00:00:00.000
97,LC000097,76,Pioneer LaborCrew 97,1,1,2026-08-24T00:00:00.000
98,LC000098,102,Junction LaborCrew 98,1,1,2026-08-24T00:00:00.000
99,LC000099,100,Junction LaborCrew 99,1,1,2026-08-24T00:00:00.000
100,LC000100,149,Meridian LaborCrew 100,1,1,2026-08-24T00:00:00.000
101,LC000101,95,Summit LaborCrew 101,1,1,2026-08-24T00:00:00.000
102,LC000102,154,Riverton LaborCrew 102,1,1,2026-08-24T00:00:00.000
103,LC000103,86,Unity LaborCrew 103,1,1,2026-08-24T00:00:00.000
104,LC000104,150,Forge LaborCrew 104,1,1,2026-08-24T00:00:00.000
105,LC000105,62,Keystone LaborCrew 105,1,1,2026-08-24T00:00:00.000
