InventoryStorageSubtypeKey,InventoryStorageSubtypeCode,InventoryStorageTypeKey,InventoryStorageSubtypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,ISS000001,37,Unity InventoryStorageSubtype 1,1,1,2026-08-24T00:00:00.000
2,ISS000002,30,Forge InventoryStorageSubtype 2,1,1,2026-08-24T00:00:00.000
3,ISS000003,30,Evergreen InventoryStorageSubtype 3,1,1,2026-08-24T00:00:00.000
4,ISS000004,15,Delta InventoryStorageSubtype 4,1,1,2026-08-24T00:00:00.000
5,ISS000005,56,Riverton InventoryStorageSubtype 5,1,1,2026-08-24T00:00:00.000
6,ISS000006,57,Keystone InventoryStorageSubtype 6,1,1,2026-08-24T00:00:00.000
7,ISS000007,8,Evergreen InventoryStorageSubtype 7,1,1,2026-08-24T00:00:00.000
8,ISS000008,5,Quartz InventoryStorageSubtype 8,1,1,2026-08-24T00:00:00.000
9,ISS000009,29,Titan InventoryStorageSubtype 9,1,1,2026-08-24T00:00:00.000
10,ISS000010,6,Riverton InventoryStorageSubtype 10,1,1,2026-08-24T00:00:00.000
11,ISS000011,36,Liberty InventoryStorageSubtype 11,1,1,2026-08-24T00:00:00.000
12,ISS000012,53,Forge InventoryStorageSubtype 12,1,1,2026-08-24T00:00:00.000
13,ISS000013,41,Forge InventoryStorageSubtype 13,1,1,2026-08-24T00:00:00.000
14,ISS000014,45,Delta InventoryStorageSubtype 14,1,1,2026-08-24T00:00:00.000
15,ISS000015,31,Meridian InventoryStorageSubtype 15,1,1,2026-08-24T00:00:00.000
16,ISS000016,28,Unity InventoryStorageSubtype 16,1,1,2026-08-24T00:00:00.000
17,ISS000017,15,Riverton InventoryStorageSubtype 17,1,1,2026-08-24T00:00:00.000
18,ISS000018,34,Riverton InventoryStorageSubtype 18,1,1,2026-08-24T00:00:00.000
19,ISS000019,34,Atlas InventoryStorageSubtype 19,1,1,2026-08-24T00:00:00.000
20,ISS000020,45,Zenith InventoryStorageSubtype 20,1,1,2026-08-24T00:00:00.000
21,ISS000021,26,Vertex InventoryStorageSubtype 21,1,1,2026-08-24T00:00:00.000
22,ISS000022,41,Orion InventoryStorageSubtype 22,1,1,2026-08-24T00:00:00.000
23,ISS000023,14,Granite InventoryStorageSubtype 23,1,1,2026-08-24T00:00:00.000
24,ISS000024,24,Beacon InventoryStorageSubtype 24,1,1,2026-08-24T00:00:00.000
25,ISS000025,33,Pioneer InventoryStorageSubtype 25,1,1,2026-08-24T00:00:00.000
26,ISS000026,30,Junction InventoryStorageSubtype 26,1,1,2026-08-24T00:00:00.000
27,ISS000027,42,Cedar InventoryStorageSubtype 27,1,1,2026-08-24T00:00:00.000
28,ISS000028,7,Junction InventoryStorageSubtype 28,1,1,2026-08-24T00:00:00.000
29,ISS000029,34,Quartz InventoryStorageSubtype 29,1,1,2026-08-24T00:00:00.000
30,ISS000030,49,Delta InventoryStorageSubtype 30,1,1,2026-08-24T00:00:00.000
31,ISS000031,21,Meridian InventoryStorageSubtype 31,1,1,2026-08-24T00:00:00.000
32,ISS000032,27,Evergreen InventoryStorageSubtype 32,1,1,2026-08-24T00:00:00.000
33,ISS000033,19,Summit InventoryStorageSubtype 33,1,1,2026-08-24T00:00:00.000
34,ISS000034,11,Atlas InventoryStorageSubtype 34,1,1,2026-08-24T00:00:00.000
35,ISS000035,26,Junction InventoryStorageSubtype 35,1,1,2026-08-24T00:00:00.000
36,ISS000036,5,Keystone InventoryStorageSubtype 36,1,1,2026-08-24T00:00:00.000
37,ISS000037,7,Keystone InventoryStorageSubtype 37,1,1,2026-08-24T00:00:00.000
38,ISS000038,34,Orion InventoryStorageSubtype 38,1,1,2026-08-24T00:00:00.000
39,ISS000039,43,Northstar InventoryStorageSubtype 39,1,1,2026-08-24T00:00:00.000
40,ISS000040,29,Cedar InventoryStorageSubtype 40,1,1,2026-08-24T00:00:00.000
41,ISS000041,47,Unity InventoryStorageSubtype 41,1,1,2026-08-24T00:00:00.000
42,ISS000042,40,Vertex InventoryStorageSubtype 42,1,1,2026-08-24T00:00:00.000
43,ISS000043,27,Meridian InventoryStorageSubtype 43,1,1,2026-08-24T00:00:00.000
44,ISS000044,56,Northstar InventoryStorageSubtype 44,1,1,2026-08-24T00:00:00.000
45,ISS000045,5,Meridian InventoryStorageSubtype 45,1,1,2026-08-24T00:00:00.000
46,ISS000046,56,Riverton InventoryStorageSubtype 46,1,1,2026-08-24T00:00:00.000
47,ISS000047,58,Keystone InventoryStorageSubtype 47,1,1,2026-08-24T00:00:00.000
48,ISS000048,29,Beacon InventoryStorageSubtype 48,1,1,2026-08-24T00:00:00.000
49,ISS000049,18,Willow InventoryStorageSubtype 49,1,1,2026-08-24T00:00:00.000
50,ISS000050,49,Keystone InventoryStorageSubtype 50,1,1,2026-08-24T00:00:00.000
